"","Sequence_ID","Cluster99","Cluster95","Cluster90","Cluster85","Cluster80"
"74","OP185507_0A_Fwd_28021","99_60622","95_10886","90_10461","85_10020","80_9661"
"75","KF700371_0A_Fwd_27919","99_11724","95_10886","90_10461","85_10020","80_9661"
"76","MT542512_0A_Fwd_27687","99_43856","95_38598","90_10461","85_10020","80_9661"
"77","OR979722_0A_Fwd_26962","99_43856","95_38598","90_10461","85_10020","80_9661"
"78","KF713486_0A_Rev_35807","99_11726","95_10887","90_10462","85_10021","80_9662"
"79","KF713486_0A_Rev_41224","99_11727","95_10888","90_10463","85_10022","80_9663"
"80","KF713486_0A_Rev_57207","99_11728","95_10889","90_10464","85_10023","80_9664"
"81","KF713486_0A_Fwd_20835","99_11730","95_10891","90_10465","85_10024","80_9665"
"82","OP297530_0A_Rev_43488","99_15300","95_10894","90_10467","85_10025","80_9666"
"83","MN586025_0A_Rev_40864","99_15300","95_10894","90_10467","85_10025","80_9666"
"84","OM913583_0A_Rev_40875","99_15300","95_10894","90_10467","85_10025","80_9666"
"85","MH020245_0A_Rev_40875","99_15300","95_10894","90_10467","85_10025","80_9666"
"86","MK310138_0A_Rev_44092","99_11733","95_10894","90_10467","85_10025","80_9666"
"87","MF185722_0A_Rev_44074","99_11733","95_10894","90_10467","85_10025","80_9666"
"88","KT281789_0A_Rev_43488","99_15300","95_10894","90_10467","85_10025","80_9666"
"89","MF919518_0A_Rev_40603","99_15300","95_10894","90_10467","85_10025","80_9666"
"90","KX808132_0A_Rev_40875","99_15300","95_10894","90_10467","85_10025","80_9666"
"91","MK494119_0A_Rev_44117","99_11733","95_10894","90_10467","85_10025","80_9666"
"92","KF713486_0A_Rev_44426","99_11733","95_10894","90_10467","85_10025","80_9666"
"93","MH399770_0A_Rev_40875","99_15300","95_10894","90_10467","85_10025","80_9666"
"94","MZ047271_0A_Rev_38683","99_11735","95_10896","90_10468","85_10026","80_9667"
"95","KF751793_0A_Rev_13367","99_11735","95_10896","90_10468","85_10026","80_9667"
"96","KF751794_0A_Rev_11923","99_11735","95_10896","90_10468","85_10026","80_9667"
"97","KF765493_0A_Rev_32458","99_11736","95_10897","90_10469","85_10027","80_206"
"98","OK583893_0A_Rev_32430","99_54014","95_47186","90_10469","85_10027","80_206"
"99","OR287810_0A_Rev_32699","99_65904","95_10897","90_10469","85_10027","80_206"
"100","MN101220_0A_Rev_38505","99_36992","95_32755","90_10469","85_10027","80_206"
"101","OR532829_0A_Rev_37383","99_19844","95_17985","90_16998","85_10027","80_206"
"102","MN101217_0A_Rev_38641","99_36992","95_32755","90_10469","85_10027","80_206"
"103","ON602732_0A_Rev_5559","99_58653","95_51129","90_10469","85_10027","80_206"
"104","MN101219_0A_Rev_37825","99_36992","95_32755","90_10469","85_10027","80_206"
"105","OR532884_0A_Rev_37754","99_11736","95_10897","90_10469","85_10027","80_206"
"106","OK583892_0A_Rev_32281","99_54014","95_47186","90_10469","85_10027","80_206"
"107","KY385423_0A_Rev_32040","99_19844","95_17985","90_16998","85_10027","80_206"
"108","PQ663821_0A_Rev_31962","99_54014","95_47186","90_10469","85_10027","80_206"
"109","OR050521_0A_Rev_32607","99_65181","95_17985","90_16998","85_10027","80_206"
"110","OR532866_0A_Rev_37336","99_11736","95_10897","90_10469","85_10027","80_206"
"111","OQ819159_0A_Rev_31816","99_11736","95_10897","90_10469","85_10027","80_206"
"112","OR983332_0A_Rev_32371","99_19844","95_17985","90_16998","85_10027","80_206"
"113","OR532821_0A_Rev_35051","99_11736","95_10897","90_10469","85_10027","80_206"
"114","MN176572_0A_Rev_17194","99_11737","95_10898","90_10470","85_10028","80_9668"
"115","KF765493_0A_Rev_18277","99_11737","95_10898","90_10470","85_10028","80_9668"
"116","OK562429_0A_Rev_19787","99_11737","95_10898","90_10470","85_10028","80_9668"
"117","PP889493_0A_Rev_24575","99_11737","95_10898","90_10470","85_10028","80_9668"
"118","PQ285366_0A_Rev_17553","99_11737","95_10898","90_10470","85_10028","80_9668"
"119","KF765493_0A_Rev_2510","99_11738","95_10899","90_10471","85_10029","80_9669"
"120","OR532884_0A_Rev_7967","99_11738","95_10899","90_10471","85_10029","80_9669"
"121","LC819006_0A_Fwd_210213","99_1041","95_1023","90_1012","85_1003","80_994"
"122","PP856017_0A_Fwd_212913","99_72407","95_62540","90_1012","85_1003","80_994"
"123","AP014927_0A_Fwd_208118","99_1198","95_1023","90_1012","85_1003","80_994"
"124","LC819008_0A_Fwd_209518","99_1041","95_1023","90_1012","85_1003","80_994"
"125","LC819009_0A_Fwd_209930","99_1041","95_1023","90_1012","85_1003","80_994"
"126","LC592711_0A_Fwd_211611","99_1041","95_1023","90_1012","85_1003","80_994"
"127","LC667450_0A_Fwd_210157","99_1041","95_1023","90_1012","85_1003","80_994"
"128","AP014693_0A_Fwd_208540","99_1041","95_1023","90_1012","85_1003","80_994"
"129","MH844528_0A_Fwd_131758","99_11739","95_10900","90_10472","85_10030","80_9670"
"130","KJ206563_0A_Fwd_127789","99_11739","95_10900","90_10472","85_10030","80_9670"
"131","KJ206559_0A_Fwd_131940","99_11739","95_10900","90_10472","85_10030","80_9670"
"132","MT080602_0A_Fwd_83586","99_11739","95_10900","90_10472","85_10030","80_9670"
"133","OM373557_0A_Fwd_129751","99_11739","95_10900","90_10472","85_10030","80_9670"
"134","KJ206562_0A_Fwd_127978","99_11739","95_10900","90_10472","85_10030","80_9670"
"135","MW546072_0A_Fwd_131518","99_11739","95_10900","90_10472","85_10030","80_9670"
"136","KJ206560_0A_Fwd_129500","99_11739","95_10900","90_10472","85_10030","80_9670"
"137","MH136584_0A_Fwd_120399","99_11739","95_10900","90_10472","85_10030","80_9670"
"138","MW546068_0A_Fwd_72706","99_11739","95_10900","90_10472","85_10030","80_9670"
"139","KJ206561_0A_Fwd_129386","99_11739","95_10900","90_10472","85_10030","80_9670"
"140","KF766114_0A_Fwd_129753","99_11739","95_10900","90_10472","85_10030","80_9670"
"141","MH107769_0A_Fwd_129651","99_11739","95_10900","90_10472","85_10030","80_9670"
"142","OL362280_0A_Fwd_129877","99_11739","95_10900","90_10472","85_10030","80_9670"
"143","OQ338184_0A_Fwd_130650","99_11739","95_10900","90_10472","85_10030","80_9670"
"144","MW546069_0A_Fwd_136687","99_11739","95_10900","90_10472","85_10030","80_9670"
"145","MH844529_0A_Fwd_132413","99_11739","95_10900","90_10472","85_10030","80_9670"
"146","MK417516_0A_Fwd_129750","99_11739","95_10900","90_10472","85_10030","80_9670"
"147","KF767351_0A_Fwd_7999","99_11740","95_10901","90_10473","85_10031","80_9671"
"148","KF771239_0A_Rev_15754","99_11743","95_10904","90_10474","85_10032","80_9672"
"149","KJ668713_0A_Rev_17066","99_11743","95_10904","90_10474","85_10032","80_9672"
"150","KF772233_0A_Rev_42025","99_11744","95_10905","90_10475","85_10033","80_9673"
"151","KF772234_0A_Rev_42027","99_11744","95_10905","90_10475","85_10033","80_9673"
"152","KF772233_0A_Rev_34793","99_11745","95_10906","90_10476","85_10034","80_9674"
"153","KF772234_0A_Rev_34795","99_11745","95_10906","90_10476","85_10034","80_9674"
"154","KF787095_0A_Rev_50477","99_11746","95_10907","90_10477","85_10035","80_9675"
"155","KF787094_0A_Rev_51750","99_11746","95_10907","90_10477","85_10035","80_9675"
"156","KF787094_0A_Rev_70328","99_11747","95_10908","90_10478","85_10036","80_9676"
"157","KF787095_0A_Rev_69060","99_11764","95_10908","90_10478","85_10036","80_9676"
"158","KF787094_0A_Fwd_32894","99_11748","95_10909","90_10479","85_10037","80_9677"
"159","KF787095_0A_Fwd_31608","99_11748","95_10909","90_10479","85_10037","80_9677"
"160","KF787094_0A_Rev_63582","99_11749","95_10910","90_10480","85_10038","80_9678"
"161","KF787095_0A_Rev_16574","99_11750","95_10911","90_10481","85_10039","80_9679"
"162","KF787094_0A_Rev_17012","99_11750","95_10911","90_10481","85_10039","80_9679"
"163","AP014693_0A_Fwd_86054","99_1042","95_1024","90_1013","85_1004","80_995"
"164","KF787095_0A_Rev_46553","99_11751","95_10912","90_10482","85_10040","80_9680"
"165","KF787094_0A_Rev_47826","99_11751","95_10912","90_10482","85_10040","80_9680"
"166","KF787094_0A_Rev_3739","99_11752","95_10913","90_10483","85_10041","80_9681"
"167","KF787095_0A_Rev_3697","99_11752","95_10913","90_10483","85_10041","80_9681"
"168","KF787094_0A_Fwd_20711","99_11753","95_10914","90_10484","85_10042","80_9682"
"169","KF787095_0A_Fwd_19425","99_11753","95_10914","90_10484","85_10042","80_9682"
"170","KF787095_0A_Fwd_66139","99_11754","95_10915","90_10485","85_10043","80_9683"
"171","KF787094_0A_Fwd_67407","99_11754","95_10915","90_10485","85_10043","80_9683"
"172","KF787094_0A_Rev_42508","99_11755","95_10916","90_10486","85_10044","80_9684"
"173","KF787095_0A_Rev_41235","99_11755","95_10916","90_10486","85_10044","80_9684"
"174","KF787094_0A_Rev_5005","99_11756","95_10917","90_10487","85_10045","80_9685"
"175","KF787094_0A_Rev_52524","99_11757","95_10918","90_10488","85_10046","80_9686"
"176","KF787095_0A_Rev_51251","99_11757","95_10918","90_10488","85_10046","80_9686"
"177","KF787095_0A_Rev_33771","99_11758","95_10919","90_10489","85_10047","80_9687"
"178","KF787094_0A_Rev_35044","99_11758","95_10919","90_10489","85_10047","80_9687"
"179","KF787094_0A_Fwd_10416","99_11759","95_10920","90_10490","85_10048","80_9688"
"180","MK962626_0A_Fwd_46046","99_35826","95_14090","90_13408","85_10049","80_9689"
"181","MK962641_0A_Fwd_46923","99_35826","95_14090","90_13408","85_10049","80_9689"
"182","KF787094_0A_Fwd_51739","99_11760","95_10921","90_10491","85_10049","80_9689"
"183","KF787095_0A_Fwd_50466","99_11760","95_10921","90_10491","85_10049","80_9689"
"184","KT321317_0A_Fwd_45568","99_15378","95_14090","90_13408","85_10049","80_9689"
"185","MK962631_0A_Fwd_46997","99_35826","95_14090","90_13408","85_10049","80_9689"
"186","LC819008_0A_Rev_46279","99_21175","95_19184","90_18119","85_1005","80_996"
"187","LC592711_0A_Rev_46313","99_21175","95_19184","90_18119","85_1005","80_996"
"188","LC819009_0A_Rev_46276","99_21175","95_19184","90_18119","85_1005","80_996"
"189","AP014927_0A_Rev_46989","99_1191","95_1167","90_1156","85_1005","80_996"
"190","AP014693_0A_Rev_46758","99_1043","95_1025","90_1014","85_1005","80_996"
"191","LC667450_0A_Rev_46707","99_21316","95_19184","90_18119","85_1005","80_996"
"192","LC819006_0A_Rev_46708","99_21316","95_19184","90_18119","85_1005","80_996"
"193","KF787095_0A_Rev_14873","99_11765","95_10925","90_10492","85_10050","80_9690"
"194","KF787094_0A_Rev_15311","99_11761","95_10922","90_10492","85_10050","80_9690"
"195","KF787094_0A_Rev_44215","99_11762","95_10923","90_10493","85_10051","80_9691"
"196","KF787095_0A_Rev_42942","99_11762","95_10923","90_10493","85_10051","80_9691"
"197","KF787095_0A_Rev_4644","99_11763","95_10924","90_10494","85_10052","80_9692"
"198","KF787094_0A_Rev_4686","99_11763","95_10924","90_10494","85_10052","80_9692"
"199","KF787095_0A_Rev_13603","99_11766","95_10926","90_10495","85_10053","80_9693"
"200","KX098390_0A_Rev_39433","99_11767","95_10927","90_10496","85_10054","80_9694"
"201","KX098391_0A_Rev_35105","99_11767","95_10927","90_10496","85_10054","80_9694"
"202","KF806588_0A_Rev_39449","99_11767","95_10927","90_10496","85_10054","80_9694"
"203","KX098389_0A_Rev_39082","99_11767","95_10927","90_10496","85_10054","80_9694"
"204","KX098390_0A_Rev_63335","99_11768","95_10928","90_10497","85_10055","80_9695"
"205","KX098391_0A_Rev_59060","99_11768","95_10928","90_10497","85_10055","80_9695"
"206","KF806588_0A_Rev_63421","99_11768","95_10928","90_10497","85_10055","80_9695"
"207","KX098389_0A_Rev_63037","99_11768","95_10928","90_10497","85_10055","80_9695"
"208","KX098391_0A_Rev_17130","99_17836","95_16271","90_15430","85_10056","80_9696"
"209","KX098389_0A_Rev_21107","99_17836","95_16271","90_15430","85_10056","80_9696"
"210","KF806588_0A_Rev_21538","99_11769","95_10929","90_10498","85_10056","80_9696"
"211","KX098390_0A_Rev_20922","99_17836","95_16271","90_15430","85_10056","80_9696"
"212","OQ181210_0A_Rev_17283","99_62749","95_54551","90_10498","85_10056","80_9696"
"213","KX098389_0A_Rev_625","99_11770","95_10930","90_10499","85_10057","80_9697"
"214","KX098390_0A_Rev_621","99_11770","95_10930","90_10499","85_10057","80_9697"
"215","KF806588_0A_Rev_600","99_11770","95_10930","90_10499","85_10057","80_9697"
"216","KX098391_0A_Rev_622","99_11770","95_10930","90_10499","85_10057","80_9697"
"217","KX098389_0A_Rev_38922","99_11771","95_10931","90_10500","85_10058","80_9698"
"218","KX098391_0A_Rev_34945","99_11771","95_10931","90_10500","85_10058","80_9698"
"219","KF806588_0A_Rev_39289","99_11771","95_10931","90_10500","85_10058","80_9698"
"220","KF806588_0A_Fwd_11396","99_11772","95_10932","90_10501","85_10059","80_9699"
"221","LC819009_0A_Fwd_210820","99_21215","95_1026","90_1015","85_1006","80_997"
"222","AP014693_0A_Fwd_209430","99_1044","95_1026","90_1015","85_1006","80_997"
"223","LC592711_0A_Fwd_212501","99_21215","95_1026","90_1015","85_1006","80_997"
"224","LC819008_0A_Fwd_210408","99_21215","95_1026","90_1015","85_1006","80_997"
"225","LC819006_0A_Fwd_211103","99_21215","95_1026","90_1015","85_1006","80_997"
"226","LC667450_0A_Fwd_211047","99_21215","95_1026","90_1015","85_1006","80_997"
"227","KX098390_0A_Rev_62831","99_11773","95_10933","90_10502","85_10060","80_9700"
"228","KX098391_0A_Rev_58556","99_11773","95_10933","90_10502","85_10060","80_9700"
"229","KX098389_0A_Rev_62533","99_11773","95_10933","90_10502","85_10060","80_9700"
"230","KF806588_0A_Rev_62917","99_11773","95_10933","90_10502","85_10060","80_9700"
"231","KF806588_0A_Fwd_20697","99_11774","95_10934","90_10503","85_10061","80_9701"
"232","KX098390_0A_Fwd_20090","99_11774","95_10934","90_10503","85_10061","80_9701"
"233","KX098389_0A_Fwd_20275","99_11774","95_10934","90_10503","85_10061","80_9701"
"234","KX098391_0A_Fwd_16298","99_11774","95_10934","90_10503","85_10061","80_9701"
"235","OQ181210_0A_Fwd_17224","99_62747","95_54549","90_10504","85_10062","80_9702"
"236","KF806588_0A_Fwd_21479","99_11775","95_10935","90_10504","85_10062","80_9702"
"237","KU886224_0A_Fwd_58264","99_17251","95_10936","90_10505","85_10063","80_9703"
"238","KU886223_0A_Fwd_58106","99_11776","95_10936","90_10505","85_10063","80_9703"
"239","MG655269_0A_Fwd_59337","99_11776","95_10936","90_10505","85_10063","80_9703"
"240","MK514281_0A_Fwd_59492","99_17251","95_10936","90_10505","85_10063","80_9703"
"241","MG655268_0A_Fwd_58822","99_17251","95_10936","90_10505","85_10063","80_9703"
"242","KU886225_0A_Fwd_58763","99_17251","95_10936","90_10505","85_10063","80_9703"
"243","KU886222_0A_Fwd_59340","99_11776","95_10936","90_10505","85_10063","80_9703"
"244","MG655270_0A_Fwd_59315","99_17251","95_10936","90_10505","85_10063","80_9703"
"245","MG655267_0A_Fwd_58749","99_17251","95_10936","90_10505","85_10063","80_9703"
"246","KF806589_0A_Fwd_58864","99_11776","95_10936","90_10505","85_10063","80_9703"
"247","MG655269_0A_Fwd_208755","99_11777","95_10937","90_10506","85_10064","80_9704"
"248","MG655270_0A_Fwd_207801","99_11777","95_10937","90_10506","85_10064","80_9704"
"249","MG655268_0A_Fwd_206346","99_17225","95_10937","90_10506","85_10064","80_9704"
"250","KU886223_0A_Fwd_204812","99_11777","95_10937","90_10506","85_10064","80_9704"
"251","KU886222_0A_Fwd_207036","99_17225","95_10937","90_10506","85_10064","80_9704"
"252","KF806589_0A_Fwd_204833","99_11777","95_10937","90_10506","85_10064","80_9704"
"253","KU886225_0A_Fwd_207244","99_17225","95_10937","90_10506","85_10064","80_9704"
"254","KU886224_0A_Fwd_204983","99_11777","95_10937","90_10506","85_10064","80_9704"
"255","MG655267_0A_Fwd_206117","99_17225","95_10937","90_10506","85_10064","80_9704"
"256","MK514281_0A_Fwd_206582","99_11777","95_10937","90_10506","85_10064","80_9704"
"257","MK514281_0A_Fwd_206975","99_11778","95_10938","90_10507","85_10065","80_9705"
"258","MG655269_0A_Fwd_209148","99_11778","95_10938","90_10507","85_10065","80_9705"
"259","MG655267_0A_Fwd_206510","99_11778","95_10938","90_10507","85_10065","80_9705"
"260","MG655268_0A_Fwd_206739","99_11778","95_10938","90_10507","85_10065","80_9705"
"261","KU886224_0A_Fwd_205376","99_11778","95_10938","90_10507","85_10065","80_9705"
"262","KU886225_0A_Fwd_207637","99_11778","95_10938","90_10507","85_10065","80_9705"
"263","KU886222_0A_Fwd_207429","99_11778","95_10938","90_10507","85_10065","80_9705"
"264","KU886223_0A_Fwd_205205","99_11778","95_10938","90_10507","85_10065","80_9705"
"265","KF806589_0A_Fwd_205226","99_11778","95_10938","90_10507","85_10065","80_9705"
"266","MG655270_0A_Fwd_208194","99_11778","95_10938","90_10507","85_10065","80_9705"
"267","KU886222_0A_Fwd_50560","99_17230","95_10939","90_10508","85_10066","80_9706"
"268","MG655270_0A_Fwd_50534","99_11779","95_10939","90_10508","85_10066","80_9706"
"269","MG655269_0A_Fwd_50560","99_17230","95_10939","90_10508","85_10066","80_9706"
"270","KU886225_0A_Fwd_50561","99_11779","95_10939","90_10508","85_10066","80_9706"
"271","KU886223_0A_Fwd_49328","99_11779","95_10939","90_10508","85_10066","80_9706"
"272","KU886224_0A_Fwd_50061","99_11779","95_10939","90_10508","85_10066","80_9706"
"273","KF806589_0A_Fwd_50083","99_11779","95_10939","90_10508","85_10066","80_9706"
"274","MG655267_0A_Fwd_50545","99_11779","95_10939","90_10508","85_10066","80_9706"
"275","MK514281_0A_Fwd_50557","99_11779","95_10939","90_10508","85_10066","80_9706"
"276","MG655268_0A_Fwd_50041","99_11779","95_10939","90_10508","85_10066","80_9706"
"277","MK514281_0A_Fwd_206143","99_11780","95_10940","90_10509","85_10067","80_9707"
"278","KU886222_0A_Fwd_206597","99_17220","95_10940","90_10509","85_10067","80_9707"
"279","MG655270_0A_Fwd_207362","99_11780","95_10940","90_10509","85_10067","80_9707"
"280","KU886225_0A_Fwd_206805","99_11780","95_10940","90_10509","85_10067","80_9707"
"281","KF806589_0A_Fwd_204394","99_11780","95_10940","90_10509","85_10067","80_9707"
"282","MG655269_0A_Fwd_208316","99_11780","95_10940","90_10509","85_10067","80_9707"
"283","KU886223_0A_Fwd_204373","99_11780","95_10940","90_10509","85_10067","80_9707"
"284","KU886224_0A_Fwd_204544","99_11780","95_10940","90_10509","85_10067","80_9707"
"285","MG655268_0A_Fwd_205907","99_11780","95_10940","90_10509","85_10067","80_9707"
"286","MK514281_0A_Fwd_177236","99_11781","95_10941","90_10510","85_10068","80_9708"
"287","KU886222_0A_Fwd_176675","99_17224","95_15716","90_10510","85_10068","80_9708"
"288","KU886225_0A_Fwd_177221","99_11781","95_10941","90_10510","85_10068","80_9708"
"289","MG655267_0A_Fwd_176771","99_11781","95_10941","90_10510","85_10068","80_9708"
"290","MG655270_0A_Fwd_178124","99_11781","95_10941","90_10510","85_10068","80_9708"
"291","KF806589_0A_Fwd_175162","99_11781","95_10941","90_10510","85_10068","80_9708"
"292","MG655268_0A_Fwd_176996","99_11781","95_10941","90_10510","85_10068","80_9708"
"293","MG655269_0A_Fwd_177587","99_11781","95_10941","90_10510","85_10068","80_9708"
"294","KU886224_0A_Fwd_175639","99_11781","95_10941","90_10510","85_10068","80_9708"
"295","KU886223_0A_Fwd_175461","99_11781","95_10941","90_10510","85_10068","80_9708"
"296","MG655269_0A_Rev_216211","99_11782","95_10942","90_10511","85_10069","80_9709"
"297","MG655267_0A_Rev_213439","99_11782","95_10942","90_10511","85_10069","80_9709"
"298","KU886224_0A_Rev_212391","99_17219","95_10942","90_10511","85_10069","80_9709"
"299","KF806589_0A_Rev_212289","99_11782","95_10942","90_10511","85_10069","80_9709"
"300","KU886223_0A_Rev_212268","99_17219","95_10942","90_10511","85_10069","80_9709"
"301","KU886222_0A_Rev_214462","99_17219","95_10942","90_10511","85_10069","80_9709"
"302","KU886225_0A_Rev_214700","99_11782","95_10942","90_10511","85_10069","80_9709"
"303","AP014693_0A_Rev_52139","99_1045","95_1027","90_1016","85_1007","80_998"
"304","KU886224_0A_Fwd_55271","99_17249","95_10943","90_10512","85_10070","80_9710"
"305","MK514281_0A_Fwd_55771","99_17249","95_10943","90_10512","85_10070","80_9710"
"306","MG655268_0A_Fwd_55829","99_11783","95_10943","90_10512","85_10070","80_9710"
"307","MG655267_0A_Fwd_55756","99_17249","95_10943","90_10512","85_10070","80_9710"
"308","KU886222_0A_Fwd_56347","99_17218","95_15714","90_10512","85_10070","80_9710"
"309","KU886223_0A_Fwd_55113","99_11783","95_10943","90_10512","85_10070","80_9710"
"310","KF806589_0A_Fwd_55871","99_11783","95_10943","90_10512","85_10070","80_9710"
"311","KU886225_0A_Fwd_55770","99_11783","95_10943","90_10512","85_10070","80_9710"
"312","MG655269_0A_Fwd_56344","99_11783","95_10943","90_10512","85_10070","80_9710"
"313","MG655270_0A_Fwd_56322","99_11783","95_10943","90_10512","85_10070","80_9710"
"314","MG655270_0A_Rev_113","99_11784","95_10944","90_10513","85_10071","80_9711"
"315","MK514281_0A_Rev_113","99_11784","95_10944","90_10513","85_10071","80_9711"
"316","MG655269_0A_Rev_113","99_11784","95_10944","90_10513","85_10071","80_9711"
"317","KU886224_0A_Rev_113","99_11784","95_10944","90_10513","85_10071","80_9711"
"318","KU886223_0A_Rev_113","99_11784","95_10944","90_10513","85_10071","80_9711"
