contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
VIRSorter_CT_feces_enrich_feces_day27_scaffold_270-cat_2	102519	Yes	22005	108	17	48	Medium-quality	Genome-fragment	65.83	AAI-based (high-confidence)	78.54	1.0	contig >1.5x longer than expected genome length
VIRSorter_CT_feces_enrich_feces_day27_scaffold_291-cat_2	97886	No	NA	128	26	2	High-quality	High-quality	97.8	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day60_scaffold_47-cat_2	91303	No	NA	110	40	0	Medium-quality	Genome-fragment	88.92	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day10_scaffold_47-cat_2	91303	No	NA	110	40	0	Medium-quality	Genome-fragment	88.92	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_422-cat_2	77342	No	NA	109	45	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
VIRSorter_CT_feces_enrich_feces_day27_scaffold_508-cat_2	68536	No	NA	94	25	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_650-cat_2	57724	No	NA	103	13	2	Low-quality	Genome-fragment	34.86	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_392-cat_2	57719	No	NA	103	13	2	Low-quality	Genome-fragment	34.86	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_610-cat_2	42562	Yes	28619	63	18	7	Medium-quality	Genome-fragment	75.58	AAI-based (high-confidence)	32.76	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_679-cat_2	38770	Yes	36163	55	15	3	Medium-quality	Genome-fragment	58.72	HMM-based (lower-bound)	6.72	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_1123-cat_2	36618	No	NA	56	15	1	High-quality	High-quality	97.4	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_1332-cat_2	30459	No	NA	44	15	2	High-quality	High-quality	94.58	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_937-cat_2	27966	No	NA	49	15	0	Low-quality	Genome-fragment	45.66	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_1542-cat_2	26343	No	NA	38	12	0	Medium-quality	Genome-fragment	77.2	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day60_scaffold_179-cat_2	26331	No	NA	37	12	0	Medium-quality	Genome-fragment	77.18	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day10_scaffold_179-cat_2	26331	No	NA	37	12	0	Medium-quality	Genome-fragment	77.18	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_1012-cat_2	26215	No	NA	37	12	0	Medium-quality	Genome-fragment	76.84	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_1854-cat_2	22150	No	NA	39	10	0	Medium-quality	Genome-fragment	63.34	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_2154-cat_2	18645	No	NA	34	9	0	Low-quality	Genome-fragment	30.45	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_1817-cat_2	14029	No	NA	17	4	0	Low-quality	Genome-fragment	13.66	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_4375-cat_2	10112	No	NA	12	3	0	Low-quality	Genome-fragment	9.83	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_116_gene_13_gene_112-9920-73059-cat_4	63139	No	NA	97	27	0	High-quality	High-quality	97.77	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_0_gene_133_gene_232-138142-219567-cat_5	81425	No	NA	104	22	1	Medium-quality	Genome-fragment	55.48	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_1_gene_202_gene_400-204664-351679-cat_5	147015	No	NA	204	39	5	High-quality	High-quality	99.83	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_6_gene_266_gene_399-262705-378195-cat_5	115490	Yes	37313	134	19	65	Medium-quality	Genome-fragment	63.8	HMM-based (lower-bound)	67.69	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_6_gene_291_gene_399-290676-378195-cat_5	87519	Yes	29205	109	19	41	Medium-quality	Genome-fragment	75.79	AAI-based (high-confidence)	66.63	1.0	contig >1.5x longer than expected genome length
VIRSorter_CT_feces_enrich_feces_day27_scaffold_29_gene_111_gene_229-130066-232054-cat_5	101988	Yes	33817	120	18	54	Medium-quality	Genome-fragment	84.99	AAI-based (high-confidence)	66.84	1.0	contig >1.5x longer than expected genome length
VIRSorter_CT_feces_enrich_feces_day27_scaffold_144_gene_60_gene_173-54629-135225-cat_5	80596	Yes	46126	115	20	15	Medium-quality	Genome-fragment	70.86	HMM-based (lower-bound)	42.77	1.0	>1 viral region detected
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_277_gene_40_gene_94-36879-72656-cat_5	35727	No	NA	55	14	1	Medium-quality	Genome-fragment	78.65	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day10_scaffold_41_gene_1_gene_56-0-34446-cat_5	34446	Yes	30131	55	18	3	Medium-quality	Genome-fragment	79.58	AAI-based (high-confidence)	12.53	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day60_scaffold_41_gene_28_gene_83-34098-68593-cat_5	34445	Yes	30400	55	18	3	Medium-quality	Genome-fragment	80.29	AAI-based (high-confidence)	11.74	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_556_gene_22_gene_75-24305-64783-cat_5	40428	No	NA	60	15	1	High-quality	High-quality	95.62	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_feces_enrich_feces_day27_scaffold_648_gene_1_gene_56-0-34363-cat_5	34363	Yes	30048	55	18	3	Medium-quality	Genome-fragment	79.36	AAI-based (high-confidence)	12.56	1.0	
VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_2306_gene_1_gene_12-0-6612-cat_5	6612	No	NA	12	3	0	Low-quality	Genome-fragment	16.93	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_soil_enrich_CT_day5_scaffold_96-circular-cat_2	40944	No	NA	63	16	0	Medium-quality	Genome-fragment	67.83	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_CT_soil_enrich_noCT_day20_scaffold_197-cat_2	51263	Yes	36487	64	10	8	Complete	High-quality	100.0	Provirus (medium-confidence)	28.82	1.0	
VIRSorter_CT_soil_enrich_noCT_day10_scaffold_128-cat_2	42799	No	NA	56	10	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_soil_enrich_CT_day10_scaffold_501-cat_2	38945	No	NA	56	13	1	High-quality	High-quality	90.36	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_soil_enrich_CT_day20_scaffold_649-cat_2	36619	No	NA	67	6	1	Medium-quality	Genome-fragment	64.21	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_CT_soil_enrich_CT_day10_scaffold_1141-cat_2	10923	No	NA	19	0	1	Low-quality	Genome-fragment	24.0	AAI-based (medium-confidence)	0.0	1.01	no viral genes detected
VIRSorter_CT_soil_enrich_CT_day10_scaffold_229_gene_24_gene_124-8599-83465-cat_5	74866	No	NA	104	16	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_CT_soil_enrich_CT_day10_scaffold_156_gene_4_gene_53-1766-35303-cat_5	33537	No	NA	52	21	1	Medium-quality	Genome-fragment	70.66	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_EastRiver_Co1_scaffold_1953-cat_2	20736	No	NA	26	4	0	Medium-quality	Genome-fragment	50.45	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_EastRiver_Co2_scaffold_1114-cat_2	20736	No	NA	26	4	0	Medium-quality	Genome-fragment	50.45	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_EastRiver_Co1_scaffold_32_gene_11_gene_75-19536-80103-cat_5	60567	Yes	51748	63	12	10	Medium-quality	Genome-fragment	83.46	AAI-based (medium-confidence)	14.56	1.0	
VIRSorter_EastRiver_B2_scaffold_18_gene_11_gene_73-19536-80102-cat_5	60566	Yes	51747	62	12	10	Medium-quality	Genome-fragment	83.46	AAI-based (medium-confidence)	14.56	1.0	
VIRSorter_DJKA75_ANT-F21_scaffold_30-circular-cat_1	59252	No	NA	81	24	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA67_ANT-F21_scaffold_40-circular-cat_1	59153	No	NA	82	25	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA128_NP-F35_scaffold_149-circular-cat_1	34294	No	NA	51	15	1	Medium-quality	Genome-fragment	66.42	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA113_NP-J24_scaffold_149-circular-cat_1	53711	No	NA	77	17	4	High-quality	High-quality	99.06	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA105_NP-J24_scaffold_123-circular-cat_1	53711	No	NA	77	18	4	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA99_ANT-F21_scaffold_84-circular-cat_1	59153	No	NA	81	24	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA121_NP-J24_scaffold_78-circular-cat_1	53711	No	NA	77	16	4	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA72_NP-F35_scaffold_25-cat_1	42333	No	NA	60	19	1	High-quality	High-quality	91.31	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA78_ANT-KO_scaffold_159-cat_1	37880	No	NA	57	27	0	High-quality	High-quality	95.79	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA46_ANT-F21_scaffold_159-cat_1	24122	No	NA	30	14	1	Low-quality	Genome-fragment	49.98	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA80_NP-35_scaffold_167-cat_1	22667	No	NA	32	12	2	Low-quality	Genome-fragment	46.93	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA54_ANT-KO_scaffold_673-cat_1	17826	No	NA	25	8	2	Low-quality	Genome-fragment	33.94	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA84_ANT-21_scaffold_511-cat_1	17265	No	NA	22	12	0	Low-quality	Genome-fragment	41.66	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA116_ANT-21_scaffold_949-cat_1	14613	Yes	13120	22	6	2	Low-quality	Genome-fragment	31.4	AAI-based (medium-confidence)	10.22	1.0	
VIRSorter_JMDJ14_ANT-KO_scaffold_37-circular-cat_2	36888	No	NA	49	20	0	Medium-quality	Genome-fragment	78.83	AAI-based (medium-confidence)	0.0	1.01	
VIRSorter_DJKA72_NP-F35_scaffold_33-circular-cat_2	39230	No	NA	51	16	0	Medium-quality	Genome-fragment	89.61	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA80_NP-35_scaffold_19-circular-cat_2	62798	No	NA	106	19	1	High-quality	High-quality	90.46	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA108_ANT-21_scaffold_79-circular-cat_2	30595	No	NA	46	19	2	Medium-quality	Genome-fragment	67.12	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA52_ANT-21_scaffold_1364-circular-cat_2	10807	No	NA	19	1	1	Low-quality	Genome-fragment	18.53	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA95_NP-F11_scaffold_44-circular-cat_2	53799	No	NA	88	26	2	Medium-quality	Genome-fragment	71.85	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA51_ANT-F21_scaffold_1901-circular-cat_2	10819	No	NA	19	1	1	Low-quality	Genome-fragment	18.55	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA121_NP-J24_scaffold_118-circular-cat_2	42284	No	NA	61	16	2	Medium-quality	Genome-fragment	81.02	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA107_ANT-F21_scaffold_100-cat_2	255009	No	NA	321	61	11	Medium-quality	Genome-fragment	70.34	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA113_NP-J24_scaffold_49-cat_2	96020	No	NA	129	16	4	Medium-quality	Genome-fragment	87.84	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA105_NP-J24_scaffold_33-cat_2	95982	No	NA	129	16	4	Medium-quality	Genome-fragment	87.81	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA59_ANT-F21_scaffold_17-cat_2	94139	No	NA	134	13	7	Medium-quality	Genome-fragment	82.53	HMM-based (lower-bound)	0.0	1.01	
VIRSorter_DJKA47_NP-F11_scaffold_30-cat_2	80026	No	NA	86	10	3	Low-quality	Genome-fragment	33.37	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA119_NP-F11_scaffold_6-cat_2	77726	No	NA	85	14	1	Medium-quality	Genome-fragment	71.11	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA120_NP-F35_scaffold_19-cat_2	73783	No	NA	78	13	1	Medium-quality	Genome-fragment	67.5	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA102_ANT-KO_scaffold_57-cat_2	72071	No	NA	72	9	3	Low-quality	Genome-fragment	32.43	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA102_ANT-KO_scaffold_99-cat_2	58652	No	NA	88	15	1	Low-quality	Genome-fragment	48.6	HMM-based (lower-bound)	0.0	1.0	
VIRSorter_DJKA123_ANT-F21_scaffold_106-cat_2	54275	No	NA	90	26	2	Medium-quality	Genome-fragment	72.48	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA115_ANT-F21_scaffold_260-cat_2	53040	Yes	23560	66	5	14	Low-quality	Genome-fragment	40.38	HMM-based (lower-bound)	55.58	1.0	low-confidence Provirus
VIRSorter_DJKA39_NP-F11_scaffold_64-cat_2	52623	No	NA	79	24	4	High-quality	High-quality	90.76	AAI-based (high-confidence)	0.0	1.01	
VIRSorter_JMDJ19_ANT-F21_scaffold_92-cat_2	52337	No	NA	100	14	1	Medium-quality	Genome-fragment	75.49	AAI-based (high-confidence)	0.0	1.0	
VIRSorter_DJKA46_ANT-F21_scaffold_27-cat_2	51929	Yes	45761	89	26	5	Medium-quality	Genome-fragment	62.11	AAI-based (medium-confidence)	11.88	1.0	
VIRSorter_DJKA59_ANT-F21_scaffold_132-cat_2	44845	No	NA	81	15	6	Medium-quality	Genome-fragment	63.25	AAI-based (medium-confidence)	0.0	1.0	
VIRSorter_DJKA51_ANT-F21_scaffold_88-cat_2	43613	No	NA	38	6	1	Low-quality	Genome-fragment	38.0	AAI-based (high-confidence)	0.0	1.0	
