contig_id	contig_length	n_genes	votu	genus_cluster	family_cluster	genomad_taxonomy	predicted_host	genomad_chromosome_score	genomad_plasmid_score	genomad_virus_score	genomad_n_uscg	genomad_n_plasmid_hallmarks	genomad_n_virus_hallmarks	genomad_marker_enrichment_c	genomad_marker_enrichment_p	genomad_marker_enrichment_v	checkv_quality	checkv_completeness	checkv_completeness_method	checkv_aai	checkv_aai_shared_fraction
2124908027.a:MRS2a_Contig_173	19437	30	vOTU_002332	gc_002191	fc_000162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0078	0.0211	0.9711	0	0	2	-18.6521	-17.5517	14.5048	Low-quality	44.01	AAI-based (medium-confidence)	47.36	48.38
2124908027.a:MRS2a_Contig_206	86013	144	vOTU_000315	gc_000158	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas jandaei	0.0068	0.0125	0.9807	0	0	24	-187.2639	-134.2521	130.8713	High-quality	100.0	AAI-based (high-confidence)	78.42	62.05
2124908027.a:MRS2a_Contig_239	44304	88	vOTU_004491	gc_003071	fc_000918	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0125	0.0817	0.9059	0	0	1	-45.3433	-22.6482	18.5676	Medium-quality	54.31	AAI-based (high-confidence)	90.09	69.57
2124908027.a:MRS2a_Contig_244	7352	11	vOTU_002339	gc_000996	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.0124	0.9808	0	0	1	-13.0585	-11.8429	11.022	Low-quality	15.32	AAI-based (high-confidence)	79.41	41.54
2124908027.a:MRS2a_Contig_255	11325	14	vOTU_000828	gc_000001	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0064	0.0103	0.9833	0	0	2	-22.5928	-22.4774	21.9909	Low-quality	18.83	AAI-based (high-confidence)	65.36	76.95
2124908027.a:MRS2a_Contig_299	5684	6	vOTU_004492	gc_000360	fc_000084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0062	0.0105	0.9833	0	0	4	-11.9186	-9.4787	9.4729	Low-quality	13.1	AAI-based (high-confidence)	95.48	86.6
2124908027.a:MRS2a_Contig_309	22326	47	vOTU_000315	gc_000158	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0124	0.9807	0	0	2	-45.021	-33.4881	32.7383	Low-quality	46.01	AAI-based (high-confidence)	72.7	34.42
2124908027.a:MRS2a_Contig_333	5867	8	vOTU_014497	gc_002192	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0063	0.0103	0.9834	0	0	3	-14.6433	-13.3868	13.2314	Low-quality	6.12	AAI-based (high-confidence)	89.1	95.4
2124908027.a:MRS2a_Contig_351	5421	5	vOTU_004493	gc_004549	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0063	0.0106	0.9831	0	0	3	-8.5828	-8.6149	8.5828	Low-quality	5.54	AAI-based (high-confidence)	80.09	61.45
2124908027.a:MRS2a_Contig_354	7214	13	vOTU_002302	gc_002189	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0071	0.0117	0.9811	0	0	1	-9.9316	-7.8278	7.6558	Low-quality	7.9	AAI-based (high-confidence)	67.56	41.7
2124908027.a:MRS2a_Contig_386	6138	13	vOTU_002339	gc_000996	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.0113	0.982	0	0	2	-11.751	-9.4779	9.4779	Low-quality	12.75	AAI-based (high-confidence)	71.49	65.72
2124908027.a:MRS2a_Contig_939	10880	11	vOTU_014506	gc_000001	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0074	0.0113	0.9813	0	0	2	-16.9964	-14.7522	14.2645	Low-quality	18.29	AAI-based (high-confidence)	60.72	54.11
2124908027.a:MRS2a_Contig_1178	8191	16	vOTU_000316	gc_001623	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.0114	0.9819	0	0	2	-13.1254	-15.0852	12.8032	Low-quality	10.59	AAI-based (high-confidence)	67.12	28.69
2124908027.a:MRS2a_Contig_1214	6851	12	vOTU_000862	gc_004553	fc_000084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0135	0.0484	0.9381	0	0	2	-6.2711	-4.5784	4.5667	Low-quality	15.7	AAI-based (high-confidence)	82.31	34.27
2124908027.a:MRS2a_Contig_1280	12291	26	vOTU_014500	gc_007386	fc_000793	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.0112	0.982	0	0	0	-24.0934	-24.4589	23.5718	Low-quality	12.49	AAI-based (high-confidence)	86.42	79.11
2124908027.a:MRS2a_Contig_1309	14813	24	vOTU_014499	gc_004555	fc_000563	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0082	0.0209	0.971	0	0	0	-20.7081	-18.3848	17.084	Low-quality	34.15	AAI-based (high-confidence)	68.93	33.34
2124908027.a:MRS2a_Contig_1673	15834	16	vOTU_000823	gc_000476	fc_000028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0073	0.0129	0.9798	0	0	2	-20.9843	-15.2148	14.9	Low-quality	23.49	AAI-based (medium-confidence)	56.66	70.94
2124908027.a:MRS2a_Contig_1677	14689	19	vOTU_004495	gc_000675	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0075	0.0147	0.9778	0	0	5	-26.8547	-19.6945	19.4169	Low-quality	27.68	AAI-based (high-confidence)	73.86	65.43
2124908027.a:MRS2a_Contig_1684	9641	16	vOTU_004482	gc_007389	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0074	0.0124	0.9801	0	0	1	-16.2478	-11.7705	11.2908	Low-quality	9.62	AAI-based (high-confidence)	80.9	40.53
2124908027.a:MRS2a_Contig_1691	5031	7	vOTU_014492	gc_000995	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0071	0.0139	0.979	0	0	2	-10.5648	-7.7877	7.3805	Low-quality	10.32	AAI-based (medium-confidence)	44.04	58.76
2124908027.a:MRS2a_Contig_2418	6375	7	vOTU_014495	gc_007387	fc_000793	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0077	0.0131	0.9792	0	0	1	-8.45	-6.0629	5.6609	Low-quality	6.52	AAI-based (high-confidence)	96.45	91.83
2124908027.a:MRS2a_Contig_3910	279201	483	vOTU_000161	gc_000072	fc_000047	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0095	0.0416	0.9489	0	0	125	-620.8501	-452.2678	375.7637	High-quality	100.0	AAI-based (high-confidence)	99.98	99.73
2124908027.a:MRS2a_Contig_5006	10742	22	vOTU_014493	gc_000158	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.007	0.0121	0.981	0	0	3	-18.0895	-14.0074	13.8534	Low-quality	22.19	AAI-based (high-confidence)	76.14	57.15
2124908027.a:MRS2a_Contig_5138	5680	7	vOTU_004488	gc_000808	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0114	0.9817	0	0	4	-10.9549	-7.4184	7.0829	Low-quality	6.07	AAI-based (high-confidence)	81.61	48.71
2124908027.a:MRS2a_Contig_5146	9303	12	vOTU_000841	gc_001621	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0076	0.0189	0.9735	0	0	3	-20.648	-15.2842	14.9783	Low-quality	17.85	AAI-based (high-confidence)	73.79	67.64
2124908027.a:MRS2a_Contig_5147	11040	9	vOTU_014502	gc_000001	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0137	0.0149	0.9714	0	0	2	-11.9485	-9.3476	9.231	Low-quality	18.12	AAI-based (high-confidence)	64.2	41.67
2124908027.a:MRS2a_Contig_5153	5705	8	vOTU_000283	gc_000808	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0086	0.0151	0.9763	0	0	1	-4.9895	-5.5125	4.9895	Low-quality	6.67	AAI-based (high-confidence)	56.25	68.03
2124908027.a:MRS2a_Contig_5156	12494	23	vOTU_002329	gc_001622	fc_000028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0086	0.0257	0.9656	0	0	1	-13.4273	-11.4283	11.2384	Low-quality	18.53	AAI-based (high-confidence)	67.46	42.63
2124908027.a:MRS2a_Contig_6204	8019	10	vOTU_000832	gc_000001	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0065	0.0105	0.9829	0	0	3	-13.7463	-13.7463	13.7463	Low-quality	13.36	AAI-based (high-confidence)	62.16	92.1
2124908027.a:MRS2a_Contig_6416	8682	18	vOTU_014496	gc_004550	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0079	0.0131	0.9791	0	0	1	-13.6502	-13.9836	13.6502	Low-quality	15.28	AAI-based (high-confidence)	58.68	29.87
2124908027.a:MRS2a_Contig_6460	12068	31	vOTU_014494	gc_007388	fc_002453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0088	0.0133	0.9779	0	0	0	-26.0698	-23.857	22.1552	Low-quality	13.22	AAI-based (high-confidence)	58.47	46.1
2124908027.a:MRS2a_Contig_6474	10934	22	vOTU_002300	gc_000108	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.007	0.0121	0.9809	0	0	5	-23.8186	-24.5505	23.8186	Low-quality	12.47	AAI-based (high-confidence)	68.63	66.69
2124908027.a:MRS2a_Contig_6813	5824	6	vOTU_004498	gc_003073	fc_000047	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.011	0.0168	0.9723	0	0	2	-9.6875	-12.8127	7.568	Low-quality	15.74	AAI-based (high-confidence)	100.0	67.39
2124908027.a:MRS2a_Contig_6848	5005	10	vOTU_014491	gc_007390	fc_000213	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.0113	0.9821	0	0	1	-12.7491	-11.6313	11.5911	Low-quality	5.11	AAI-based (high-confidence)	86.68	70.37
2124908027.a:MRS2a_Contig_6885	6602	8	vOTU_004487	gc_000476	fc_000028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0071	0.014	0.9789	0	0	1	-12.3874	-9.4647	8.9009	Low-quality	9.76	AAI-based (high-confidence)	65.07	84.62
2124908027.a:MRS2a_Contig_6928	6630	15	vOTU_014505	gc_007391	fc_000004	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.0066	0.0119	0.9815	0	0	1	-23.302	-16.4891	16.1649	Low-quality	16.65	AAI-based (medium-confidence)	62.77	25.38
2124908027.a:MRS2a_Contig_6955	7702	10	vOTU_004495	gc_000675	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0087	0.0131	0.9783	0	0	3	-13.2085	-11.4154	11.3602	Low-quality	15.81	AAI-based (high-confidence)	79.95	59.78
2124908027.a:MRS2a_Contig_6971	5657	9	vOTU_014507	gc_000003	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0111	0.982	0	0	1	-6.8731	-6.8731	6.8731	Low-quality	9.46	AAI-based (high-confidence)	70.86	74.36
2124908027.a:MRS2a_Contig_7095	8020	13	vOTU_000828	gc_000001	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0064	0.0105	0.9831	0	0	1	-19.1562	-19.0408	18.5544	Low-quality	13.32	AAI-based (high-confidence)	70.12	61.75
2124908027.a:MRS2a_Contig_7103	6414	9	vOTU_014504	gc_004550	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0084	0.0129	0.9787	0	0	1	-9.345	-8.22	8.0591	Low-quality	11.32	AAI-based (medium-confidence)	57.7	29.85
2124908027.a:MRS2a_Contig_7108	6166	6	vOTU_000823	gc_000476	fc_000386	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0075	0.013	0.9794	0	0	1	-8.2166	-6.124	6.044	Low-quality	9.1	AAI-based (high-confidence)	71.05	34.76
2124908027.a:MRS2a_Contig_7137	10225	12	vOTU_004487	gc_000476	fc_000028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0076	0.0152	0.9772	0	0	2	-16.3202	-12.6514	12.0877	Low-quality	15.12	AAI-based (high-confidence)	63.25	84.05
2124908027.a:MRS2a_Contig_7188	5134	7	vOTU_000316	gc_001623	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0071	0.0125	0.9804	0	0	2	-6.554	-7.6397	6.2318	Low-quality	10.64	AAI-based (high-confidence)	86.6	36.72
2124908027.a:MRS2a_Contig_7215	16055	21	vOTU_002332	gc_002191	fc_000162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0093	0.0347	0.956	0	0	2	-10.0917	-11.4216	8.6834	Low-quality	36.4	AAI-based (medium-confidence)	48.02	32.84
2124908027.a:MRS2a_Contig_7232	5498	10	vOTU_000316	gc_001623	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0071	0.0129	0.98	0	0	2	-8.2723	-9.358	7.9501	Low-quality	7.09	AAI-based (high-confidence)	77.79	34.97
2124908027.a:MRS2a_Contig_7398	8668	12	vOTU_002300	gc_000108	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0066	0.0114	0.9821	0	0	4	-15.1867	-16.0174	15.1867	Low-quality	9.88	AAI-based (high-confidence)	70.58	84.21
2124908027.a:MRS2a_Contig_7413	9886	10	vOTU_014490	gc_002190	fc_000004	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0077	0.016	0.9763	0	0	2	-9.7598	-8.0702	8.0048	Low-quality	21.3	AAI-based (high-confidence)	95.33	56.58
2124908027.a:MRS2a_Contig_7554	5493	10	vOTU_000316	gc_001623	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0119	0.9812	0	0	2	-8.2723	-9.358	7.9501	Low-quality	7.47	AAI-based (medium-confidence)	74.65	29.97
2124908027.a:MRS2a_Contig_8177	6521	7	vOTU_000841	gc_001621	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0078	0.0194	0.9729	0	0	2	-10.4216	-7.5984	7.5945	Low-quality	12.38	AAI-based (medium-confidence)	78.94	29.44
2124908027.a:MRS2a_Contig_8261	19465	28	vOTU_000843	gc_003072	fc_000918	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0127	0.0329	0.9544	0	0	0	-9.8296	-8.0556	7.7283	Low-quality	23.86	AAI-based (high-confidence)	87.58	41.89
2124908027.a:MRS2a_Contig_8497	6837	8	vOTU_000283	gc_000808	fc_000103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0085	0.0146	0.9769	0	0	1	-4.9895	-5.5125	4.9895	Low-quality	8.0	AAI-based (high-confidence)	55.18	72.66
2124908027.a:MRS2a_Contig_8745	8453	12	vOTU_000841	gc_001621	fc_000063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.0123	0.981	0	0	5	-21.0324	-14.9963	14.9873	Low-quality	15.73	AAI-based (high-confidence)	70.43	54.39
2124908027.a:MRS2a_Contig_8935	9693	13	vOTU_000862	gc_004553	fc_000084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0114	0.0511	0.9376	0	0	2	-5.713	-4.8666	4.8608	Low-quality	14.73	HMM-based (lower-bound)	88.25	21.91
2162886006.a:SwRhRL3b_contig_131739	6306	10	vOTU_004506	gc_000001	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0082	0.0116	0.9801	0	0	2	-14.1538	-13.5519	13.5519	Low-quality	10.53	AAI-based (high-confidence)	66.44	72.97
2162886006.a:SwRhRL3b_contig_288898	9163	26	vOTU_000597	gc_001629	fc_000149	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.018	0.0177	0.9643	0	0	1	-14.0987	-14.3654	8.5227	Low-quality	16.57	AAI-based (medium-confidence)	54.6	47.62
2162886006.a:SwRhRL3b_contig_318861	31219	51	vOTU_000334	gc_000678	fc_000738	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0073	0.0154	0.9773	0	0	4	-46.5603	-33.4774	31.9423	Medium-quality	79.26	AAI-based (high-confidence)	100.0	99.74
2162886006.a:SwRhRL3b_contig_319379	12867	16	vOTU_002364	gc_000809	fc_000023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0134	0.0151	0.9716	0	0	3	-16.264	-15.4313	14.6505	Low-quality	22.42	AAI-based (high-confidence)	100.0	100.0
2162886006.a:SwRhRL3b_contig_348353	13283	16	vOTU_004505	gc_003084	fc_000220	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0139	0.0211	0.965	0	0	1	-3.4059	-3.5157	3.4059	Low-quality	30.61	AAI-based (medium-confidence)	44.71	55.14
2162886006.a:SwRhRL3b_contig_467713	10554	13	vOTU_002309	gc_004565	fc_001029	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0098	0.0215	0.9687	0	0	1	-8.4171	-8.9987	8.4171	Low-quality	4.89	HMM-based (lower-bound)	28.87	37.49
2162886006.a:SwRhRL3b_contig_1047338	8902	8	vOTU_014508	gc_000065	fc_000032	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0389	0.0238	0.9373	0	0	1	-9.9349	-7.8423	7.7622	Low-quality	12.43	AAI-based (medium-confidence)	48.38	47.32
2162886006.a:SwRhRL3b_contig_1333437	16114	30	vOTU_002364	gc_000559	fc_000023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0088	0.0158	0.9755	0	0	1	-11.0964	-10.1048	9.4103	Low-quality	28.08	AAI-based (high-confidence)	100.0	100.0
2162886006.a:SwRhRL3b_contig_1354210	12872	20	vOTU_004501	gc_004564	fc_000040	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0095	0.0211	0.9695	0	0	0	-9.2062	-8.7184	7.8469	Low-quality	23.29	AAI-based (medium-confidence)	46.46	32.57
2162886006.a:SwRhRL3b_contig_1564674	6717	6	vOTU_004503	gc_000001	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0089	0.0119	0.9792	0	0	2	-10.7587	-10.2762	9.9004	Low-quality	11.52	AAI-based (medium-confidence)	50.68	79.33
2162886006.a:SwRhRL3b_contig_2200134	7822	15	vOTU_002347	gc_003082	fc_000799	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.012	0.9813	0	0	5	-16.631	-14.9977	14.5677	Low-quality	9.05	AAI-based (high-confidence)	57.58	31.69
2162886006.a:SwRhRL3b_contig_2639763	6154	7	vOTU_000024	gc_000015	fc_000018	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.011	0.9822	0	0	2	-7.3917	-6.6456	6.5776	Low-quality	13.85	AAI-based (high-confidence)	99.48	100.0
2162886006.a:SwRhRL3b_contig_2690443	7676	10	vOTU_000597	gc_000204	fc_000149	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0065	0.0106	0.9829	0	0	5	-15.7277	-13.0018	12.4541	Low-quality	13.88	AAI-based (high-confidence)	86.85	91.31
2162886006.a:SwRhRL3b_contig_2717586	5298	5	vOTU_004502	gc_003079	fc_001028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0097	0.0227	0.9676	0	0	1	-4.7482	-5.9998	4.7482	Low-quality	11.12	HMM-based (lower-bound)	35.2	42.31
2162886006.a:SwRhRL3b_contig_2744375	5526	7	vOTU_000784	gc_002197	fc_000220	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0148	0.0207	0.9645	0	0	1	-3.3929	-3.549	3.3929	Low-quality	12.71	AAI-based (medium-confidence)	51.07	65.57
2162886006.a:SwRhRL3b_contig_3057140	6064	6	vOTU_000591	gc_000363	fc_000385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0128	0.9803	0	0	2	-7.8203	-6.6424	6.2081	Low-quality	17.36	AAI-based (medium-confidence)	34.07	53.63
2162886006.a:SwRhRL3b_contig_3158360	16580	20	vOTU_000817	gc_000811	fc_000093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.011	0.9824	0	0	1	-19.1972	-19.0836	18.4366	Low-quality	35.49	AAI-based (medium-confidence)	48.98	56.77
