genome,threshold,cluster_method,comparison_algorithm,greedy_representative,primary_cluster,original_secondary_cluster,secondary_cluster
EF536069.fasta,0.005,greedy,fastANI,True,0,0_1564,0_1564
EF579802.fasta,0.005,greedy,fastANI,True,0,0_3172,0_3172
EU203571.fasta,0.005,greedy,fastANI,True,0,0_2058,0_2058
EU568876.fasta,0.005,greedy,fastANI,False,0,0_3527,0_3527
EU676000.fasta,0.005,greedy,fastANI,True,0,0_1169,0_1169
EU744248.fasta,0.005,greedy,fastANI,True,0,0_2101,0_2101
EU744249.fasta,0.005,greedy,fastANI,True,0,0_2542,0_2542
EU744250.fasta,0.005,greedy,fastANI,True,0,0_2264,0_2264
EU744251.fasta,0.005,greedy,fastANI,True,0,0_2724,0_2724
EU744252.fasta,0.005,greedy,fastANI,True,0,0_2504,0_2504
EU770221.fasta,0.005,greedy,fastANI,True,0,0_710,0_710
EU770222.fasta,0.005,greedy,fastANI,True,0,0_703,0_703
EU816588.fasta,0.005,greedy,fastANI,True,0,0_446,0_446
EU816589.fasta,0.005,greedy,fastANI,True,0,0_992,0_992
EU816590.fasta,0.005,greedy,fastANI,True,0,0_1656,0_1656
EU816591.fasta,0.005,greedy,fastANI,True,0,0_490,0_490
EU826466.fasta,0.005,greedy,fastANI,True,0,0_16,0_16
EU826467.fasta,0.005,greedy,fastANI,True,0,0_120,0_120
EU826468.fasta,0.005,greedy,fastANI,True,0,0_97,0_97
EU826469.fasta,0.005,greedy,fastANI,True,0,0_119,0_119
EU826470.fasta,0.005,greedy,fastANI,True,0,0_2937,0_2937
EU826471.fasta,0.005,greedy,fastANI,True,0,0_86,0_86
FJ168659.fasta,0.005,greedy,fastANI,False,0,0_3084,0_3084
FJ168660.fasta,0.005,greedy,fastANI,False,0,0_1161,0_1161
FJ168661.fasta,0.005,greedy,fastANI,True,0,0_1152,0_1152
FJ168662.fasta,0.005,greedy,fastANI,True,0,0_1159,0_1159
FJ174690.fasta,0.005,greedy,fastANI,True,0,0_1589,0_1589
FJ174691.fasta,0.005,greedy,fastANI,True,0,0_796,0_796
FJ174692.fasta,0.005,greedy,fastANI,True,0,0_1583,0_1583
FJ174693.fasta,0.005,greedy,fastANI,True,0,0_1579,0_1579
FJ174694.fasta,0.005,greedy,fastANI,True,0,0_933,0_933
FJ641182.fasta,0.005,greedy,fastANI,True,0,0_737,0_737
FJ706171.fasta,0.005,greedy,fastANI,True,0,0_3950,0_3950
FJ706172.fasta,0.005,greedy,fastANI,True,0,0_3952,0_3952
FJ973624.fasta,0.005,greedy,fastANI,False,0,0_3527,0_3527
GQ141189.fasta,0.005,greedy,fastANI,True,0,0_3696,0_3696
GQ241246.fasta,0.005,greedy,fastANI,True,0,0_1573,0_1573
GQ303259.fasta,0.005,greedy,fastANI,True,0,0_1018,0_1018
GQ303260.fasta,0.005,greedy,fastANI,True,0,0_84,0_84
GQ303261.fasta,0.005,greedy,fastANI,False,0,0_3527,0_3527
GQ303262.fasta,0.005,greedy,fastANI,True,0,0_115,0_115
GQ303263.fasta,0.005,greedy,fastANI,True,0,0_2586,0_2586
GQ303264.fasta,0.005,greedy,fastANI,True,0,0_959,0_959
GQ303265.fasta,0.005,greedy,fastANI,True,0,0_562,0_562
GQ303266.fasta,0.005,greedy,fastANI,True,0,0_1004,0_1004
GQ379227.fasta,0.005,greedy,fastANI,True,0,0_3827,0_3827
GQ919031.fasta,0.005,greedy,fastANI,True,0,0_339,0_339
GU060500.fasta,0.005,greedy,fastANI,True,0,0_2428,0_2428
GU247132.fasta,0.005,greedy,fastANI,True,0,0_2203,0_2203
GU247133.fasta,0.005,greedy,fastANI,True,0,0_904,0_904
GU247134.fasta,0.005,greedy,fastANI,False,0,0_933,0_933
GU339467.fasta,0.005,greedy,fastANI,True,0,0_2147,0_2147
GU580940.fasta,0.005,greedy,fastANI,True,0,0_495,0_495
GU580941.fasta,0.005,greedy,fastANI,True,0,0_419,0_419
GU580942.fasta,0.005,greedy,fastANI,True,0,0_387,0_387
GU580943.fasta,0.005,greedy,fastANI,True,0,0_1502,0_1502
HM114277.fasta,0.005,greedy,fastANI,True,0,0_141,0_141
HM152763.fasta,0.005,greedy,fastANI,True,0,0_596,0_596
HM152764.fasta,0.005,greedy,fastANI,True,0,0_1460,0_1460
HM152765.fasta,0.005,greedy,fastANI,True,0,0_3084,0_3084
HM152766.fasta,0.005,greedy,fastANI,True,0,0_2552,0_2552
HM152767.fasta,0.005,greedy,fastANI,True,0,0_1438,0_1438
HM486077.fasta,0.005,greedy,fastANI,True,0,0_1300,0_1300
HM755814.fasta,0.005,greedy,fastANI,True,0,0_3012,0_3012
HQ403646.fasta,0.005,greedy,fastANI,True,0,0_3224,0_3224
HQ728524.fasta,0.005,greedy,fastANI,True,0,0_1503,0_1503
JF704091.fasta,0.005,greedy,fastANI,True,0,0_829,0_829
JF704092.fasta,0.005,greedy,fastANI,True,0,0_129,0_129
JF704093.fasta,0.005,greedy,fastANI,False,0,0_2553,0_2553
JF704094.fasta,0.005,greedy,fastANI,True,0,0_686,0_686
JF704095.fasta,0.005,greedy,fastANI,True,0,0_972,0_972
JF704096.fasta,0.005,greedy,fastANI,False,0,0_23,0_23
JF704097.fasta,0.005,greedy,fastANI,True,0,0_2413,0_2413
JF704098.fasta,0.005,greedy,fastANI,False,0,0_2745,0_2745
JF704099.fasta,0.005,greedy,fastANI,True,0,0_987,0_987
JF704100.fasta,0.005,greedy,fastANI,True,0,0_1139,0_1139
JF704101.fasta,0.005,greedy,fastANI,False,0,0_2749,0_2749
JF704102.fasta,0.005,greedy,fastANI,True,0,0_966,0_966
JF704103.fasta,0.005,greedy,fastANI,True,0,0_950,0_950
JF704104.fasta,0.005,greedy,fastANI,True,0,0_655,0_655
JF704105.fasta,0.005,greedy,fastANI,True,0,0_1455,0_1455
JF704106.fasta,0.005,greedy,fastANI,True,0,0_1353,0_1353
JF704107.fasta,0.005,greedy,fastANI,True,0,0_2515,0_2515
JF704108.fasta,0.005,greedy,fastANI,True,0,0_552,0_552
JF704109.fasta,0.005,greedy,fastANI,True,0,0_857,0_857
JF704110.fasta,0.005,greedy,fastANI,False,0,0_2123,0_2123
JF704111.fasta,0.005,greedy,fastANI,True,0,0_3053,0_3053
JF704112.fasta,0.005,greedy,fastANI,True,0,0_627,0_627
JF704113.fasta,0.005,greedy,fastANI,True,0,0_583,0_583
JF704114.fasta,0.005,greedy,fastANI,True,0,0_2728,0_2728
JF704115.fasta,0.005,greedy,fastANI,True,0,0_1561,0_1561
JF704116.fasta,0.005,greedy,fastANI,True,0,0_54,0_54
JF704117.fasta,0.005,greedy,fastANI,True,0,0_1782,0_1782
JF744988.fasta,0.005,greedy,fastANI,False,0,0_426,0_426
JF792674.fasta,0.005,greedy,fastANI,True,0,0_2614,0_2614
JF923796.fasta,0.005,greedy,fastANI,True,0,0_1122,0_1122
JF923797.fasta,0.005,greedy,fastANI,True,0,0_1124,0_1124
JF937090.fasta,0.005,greedy,fastANI,True,0,0_278,0_278
JF937091.fasta,0.005,greedy,fastANI,True,0,0_548,0_548
JF937092.fasta,0.005,greedy,fastANI,False,0,0_2359,0_2359
JF937093.fasta,0.005,greedy,fastANI,True,0,0_1539,0_1539
JF937094.fasta,0.005,greedy,fastANI,True,0,0_2460,0_2460
JF937095.fasta,0.005,greedy,fastANI,True,0,0_983,0_983
JF937096.fasta,0.005,greedy,fastANI,True,0,0_468,0_468
JF937097.fasta,0.005,greedy,fastANI,False,0,0_857,0_857
JF937098.fasta,0.005,greedy,fastANI,True,0,0_1884,0_1884
JF937099.fasta,0.005,greedy,fastANI,True,0,0_2421,0_2421
JF937100.fasta,0.005,greedy,fastANI,True,0,0_2817,0_2817
JF937101.fasta,0.005,greedy,fastANI,True,0,0_299,0_299
JF937102.fasta,0.005,greedy,fastANI,True,0,0_1742,0_1742
JF937103.fasta,0.005,greedy,fastANI,True,0,0_2556,0_2556
JF937104.fasta,0.005,greedy,fastANI,True,0,0_1328,0_1328
JF937105.fasta,0.005,greedy,fastANI,True,0,0_352,0_352
JF937106.fasta,0.005,greedy,fastANI,True,0,0_475,0_475
JF937107.fasta,0.005,greedy,fastANI,False,0,0_1152,0_1152
JF937108.fasta,0.005,greedy,fastANI,True,0,0_2396,0_2396
JF937109.fasta,0.005,greedy,fastANI,False,0,0_856,0_856
JF937110.fasta,0.005,greedy,fastANI,True,0,0_2579,0_2579
JF946695.fasta,0.005,greedy,fastANI,True,0,0_2370,0_2370
JF957056.fasta,0.005,greedy,fastANI,True,0,0_831,0_831
JF957057.fasta,0.005,greedy,fastANI,True,0,0_2188,0_2188
JF957058.fasta,0.005,greedy,fastANI,True,0,0_2835,0_2835
JF957059.fasta,0.005,greedy,fastANI,True,0,0_298,0_298
JF957060.fasta,0.005,greedy,fastANI,True,0,0_2156,0_2156
JN006061.fasta,0.005,greedy,fastANI,False,0,0_434,0_434
JN006062.fasta,0.005,greedy,fastANI,True,0,0_499,0_499
JN006063.fasta,0.005,greedy,fastANI,True,0,0_842,0_842
JN006064.fasta,0.005,greedy,fastANI,True,0,0_765,0_765
JN020140.fasta,0.005,greedy,fastANI,True,0,0_2718,0_2718
JN020141.fasta,0.005,greedy,fastANI,True,0,0_1490,0_1490
JN020142.fasta,0.005,greedy,fastANI,True,0,0_1699,0_1699
JN020143.fasta,0.005,greedy,fastANI,True,0,0_1440,0_1440
JN035618.fasta,0.005,greedy,fastANI,True,0,0_565,0_565
JN049605.fasta,0.005,greedy,fastANI,True,0,0_2488,0_2488
JN083852.fasta,0.005,greedy,fastANI,True,0,0_2698,0_2698
JN083853.fasta,0.005,greedy,fastANI,True,0,0_2660,0_2660
JN116822.fasta,0.005,greedy,fastANI,True,0,0_4069,0_4069
JN116823.fasta,0.005,greedy,fastANI,True,0,0_2955,0_2955
JN116824.fasta,0.005,greedy,fastANI,True,0,0_3746,0_3746
JN116825.fasta,0.005,greedy,fastANI,True,0,0_2633,0_2633
JN116826.fasta,0.005,greedy,fastANI,True,0,0_3036,0_3036
JN116827.fasta,0.005,greedy,fastANI,True,0,0_3144,0_3144
JN116828.fasta,0.005,greedy,fastANI,True,0,0_3182,0_3182
JN153085.fasta,0.005,greedy,fastANI,True,0,0_2558,0_2558
JN153086.fasta,0.005,greedy,fastANI,True,0,0_2097,0_2097
JN185608.fasta,0.005,greedy,fastANI,True,0,0_1444,0_1444
JN192463.fasta,0.005,greedy,fastANI,True,0,0_862,0_862
JN201525.fasta,0.005,greedy,fastANI,True,0,0_303,0_303
JN204348.fasta,0.005,greedy,fastANI,True,0,0_89,0_89
JN243855.fasta,0.005,greedy,fastANI,True,0,0_1207,0_1207
JN243856.fasta,0.005,greedy,fastANI,True,0,0_2618,0_2618
JN243857.fasta,0.005,greedy,fastANI,False,0,0_2553,0_2553
JN256079.fasta,0.005,greedy,fastANI,True,0,0_3429,0_3429
JN382248.fasta,0.005,greedy,fastANI,True,0,0_452,0_452
JN391441.fasta,0.005,greedy,fastANI,False,0,0_515,0_515
JN398368.fasta,0.005,greedy,fastANI,True,0,0_1728,0_1728
JN398369.fasta,0.005,greedy,fastANI,True,0,0_2755,0_2755
JN408459.fasta,0.005,greedy,fastANI,True,0,0_2726,0_2726
JN408460.fasta,0.005,greedy,fastANI,True,0,0_2189,0_2189
JN408461.fasta,0.005,greedy,fastANI,True,0,0_2108,0_2108
JN412588.fasta,0.005,greedy,fastANI,True,0,0_24,0_24
JN412589.fasta,0.005,greedy,fastANI,True,0,0_685,0_685
JN412590.fasta,0.005,greedy,fastANI,True,0,0_457,0_457
JN412591.fasta,0.005,greedy,fastANI,True,0,0_2979,0_2979
JN412592.fasta,0.005,greedy,fastANI,True,0,0_121,0_121
JN412593.fasta,0.005,greedy,fastANI,True,0,0_3588,0_3588
JN542517.fasta,0.005,greedy,fastANI,False,0,0_1746,0_1746
JN561150.fasta,0.005,greedy,fastANI,False,0,0_2578,0_2578
JN572061.fasta,0.005,greedy,fastANI,True,0,0_3220,0_3220
JN572689.fasta,0.005,greedy,fastANI,True,0,0_2200,0_2200
JN600672.fasta,0.005,greedy,fastANI,True,0,0_571,0_571
JN618996.fasta,0.005,greedy,fastANI,True,0,0_1087,0_1087
JN624850.fasta,0.005,greedy,fastANI,False,0,0_29,0_29
JN624851.fasta,0.005,greedy,fastANI,False,0,0_3462,0_3462
JN638752.fasta,0.005,greedy,fastANI,True,0,0_894,0_894
JN638753.fasta,0.005,greedy,fastANI,False,0,0_950,0_950
JN643714.fasta,0.005,greedy,fastANI,True,0,0_1452,0_1452
JN660814.fasta,0.005,greedy,fastANI,True,0,0_2697,0_2697
JN680858.fasta,0.005,greedy,fastANI,True,0,0_746,0_746
JN687951.fasta,0.005,greedy,fastANI,True,0,0_2369,0_2369
JN698989.fasta,0.005,greedy,fastANI,True,0,0_961,0_961
JN698990.fasta,0.005,greedy,fastANI,True,0,0_833,0_833
JN698991.fasta,0.005,greedy,fastANI,False,0,0_1050,0_1050
JN698992.fasta,0.005,greedy,fastANI,True,0,0_1010,0_1010
JN698993.fasta,0.005,greedy,fastANI,True,0,0_643,0_643
JN698994.fasta,0.005,greedy,fastANI,True,0,0_1367,0_1367
JN698995.fasta,0.005,greedy,fastANI,True,0,0_1160,0_1160
JN698996.fasta,0.005,greedy,fastANI,True,0,0_1810,0_1810
JN698997.fasta,0.005,greedy,fastANI,True,0,0_287,0_287
JN698998.fasta,0.005,greedy,fastANI,True,0,0_2232,0_2232
JN698999.fasta,0.005,greedy,fastANI,True,0,0_2399,0_2399
JN699000.fasta,0.005,greedy,fastANI,True,0,0_2469,0_2469
JN699001.fasta,0.005,greedy,fastANI,True,0,0_3018,0_3018
JN699002.fasta,0.005,greedy,fastANI,False,0,0_3527,0_3527
JN699003.fasta,0.005,greedy,fastANI,True,0,0_736,0_736
JN699004.fasta,0.005,greedy,fastANI,True,0,0_1058,0_1058
JN699005.fasta,0.005,greedy,fastANI,True,0,0_2187,0_2187
JN699006.fasta,0.005,greedy,fastANI,True,0,0_865,0_865
JN699007.fasta,0.005,greedy,fastANI,True,0,0_715,0_715
JN699008.fasta,0.005,greedy,fastANI,True,0,0_920,0_920
JN699009.fasta,0.005,greedy,fastANI,False,0,0_785,0_785
JN699010.fasta,0.005,greedy,fastANI,True,0,0_989,0_989
JN699011.fasta,0.005,greedy,fastANI,True,0,0_725,0_725
JN699012.fasta,0.005,greedy,fastANI,True,0,0_1527,0_1527
JN699013.fasta,0.005,greedy,fastANI,True,0,0_35,0_35
JN699014.fasta,0.005,greedy,fastANI,True,0,0_1138,0_1138
JN699015.fasta,0.005,greedy,fastANI,True,0,0_2470,0_2470
JN699016.fasta,0.005,greedy,fastANI,True,0,0_2385,0_2385
JN699017.fasta,0.005,greedy,fastANI,False,0,0_833,0_833
JN699018.fasta,0.005,greedy,fastANI,True,0,0_882,0_882
JN699019.fasta,0.005,greedy,fastANI,True,0,0_2980,0_2980
JN699625.fasta,0.005,greedy,fastANI,True,0,0_88,0_88
JN699626.fasta,0.005,greedy,fastANI,True,0,0_109,0_109
JN699627.fasta,0.005,greedy,fastANI,True,0,0_39,0_39
JN699628.fasta,0.005,greedy,fastANI,False,0,0_373,0_373
JN831653.fasta,0.005,greedy,fastANI,True,0,0_1648,0_1648
JN831654.fasta,0.005,greedy,fastANI,True,0,0_2960,0_2960
JN859129.fasta,0.005,greedy,fastANI,True,0,0_1900,0_1900
JQ300538.fasta,0.005,greedy,fastANI,True,0,0_1325,0_1325
JQ512844.fasta,0.005,greedy,fastANI,True,0,0_2693,0_2693
JQ684677.fasta,0.005,greedy,fastANI,True,0,0_2841,0_2841
JQ698665.fasta,0.005,greedy,fastANI,True,0,0_2023,0_2023
JQ809701.fasta,0.005,greedy,fastANI,True,0,0_2610,0_2610
JQ809702.fasta,0.005,greedy,fastANI,True,0,0_1977,0_1977
JQ809703.fasta,0.005,greedy,fastANI,True,0,0_2078,0_2078
JQ896627.fasta,0.005,greedy,fastANI,True,0,0_2550,0_2550
JQ911768.fasta,0.005,greedy,fastANI,False,0,0_29,0_29
JX006077.fasta,0.005,greedy,fastANI,True,0,0_312,0_312
JX015524.fasta,0.005,greedy,fastANI,True,0,0_2364,0_2364
JX042578.fasta,0.005,greedy,fastANI,True,0,0_2533,0_2533
JX042579.fasta,0.005,greedy,fastANI,True,0,0_1291,0_1291
JX121091.fasta,0.005,greedy,fastANI,True,0,0_1584,0_1584
JX182369.fasta,0.005,greedy,fastANI,True,0,0_2849,0_2849
JX182370.fasta,0.005,greedy,fastANI,True,0,0_2702,0_2702
JX182371.fasta,0.005,greedy,fastANI,True,0,0_3817,0_3817
JX182372.fasta,0.005,greedy,fastANI,True,0,0_3684,0_3684
JX262215.fasta,0.005,greedy,fastANI,True,0,0_3943,0_3943
JX262216.fasta,0.005,greedy,fastANI,True,0,0_3865,0_3865
JX262217.fasta,0.005,greedy,fastANI,True,0,0_3878,0_3878
JX262218.fasta,0.005,greedy,fastANI,True,0,0_3921,0_3921
JX262219.fasta,0.005,greedy,fastANI,True,0,0_3944,0_3944
JX262220.fasta,0.005,greedy,fastANI,True,0,0_3892,0_3892
JX262221.fasta,0.005,greedy,fastANI,True,0,0_3893,0_3893
JX262222.fasta,0.005,greedy,fastANI,True,0,0_3873,0_3873
JX262223.fasta,0.005,greedy,fastANI,True,0,0_3923,0_3923
JX262224.fasta,0.005,greedy,fastANI,True,0,0_3885,0_3885
JX262225.fasta,0.005,greedy,fastANI,True,0,0_3886,0_3886
JX262376.fasta,0.005,greedy,fastANI,True,0,0_2682,0_2682
JX307702.fasta,0.005,greedy,fastANI,True,0,0_2536,0_2536
JX307703.fasta,0.005,greedy,fastANI,False,0,0_2578,0_2578
JX307704.fasta,0.005,greedy,fastANI,True,0,0_2790,0_2790
JX307705.fasta,0.005,greedy,fastANI,True,0,0_2967,0_2967
JX411619.fasta,0.005,greedy,fastANI,False,0,0_2663,0_2663
JX411620.fasta,0.005,greedy,fastANI,True,0,0_1543,0_1543
JX570702.fasta,0.005,greedy,fastANI,True,0,0_3947,0_3947
JX570703.fasta,0.005,greedy,fastANI,False,0,0_3888,0_3888
JX570704.fasta,0.005,greedy,fastANI,False,0,0_3888,0_3888
JX570705.fasta,0.005,greedy,fastANI,True,0,0_3887,0_3887
JX570706.fasta,0.005,greedy,fastANI,False,0,0_3906,0_3906
JX570707.fasta,0.005,greedy,fastANI,False,0,0_3906,0_3906
JX570708.fasta,0.005,greedy,fastANI,False,0,0_3906,0_3906
JX570709.fasta,0.005,greedy,fastANI,True,0,0_3920,0_3920
JX570710.fasta,0.005,greedy,fastANI,True,0,0_3900,0_3900
JX570711.fasta,0.005,greedy,fastANI,True,0,0_3888,0_3888
JX570712.fasta,0.005,greedy,fastANI,False,0,0_3903,0_3903
JX570713.fasta,0.005,greedy,fastANI,True,0,0_3945,0_3945
JX570714.fasta,0.005,greedy,fastANI,True,0,0_3934,0_3934
JX649096.fasta,0.005,greedy,fastANI,False,0,0_788,0_788
JX649097.fasta,0.005,greedy,fastANI,True,0,0_788,0_788
JX649098.fasta,0.005,greedy,fastANI,True,0,0_742,0_742
JX649099.fasta,0.005,greedy,fastANI,True,0,0_1007,0_1007
JX649100.fasta,0.005,greedy,fastANI,False,0,0_788,0_788
JX889246.fasta,0.005,greedy,fastANI,True,0,0_2837,0_2837
JX899358.fasta,0.005,greedy,fastANI,True,0,0_2227,0_2227
JX901189.fasta,0.005,greedy,fastANI,True,0,0_3056,0_3056
KC172839.fasta,0.005,greedy,fastANI,True,0,0_3197,0_3197
KC576783.fasta,0.005,greedy,fastANI,True,0,0_3625,0_3625
KC576784.fasta,0.005,greedy,fastANI,True,0,0_949,0_949
KC661271.fasta,0.005,greedy,fastANI,True,0,0_2596,0_2596
KC661272.fasta,0.005,greedy,fastANI,False,0,0_2738,0_2738
KC661273.fasta,0.005,greedy,fastANI,True,0,0_2440,0_2440
KC661274.fasta,0.005,greedy,fastANI,True,0,0_1029,0_1029
KC661275.fasta,0.005,greedy,fastANI,True,0,0_2329,0_2329
KC661276.fasta,0.005,greedy,fastANI,True,0,0_426,0_426
KC661277.fasta,0.005,greedy,fastANI,False,0,0_515,0_515
KC661278.fasta,0.005,greedy,fastANI,True,0,0_1828,0_1828
KC661279.fasta,0.005,greedy,fastANI,True,0,0_2892,0_2892
KC661280.fasta,0.005,greedy,fastANI,True,0,0_1457,0_1457
KC661281.fasta,0.005,greedy,fastANI,True,0,0_2783,0_2783
KC691254.fasta,0.005,greedy,fastANI,False,0,0_426,0_426
KC691255.fasta,0.005,greedy,fastANI,True,0,0_496,0_496
KC691256.fasta,0.005,greedy,fastANI,True,0,0_3097,0_3097
KC691257.fasta,0.005,greedy,fastANI,True,0,0_99,0_99
KC691258.fasta,0.005,greedy,fastANI,True,0,0_895,0_895
KC700556.fasta,0.005,greedy,fastANI,True,0,0_2658,0_2658
KC700557.fasta,0.005,greedy,fastANI,True,0,0_2523,0_2523
KC700558.fasta,0.005,greedy,fastANI,True,0,0_2700,0_2700
KC701493.fasta,0.005,greedy,fastANI,True,0,0_2137,0_2137
KC736071.fasta,0.005,greedy,fastANI,True,0,0_2141,0_2141
KC748968.fasta,0.005,greedy,fastANI,True,0,0_26,0_26
KC748969.fasta,0.005,greedy,fastANI,True,0,0_435,0_435
KC748970.fasta,0.005,greedy,fastANI,True,0,0_42,0_42
KC748971.fasta,0.005,greedy,fastANI,True,0,0_456,0_456
KC787101.fasta,0.005,greedy,fastANI,False,0,0_2284,0_2284
KC787102.fasta,0.005,greedy,fastANI,True,0,0_3090,0_3090
KC787103.fasta,0.005,greedy,fastANI,False,0,0_3689,0_3689
KC787104.fasta,0.005,greedy,fastANI,True,0,0_3689,0_3689
KC787105.fasta,0.005,greedy,fastANI,False,0,0_2670,0_2670
KC787106.fasta,0.005,greedy,fastANI,True,0,0_2670,0_2670
KC787107.fasta,0.005,greedy,fastANI,False,0,0_3689,0_3689
KC787108.fasta,0.005,greedy,fastANI,False,0,0_3689,0_3689
KC787109.fasta,0.005,greedy,fastANI,False,0,0_3620,0_3620
KC787110.fasta,0.005,greedy,fastANI,False,0,0_3689,0_3689
KC787111.fasta,0.005,greedy,fastANI,True,0,0_3728,0_3728
KC787112.fasta,0.005,greedy,fastANI,True,0,0_3771,0_3771
KC900379.fasta,0.005,greedy,fastANI,False,0,0_373,0_373
KC960489.fasta,0.005,greedy,fastANI,True,0,0_309,0_309
KF006817.fasta,0.005,greedy,fastANI,False,0,0_108,0_108
KF006818.fasta,0.005,greedy,fastANI,True,0,0_292,0_292
KF017001.fasta,0.005,greedy,fastANI,True,0,0_2782,0_2782
KF017002.fasta,0.005,greedy,fastANI,False,0,0_611,0_611
KF017003.fasta,0.005,greedy,fastANI,False,0,0_1903,0_1903
KF017004.fasta,0.005,greedy,fastANI,True,0,0_1993,0_1993
KF017005.fasta,0.005,greedy,fastANI,True,0,0_1655,0_1655
KF017927.fasta,0.005,greedy,fastANI,True,0,0_2283,0_2283
KF024721.fasta,0.005,greedy,fastANI,True,0,0_2168,0_2168
KF024722.fasta,0.005,greedy,fastANI,True,0,0_1076,0_1076
KF024723.fasta,0.005,greedy,fastANI,True,0,0_1753,0_1753
KF024724.fasta,0.005,greedy,fastANI,True,0,0_2435,0_2435
KF024725.fasta,0.005,greedy,fastANI,True,0,0_467,0_467
KF024726.fasta,0.005,greedy,fastANI,True,0,0_2075,0_2075
KF024727.fasta,0.005,greedy,fastANI,True,0,0_702,0_702
KF024728.fasta,0.005,greedy,fastANI,True,0,0_3029,0_3029
KF024729.fasta,0.005,greedy,fastANI,True,0,0_671,0_671
KF024730.fasta,0.005,greedy,fastANI,True,0,0_717,0_717
KF024731.fasta,0.005,greedy,fastANI,True,0,0_462,0_462
