"","gene_id","gene_name","spor_gene","X","gene_id.uniref90","gene_description","module","sheet","header","subheader","potential_amg","strain","dan.source","From","Reviewed","Protein.names","Gene.Names","Annotation","Keywords","PubMed.ID","Gene.Names..ORF.","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","uniprot.source","FinalID"
"20","K06314","K06314","Spoulation genes",908,"P39650","rsfA;prespore-specific transcriptional regulator RsfA","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","P39650","reviewed","Prespore-specific transcriptional regulator RsfA","rsfA ywfN BSU37620 ipa-92r","3","Activator;Coiled coil;DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation","7934828; 9384377; 10629188","ipa-92r","bsu:BSU37620;","ENOG5030SGP;","WP_003243464.1;","","","2845592at2;","","IPR014243;IPR001005;","BSUB:BSU37620-MONOMER;","","ML","K06314"
"21","K06359","K06359","Spoulation genes",1211,"Q00828","rapA;response regulator aspartate phosphatase A","Phosphatases controlling the phosphorelay","MISC","Sporulation","phosphorelay","TRUE","bs","DAN","Q00828","reviewed","Response regulator aspartate phosphatase A (EC 3.1.3.-) (Glucose starvation-inducible protein A) (Protein-aspartate phosphatase RapA) (Stage 0 sporulation protein L)","rapA gsiAA spo0L BSU12430","5","Cytoplasm;Hydrolase;Manganese;Protein phosphatase;Reference proteome;Repeat;Sporulation;TPR repeat","1378051; 9384377; 9579062; 1624431; 8001132; 8643670; 9238025; 11923303; 22267516","","bsu:BSU12430;","COG0457;","NP_389125.1;WP_010886491.1;","","","2957368at2;","PF18801;PF13424;","IPR051476;IPR011990;IPR019734;","BSUB:BSU12430-MONOMER;","","ML","K06359"
"22","K06369","K06369","Spoulation genes",561,"O34930","rapK;response regulator aspartate phosphatase K","MISSING","MISC","Genetics","Genetic competence","TRUE","bs","DAN","O34930","reviewed","Regulatory protein RapK","rapK yobG BSU18910","3","Competence;Cytoplasm;Reference proteome;Repeat;TPR repeat","9384377; 16816200","","bsu:BSU18910;","COG0457;","NP_389772.1;WP_003231340.1;","","","2957368at2;","PF18801;PF13424;","IPR011990;","BSUB:BSU18910-MONOMER;","","ML","K06369"
"23","K06400","K06400","Spoulation genes",716,"P17867","spoIVCA;DNA recombinase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","P17867","reviewed","Putative DNA recombinase (Stage IV sporulation protein CA)","cisA spoIVCA BSU25770","3","Coiled coil;DNA integration;DNA recombination;DNA-binding;Reference proteome","2105293; 7704261; 8969508; 9384377; 19383706","","bsu:BSU25770;","COG1961;","NP_390454.2;WP_010886573.1;","","","9811097at2;","PF07508;PF00239;PF13408;","IPR038109;IPR011109;IPR006118;IPR006119;IPR036162;IPR050639;IPR025827;","BSUB:BSU25770-MONOMER;","","ML","K06400"
"24","K06420","K06420","Spoulation genes",592,"P02958","sspC;small acid-soluble spore protein C","Small acid-soluble spore proteins","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","P02958","reviewed","Small, acid-soluble spore protein C (SASP)","sspC BSU19950","2","3D-structure;DNA-binding;Reference proteome;Sporulation","2981806; 9679200; 9384377","","bsu:BSU19950;","ENOG5032YCI;","NP_389876.1;WP_009967454.1;","","","2627848at2;","PF00269;","IPR001448;IPR018126;IPR050847;IPR038300;","BSUB:BSU19950-MONOMER;","","ML","K06420"
"25","K07074","K07074","Spoulation genes",1165,"P94389","ycgL;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","P94389","reviewed","Uncharacterized protein YcgL","ycgL BSU03190","1","Coiled coil;Reference proteome","8969502; 9384377","","bsu:BSU03190;","COG3541;","NP_388201.1;WP_003246492.1;","","","9796845at2;","PF10127;","IPR018775;","BSUB:BSU03190-MONOMER;","","ML","K07074"
"26","K08309","K08309","Spoulation genes",1523,"Q18AY9","putative lytic transglycosylase-like protein","sporulation","MISC","sporulation","sporulation","TRUE","cd","DAN","Q18AY9","unreviewed","Lytic transglycosylase-like protein (EC 3.2.1.-)","CD630_11300","1","Glycosidase;Hydrolase;Reference proteome","16804543","","cdf:CD630_11300;pdc:CDIF630_01277;","COG0741;","WP_003438043.1;YP_001087621.1;","GH23;","","9815002at2;","PF01464;","IPR023346;IPR008258;","PDIF272563:G12WB-1260-MONOMER;","","ML","K08309"
"27","K09786","K09786","Spoulation genes",978,"P45742","yhbH;stress response UPF0229 protein YhbH","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins","TRUE","bs","DAN","P45742","reviewed","Stress response UPF0229 protein YhbH","yhbH yzdC BSU08980","2","Reference proteome;Stress response","9384377; 11988534","","bsu:BSU08980;","COG2718;","NP_388779.1;WP_003233432.1;","","","9788289at2;","PF04285;","IPR014230;IPR006698;","BSUB:BSU08980-MONOMER;","","ML","K09786"
"28","K23786","K23786","Spoulation genes",1052,"P54161","exoR;5'-3' exonuclease","MISSING","MISC","Genetics","DNA replication","TRUE","bs","DAN","P54161","reviewed","5'-3' exonuclease (EC 3.1.11.-)","ypcP BSU22010","2","DNA-binding;Exonuclease;Hydrolase;Nuclease;Reference proteome","8969496; 9384377; 17114254; 17905985","","bsu:BSU22010;","COG0258;","","","","9806424at2;","PF01367;PF02739;","IPR020046;IPR002421;IPR036279;IPR020045;IPR038969;IPR008918;IPR029060;","BSUB:BSU22010-MONOMER;","","ML","K23786"
"29","K23989","K23989","Spoulation genes",919,"P39848","lytD;beta-N-acetylglucosaminidase","Autolysis","MISC","Cell envelope and cell division","Cell wall degradation/ turnover","TRUE","bs","DAN","P39848","reviewed","Beta-N-acetylglucosaminidase (EC 3.2.1.96) (Cell wall-associated polypeptide 90) (CWBP90)","lytD cwlG BSU35780","5","Cell wall;Cell wall biogenesis/degradation;Direct protein sequencing;Hydrolase;Reference proteome;Repeat;Secreted;Signal","7934877; 7581999; 9384377; 8405954; 11987133","","bsu:BSU35780;","COG4193;","NP_391459.1;WP_003243594.1;","GH73;","","9816557at2;","PF01832;PF08239;PF05036;","IPR002901;IPR003646;IPR007730;","BSUB:BSU35780-MONOMER;","","ML","K23989"
