Contig,Study,Viral_Taxonomy,Nucleic_Acid_Type,GTDB_Host,Eukaryotic_or_Prokaryotic_Virus,Length,Circular_Status,Prophage,Prophage_Boundaries,VirSorter_Category,VirFinder_Score,VirFinder_pvalue,Total_Contig_Proteins,CAT_data,No_BUSCO_Hits,BUSCO_Ratio,No_VPF_Hits
Broecker_Sample_ID29-1191-0_NODE_1524_length_8276_cov_8.926043,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8276,NA,No,NA,1,8.17E-01,2.57E-02,12,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:60.5|186802_Clostridiales:60.5|unclassified|unclassified|unclassified,0,0,40
Broecker_Sample_ID29-1191-3_NODE_1021_length_7202_cov_3.017350,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7202,NA,No,NA,2,9.17E-01,1.18E-02,11,Bacteria:100.0|1239_Firmicutes:100.0|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,46
Broecker_Sample_ID29-1191-3_NODE_1210_length_6284_cov_3.820677,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,6284,NA,No,NA,2,1.64E-01,2.57E-01,9,Bacteria:76.4|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,20
Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,Bacteriophage,6000,NA,No,NA,2,6.92E-01,4.74E-02,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,4
Broecker_Sample_ID29-1191-3_NODE_381_length_14378_cov_2.795364,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,14378,NA,No,NA,3,1.13E-01,3.16E-01,18,Bacteria:78.9|1239_Firmicutes:54.8|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,11
Broecker_Sample_ID29-1192-0_NODE_1219_length_10495_cov_2.580843,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Oscillospiraceae,Bacteriophage,10495,NA,No,NA,2,7.84E-01,0.030802814,30,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:86.7|186802_Clostridiales:80.6|unclassified|unclassified|unclassified,0,0,55
Broecker_Sample_ID29-1192-0_NODE_1404_length_9390_cov_2.567542,Broecker_2016,Siphoviridae,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,9390,NA,No,NA,2,9.11E-01,0.012369634,15,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,43
Broecker_Sample_ID29-1192-0_NODE_1406_length_9387_cov_3.922096,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,9387,NA,No,NA,2,3.21E-01,0.153165171,10,Bacteria:74.7|1239_Firmicutes:74.7|186801_Clostridia:63.7|186802_Clostridiales:63.7|unclassified|unclassified|unclassified,0,0,16
Broecker_Sample_ID29-1192-0_NODE_1514_length_8834_cov_5.258116,Broecker_2016,Podoviridae,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,8834,NA,No,NA,1,7.02E-01,0.045476595,11,Bacteria:78.5|1224_Proteobacteria:78.5|1236_Gammaproteobacteria:78.5|91347_Enterobacterales:78.5|543_Enterobacteriaceae:78.5|561_Escherichia:71.2|unclassified,0,0,21
Broecker_Sample_ID29-1192-0_NODE_153_length_54007_cov_4.436388,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,54007,NA,No,NA,1,7.05E-01,0.044991511,77,Bacteria:95.4|1239_Firmicutes:89.1|186801_Clostridia:82.7|186802_Clostridiales:82.7|unclassified|unclassified|unclassified,0,0,204
Broecker_Sample_ID29-1192-0_NODE_1566_length_8626_cov_2.555361,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8626,NA,No,NA,1,2.33E-02,0.58974048,10,Bacteria:100.0|1239_Firmicutes:94.7|186801_Clostridia:63.2|186802_Clostridiales:63.2|unclassified|unclassified|unclassified,0,0,7
Broecker_Sample_ID29-1192-0_NODE_1718_length_7884_cov_2.240644,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,7884,NA,No,NA,1,7.10E-03,0.772253214,10,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|541000_Ruminococcaceae:100.0|1263_Ruminococcus:100.0|unclassified,0,0,21
Broecker_Sample_ID29-1192-0_NODE_1948_length_7150_cov_2.136716,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7150,NA,No,NA,1,1.33E-01,0.287169537,5,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,14
Broecker_Sample_ID29-1192-0_NODE_1992_length_6996_cov_6.475436,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,6996,NA,No,NA,1,2.73E-01,0.177540626,11,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|541000_Ruminococcaceae:92.5|unclassified|unclassified,0,0,13
Broecker_Sample_ID29-1192-0_NODE_2299_length_6143_cov_2.917871,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,6143,NA,No,NA,1,8.89E-01,0.014795052,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:88.2|186802_Clostridiales:88.2|unclassified|unclassified|unclassified,0,0,32
Broecker_Sample_ID29-1192-0_NODE_2656_length_5395_cov_2.445880,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5395,NA,No,NA,1,3.65E-01,0.132185302,7,Bacteria:100.0|1239_Firmicutes:100.0|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,20
Broecker_Sample_ID29-1192-0_NODE_2701_length_5339_cov_2.627176,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5339,NA,No,NA,1,1.98E-01,0.226776619,8,Bacteria:96.0|1239_Firmicutes:59.3|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,30
Broecker_Sample_ID29-1192-0_NODE_2896_length_5046_cov_4.049890,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5046,NA,No,NA,2,8.23E-01,0.02510308,4,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,8
Broecker_Sample_ID29-1192-0_NODE_357_length_26490_cov_8.543787,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Oscillospiraceae,Bacteriophage,26490,NA,No,NA,1,3.93E-01,0.122968712,36,Bacteria:100.0|1239_Firmicutes:99.3|186801_Clostridia:98.3|186802_Clostridiales:98.3|unclassified|unclassified|unclassified,0,0,97
Broecker_Sample_ID29-1192-0_NODE_441_length_22475_cov_57.549509,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,22475,NA,No,NA,3,8.65E-01,0.018918263,22,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|NA:96.7|1017280_Pseudoflavonifractor:96.7|1965661_Pseudoflavonifractor sp. An85:96.7,0,0,34
Broecker_Sample_ID29-1192-0_NODE_84_length_88214_cov_60.298688,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,88214,NA,No,NA,2,6.92E-01,0.047416929,111,Bacteria:78.9|1239_Firmicutes:77.3|186801_Clostridia:63.4|186802_Clostridiales:63.4|unclassified|unclassified|unclassified,1,0.009009009,288
Broecker_Sample_ID29-1192-0_NODE_959_length_12695_cov_18.701503,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,12695,NA,No,NA,1,4.03E-01,0.119573126,21,Bacteria:100.0|1224_Proteobacteria:100.0|1236_Gammaproteobacteria:100.0|91347_Enterobacterales:100.0|543_Enterobacteriaceae:86.7|561_Escherichia:53.8|unclassified,0,0,30
Broecker_Sample_ID29-1192-0_NODE_991_length_12423_cov_4.535899,Broecker_2016,Siphoviridae,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,12423,NA,No,NA,1,1.72E-01,0.248241572,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,33
Broecker_Sample_ID29-1192-4_NODE_1172_length_6460_cov_1.964871,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,6460,NA,No,NA,1,4.92E-01,0.090346835,11,Bacteria:100.0|1224_Proteobacteria:100.0|1236_Gammaproteobacteria:100.0|91347_Enterobacterales:100.0|543_Enterobacteriaceae:100.0|561_Escherichia:76.9|562_Escherichia coli:68.2,0,0,16
Broecker_Sample_ID29-1192-4_NODE_1183_length_6382_cov_5.205785,Broecker_2016,Siphoviridae,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,6382,NA,No,NA,1,1.08E-01,0.322095562,10,Bacteria:100.0|1224_Proteobacteria:100.0|1236_Gammaproteobacteria:100.0|91347_Enterobacterales:100.0|543_Enterobacteriaceae:100.0|561_Escherichia:84.9|562_Escherichia coli:72.5,0,0,15
Broecker_Sample_ID29-1192-4_NODE_1215_length_6176_cov_11.585035,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6176,NA,No,NA,2,8.56E-01,0.020616056,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:96.0|unclassified|unclassified|unclassified,0,0,5
Broecker_Sample_ID29-1192-4_NODE_1405_length_5368_cov_3.313382,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5368,NA,No,NA,1,7.00E-01,0.045961678,5,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,17
Broecker_Sample_ID29-1192-4_NODE_415_length_17962_cov_6.259619,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Rikenellaceae,Bacteriophage,17962,NA,No,NA,2,2.41E-01,0.193790929,15,Bacteria:67.6|976_Bacteroidetes:59.2|200643_Bacteroidia:59.2|171549_Bacteroidales:59.2|unclassified|unclassified|unclassified,0,0,34
Broecker_Sample_ID29-1192-4_NODE_522_length_14236_cov_4.115577,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,Bacteriophage,14236,NA,No,NA,2,7.75E-01,0.032621877,28,Bacteria:100.0|1239_Firmicutes:73.1|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,68
Broecker_Sample_ID29-1192-4_NODE_730_length_10286_cov_6.647640,Broecker_2016,Siphoviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,10286,NA,No,NA,1,5.41E-01,0.078704827,14,Bacteria:100.0|1224_Proteobacteria:100.0|1236_Gammaproteobacteria:100.0|91347_Enterobacterales:100.0|543_Enterobacteriaceae:100.0|unclassified|unclassified,0,0,26
Broecker_Sample_ID29-1192-4_NODE_814_length_9379_cov_2.397147,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,9379,NA,No,NA,1,7.45E-01,0.037351443,16,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:97.0|186802_Clostridiales:81.4|unclassified|unclassified|unclassified,0,0,65
Broecker_Sample_ID29-1192-4_NODE_854_length_9003_cov_4.424676,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Rikenellaceae,Bacteriophage,9003,NA,No,NA,2,8.42E-01,0.022677662,19,Bacteria:100.0|976_Bacteroidetes:85.9|200643_Bacteroidia:81.8|171549_Bacteroidales:81.8|171550_Rikenellaceae:73.1|239759_Alistipes:73.1|unclassified,0,0,26
Broecker_Sample_ID29-1192-4_NODE_954_length_8106_cov_2.040864,Broecker_2016,Siphoviridae,dsDNA,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,Bacteriophage,8106,NA,No,NA,1,1.83E-01,0.237691002,15,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:65.7|186802_Clostridiales:65.7|unclassified|unclassified|unclassified,0,0,33
Broecker_Sample_ID29-1193-0_NODE_1665_length_8912_cov_14.103308,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8912,NA,No,NA,2,4.18E-01,0.113752122,10,Bacteria:74.9|1239_Firmicutes:74.9|186801_Clostridia:54.6|186802_Clostridiales:54.6|unclassified|unclassified|unclassified,1,0.1,5
Broecker_Sample_ID29-1193-0_NODE_2859_length_5823_cov_2.295596,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5823,NA,No,NA,1,1.43E-02,6.72E-01,5,Bacteria:100.0|1239_Firmicutes:97.0|186801_Clostridia:97.0|186802_Clostridiales:97.0|unclassified|unclassified|unclassified,0,0,13
Broecker_Sample_ID29-1193-0_NODE_3050_length_5532_cov_3.158846,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5532,NA,No,NA,1,8.59E-01,1.99E-02,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,20
Broecker_Sample_ID29-1193-0_NODE_3165_length_5377_cov_8.867907,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5377,NA,No,NA,2,8.31E-01,2.43E-02,13,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|31979_Clostridiaceae:52.9|580596_Butyricicoccus:52.9|1193532_uncultured Butyricicoccus sp.:52.9,0,0,23
Broecker_Sample_ID29-1193-0_NODE_552_length_20351_cov_8.841791,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,20351,NA,No,NA,1,4.94E-01,0.089619209,35,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:99.0|186802_Clostridiales:99.0|unclassified|unclassified|unclassified,0,0,73
Broecker_Sample_ID29-1193-5_NODE_1033_length_6870_cov_5.203522,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6870,NA,No,NA,2,7.82E-01,3.14E-02,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:97.2|unclassified|unclassified|unclassified,0,0,3
Broecker_Sample_ID29-1193-5_NODE_1277_length_5679_cov_2.197013,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,Bacteriophage,5679,NA,No,NA,2,7.37E-01,3.87E-02,7,Bacteria:100.0|1239_Firmicutes:100.0|unclassified|unclassified|unclassified|unclassified|unclassified,1,0.142857143,17
Broecker_Sample_ID29-1193-5_NODE_1429_length_5169_cov_3.948573,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5169,NA,No,NA,2,4.23E-01,1.12E-01,5,Bacteria:70.8|1239_Firmicutes:62.5|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,6
Broecker_Sample_ID29-1193-5_NODE_1484_length_5036_cov_2.584220,Broecker_2016,Podoviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5036,NA,No,NA,1,8.47E-01,2.20E-02,4,Bacteria:100.0|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,7
Broecker_Sample_ID29-1193-5_NODE_762_length_9004_cov_4.303609,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,9004,NA,No,NA,1,4.28E-01,1.10E-01,13,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,26
Broecker_Sample_ID29-1193-5_NODE_873_length_8007_cov_5.648642,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8007,NA,No,NA,1,1.94E-01,2.29E-01,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|186803_Lachnospiraceae:84.6|1432051_Eisenbergiella:84.6|1432052_Eisenbergiella tayi:84.6,0,0,19
Broecker_Sample_ID29-1193-5_NODE_890_length_7843_cov_5.251284,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7843,NA,No,NA,1,6.41E-02,4.08E-01,10,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:69.8|186802_Clostridiales:69.8|unclassified|unclassified|unclassified,0,0,37
Broecker_Sample_ID29-1194-0_NODE_1024_length_21161_cov_4.502985,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,21161,NA,No,NA,1,4.39E-01,1.07E-01,29,Bacteria:100.0|1239_Firmicutes:98.7|186801_Clostridia:98.7|NA:56.6|NA:56.6|NA:56.6|1697794_Clostridia bacterium UC5.1-1D1:56.6,0,0,81
Broecker_Sample_ID29-1194-0_NODE_1055_length_20643_cov_2.694385,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,20643,NA,No,NA,1,7.39E-02,3.88E-01,27,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,132
Broecker_Sample_ID29-1194-0_NODE_1430_length_16271_cov_6.467070,Broecker_2016,Siphoviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,16271,NA,No,NA,2,9.08E-01,1.26E-02,22,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:98.7|186802_Clostridiales:98.7|541000_Ruminococcaceae:98.7|1263_Ruminococcus:98.7|165186_uncultured Ruminococcus sp.:95.7,0,0,77
Broecker_Sample_ID29-1194-0_NODE_1479_length_15641_cov_3.413448,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,15641,NA,No,NA,2,9.66E-01,5.58E-03,25,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:91.6|186802_Clostridiales:91.6|unclassified|unclassified|unclassified,0,0,54
Broecker_Sample_ID29-1194-0_NODE_1902_length_12391_cov_4.542234,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,12391,NA,No,NA,1,9.26E-02,3.49E-01,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,1,0.111111111,23
Broecker_Sample_ID29-1194-0_NODE_2168_length_10568_cov_3.650243,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,10568,NA,No,NA,1,3.03E-01,1.60E-01,17,Bacteria:100.0|1239_Firmicutes:100.0|unclassified|unclassified|unclassified|unclassified|unclassified,1,0.058823529,47
Broecker_Sample_ID29-1194-0_NODE_2288_length_10017_cov_2.832564,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,10017,NA,No,NA,1,8.59E-01,1.99E-02,12,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:90.8|186802_Clostridiales:90.8|unclassified|unclassified|unclassified,0,0,43
Broecker_Sample_ID29-1194-0_NODE_2568_length_8777_cov_7.275854,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Oscillospiraceae,Bacteriophage,8777,NA,No,NA,3,1.27E-01,2.95E-01,12,unclassified|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,18
Broecker_Sample_ID29-1194-0_NODE_2584_length_8714_cov_3.614043,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Tannerellaceae,Bacteriophage,8714,NA,No,NA,NA,9.26E-01,1.03E-02,9,Bacteria:70.1|976_Bacteroidetes:70.1|200643_Bacteroidia:70.1|171549_Bacteroidales:70.1|unclassified|unclassified|unclassified,0,0,11
Broecker_Sample_ID29-1194-0_NODE_2609_length_8616_cov_16.591987,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8616,NA,No,NA,2,1.42E-01,2.77E-01,6,Bacteria:76.0|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,2
Broecker_Sample_ID29-1194-0_NODE_2695_length_8292_cov_3.012140,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8292,NA,No,NA,2,7.66E-01,3.38E-02,17,Bacteria:88.3|1239_Firmicutes:88.3|186801_Clostridia:88.3|186802_Clostridiales:83.4|unclassified|unclassified|unclassified,0,0,22
Broecker_Sample_ID29-1194-0_NODE_288_length_50381_cov_4.132417,Broecker_2016,Unassigned,dsDNA,Bacteria;p__Actinobacteriota;f__Eggerthellaceae,Bacteriophage,50381,NA,No,NA,2,9.17E-01,1.18E-02,68,Bacteria:99.1|201174_Actinobacteria:87.0|84998_Coriobacteriia:87.0|84999_Coriobacteriales:68.1|84107_Coriobacteriaceae:59.1|102106_Collinsella:59.1|1965651_Collinsella sp. An7:54.5,0,0,114
Broecker_Sample_ID29-1194-0_NODE_2985_length_7320_cov_19.219133,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7320,NA,No,NA,NA,8.08E-01,2.73E-02,12,unclassified|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,8
Broecker_Sample_ID29-1194-0_NODE_3028_length_7214_cov_4.458723,Broecker_2016,Siphoviridae,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,7214,NA,No,NA,2,7.69E-01,3.35E-02,5,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|541000_Ruminococcaceae:100.0|1263_Ruminococcus:100.0|unclassified,1,0.2,8
Broecker_Sample_ID29-1194-0_NODE_3045_length_7163_cov_2.176140,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7163,NA,No,NA,1,1.56E-02,6.58E-01,11,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|unclassified|unclassified|unclassified,0,0,26
