"","Accession","total.ParS.hits","pos.ParS.hit"
"200","DQ535032",0,0
"201","DQ831957",0,0
"202","DQ834250",0,0
"203","DQ838728",0,0
"204","DQ840344",0,0
"205","DQ864624",0,0
"206","DQ908929",0,0
"207","EF116926",0,0
"208","EF207558",0,0
"209","EF462197",0,0
"210","EF462198",0,0
"211","EF462199",0,0
"212","EU136189",0,0
"213","EU221285",0,0
"214","EU246945",0,0
"215","EU408779",0,0
"216","EU418428",0,0
"217","EU438902",0,0
"218","EU588980",0,0
"219","EU719189",0,0
"220","EU771092",4,1
"221","EU855793",0,0
"222","EU861004",0,0
"223","EU861005",0,0
"224","EU871039",0,0
"225","EU874396",0,0
"226","EU887664",0,0
"227","FJ226752",0,0
"228","FJ230960",0,0
"229","FJ236310",0,0
"230","FJ429185",0,0
"231","FJ713816",0,0
"232","FJ792813",0,0
"233","FJ822135",0,0
"234","FJ848881",0,0
"235","FJ848883",0,0
"236","FJ965538",0,0
"237","FM163528",0,0
"238","FN391954",0,0
"239","FR671406",0,0
"240","FR671408",0,0
"241","FR671409",0,0
"242","FR852584",0,0
"243","GQ398772",0,0
"244","GQ403788",0,0
"245","GQ443085",0,0
"246","GQ452243",0,0
"247","GQ478081",0,0
"248","GQ478082",0,0
"249","GQ478083",0,0
"250","GQ478084",0,0
"251","GQ478085",0,0
"252","GQ478086",0,0
"253","GQ478087",0,0
"254","GQ478088",0,0
"255","GQ900512",0,0
"256","GQ915271",0,0
"257","GQ979703",0,0
"258","GU169904",0,0
"259","GU229986",0,0
"260","GU233956",0,0
"261","GU477322",0,0
"262","GU568037",0,0
"263","GU815339",0,0
"264","GU949551",0,0
"265","HE614281",0,0
"266","HE614282",0,0
"267","HE861935",0,0
"268","HE956704",0,0
"269","HE962497",0,0
"270","HF563658",0,0
"271","HF937074",0,0
"272","HG380752",0,0
"273","HG424323",0,0
"274","HG531805",0,0
"275","HG796225",0,0
"276","HG798901",0,0
"277","HM072038",0,0
"278","HM144385",0,0
"279","HM144386",0,0
"280","HM144387",0,0
"281","HM242243",1,1
"282","HM568888",0,0
"283","HM596271",0,0
"284","HQ127381",0,0
"285","HQ141411",0,0
"286","HQ163896",0,0
"287","HQ332138",0,0
"288","JF731128",0,0
"289","JF767208",0,0
"290","JF767209",0,0
"291","JF767210",0,0
"292","JF966203",0,0
"293","JN051154",0,0
"294","JN191664",0,0
"295","JN192400",0,0
"296","JN192401",0,0
"297","JN638751",0,0
"298","JN654439",0,0
"299","JN700519",0,0
"300","JN700520",0,0
"301","JN700521",0,0
"302","JN790865",0,0
"303","JN797796",0,0
"304","JN797797",1,1
"305","JN797798",1,1
"306","JN800508",0,0
"307","JQ062992",0,0
"308","JQ246028",2,1
"309","JQ341413",0,0
"310","JQ660954",0,0
"311","JQ686190",0,0
"312","JQ729990",7,1
"313","JQ740810",0,0
"314","JQ779023",0,0
"315","JQ779024",0,0
"316","JQ797329",1,1
"317","JQ957932",0,0
"318","JQ973847",0,0
"319","JX013863",0,0
"320","JX080300",0,0
"321","JX080301",0,0
"322","JX080302",0,0
"323","JX080303",0,0
"324","JX080304",0,0
"325","JX080305",0,0
"326","JX094431",0,0
"327","JX094501",0,0
"328","JX120799",0,0
"329","JX126918",1,1
"330","JX126919",1,1
"331","JX126920",1,1
"332","JX145341",0,0
"333","JX145342",0,0
"334","JX174275",0,0
"335","JX193904",0,0
"336","JX194239",0,0
"337","JX238501",0,0
"338","JX274646",0,0
"339","JX274647",0,0
"340","JX409894",0,0
"341","JX409895",0,0
"342","JX442241",0,0
"343","JX486087",0,0
"344","JX564242",0,0
"345","JX567312",0,0
"346","JX846612",0,0
"347","JX846613",0,0
"348","JX875065",0,0
"349","JX878671",0,0
"350","JX879087",0,0
"351","KC012913",0,0
"352","KC171646",0,0
"353","KC171647",0,0
"354","KC182542",0,0
"355","KC182543",0,0
"356","KC182544",0,0
"357","KC182547",0,0
"358","KC182549",0,0
"359","KC182550",0,0
"360","KC182551",0,0
"361","KC237729",0,0
"362","KC330679",0,0
"363","KC330680",0,0
"364","KC330681",0,0
"365","KC330682",0,0
"366","KC330683",0,0
"367","KC330684",0,0
"368","KC342645",0,0
"369","KC348598",0,0
"370","KC348599",0,0
"371","KC348600",0,0
"372","KC348601",0,0
"373","KC348602",0,0
"374","KC348604",0,0
"375","KC413988",0,0
"376","KC430106",0,0
"377","KC522412",0,0
"378","KC595278",0,0
"379","KC595279",0,0
"380","KC595512",0,0
"381","KC595513",0,0
"382","KC595514",0,0
"383","KC595515",0,0
"384","KC595516",0,0
"385","KC595517",0,0
"386","KC595518",0,0
"387","KC677663",0,0
"388","KC699836",0,0
"389","KC847113",0,0
"390","KF010834",0,0
"391","KF021268",0,0
"392","KF147927",0,0
"393","KF183314",0,0
"394","KF183315",0,0
"395","KF188458",0,0
"396","KF192053",0,0
"397","KF208639",0,0
"398","KF296717",0,0
"399","KF296718",0,0
"400","KF554508",0,0
"401","KF589919",0,0
"402","KF598856",0,0
"403","KF669647",0,0
"404","KF669648",0,0
"405","KF669649",0,0
"406","KF669651",0,0
"407","KF669652",0,0
"408","KF669655",0,0
"409","KF669657",0,0
"410","KF669659",0,0
"411","KF669660",0,0
"412","KF669662",0,0
"413","KF676640",0,0
"414","KF728385",0,0
"415","KF733017",0,0
"416","KF766114",0,0
"417","KF767351",0,0
"418","KF831354",0,0
"419","KJ010489",0,0
"420","KJ010547",0,0
"421","KJ010548",0,0
"422","KJ024807",0,0
"423","KJ081346",0,0
"424","KJ094020",1,1
"425","KJ094021",0,0
"426","KJ094022",0,0
"427","KJ094023",0,0
"428","KJ094029",1,1
"429","KJ094030",1,1
"430","KJ094031",1,1
"431","KJ094032",0,0
"432","KJ094033",1,1
"433","KJ127303",0,0
"434","KJ127304",0,0
"435","KJ140076",0,0
"436","KJ206559",0,0
"437","KJ206560",0,0
"438","KJ206561",0,0
"439","KJ206562",0,0
"440","KJ206563",0,0
"441","KJ210330",0,0
"442","KJ417497",0,0
"443","KJ451625",0,0
"444","KJ452291",0,0
"445","KJ452292",0,0
"446","KJ489010",0,0
"447","KJ489012",0,0
"448","KJ489013",0,0
"449","KJ489397",0,0
"450","KJ489398",0,0
"451","KJ489399",0,0
"452","KJ489400",0,0
"453","KJ489401",0,0
"454","KJ489402",0,0
"455","KJ535721",1,1
"456","KJ535722",1,1
"457","KJ564036",1,1
"458","KJ586794",1,1
"459","KJ586795",1,1
"460","KJ591604",1,1
"461","KJ591605",1,1
"462","KJ596420",0,0
"463","KJ608188",0,0
"464","KJ617393",0,0
"465","KJ668715",1,1
"466","KJ676859",0,0
"467","KJ716334",0,0
"468","KJ801817",0,0
"469","KJ888149",0,0
"470","KJ920400",0,0
"471","KM051843",0,0
"472","KM216423",0,0
"473","KM236245",0,0
"474","KM236246",0,0
"475","KM236247",0,0
"476","KM236248",0,0
"477","KM289195",0,0
"478","KM373208",1,1
"479","KM882824",0,0
"480","KM983327",0,0
"481","KM983328",0,0
"482","KM983329",0,0
"483","KM983330",0,0
"484","KM983331",0,0
"485","KM983332",0,0
"486","KM983333",0,0
"487","KM983334",0,0
"488","KP027015",0,0
"489","KP027446",1,1
"490","KP027447",0,0
"491","KP063902",0,0
"492","KP063903",0,0
"493","KP144388",0,0
"494","KP202972",0,0
"495","KP208803",0,0
"496","KP209285",0,0
"497","KP296791",0,0
"498","KP296793",0,0
"499","KP296795",0,0
"500","KP296796",0,0
"501","KP339049",0,0
"502","KP399677",0,0
"503","KP399678",0,0
"504","KP411017",0,0
"505","KP687431",0,0
"506","KP687432",0,0
"507","KP735928",0,0
"508","KP793117",0,0
"509","KP793122",0,0
"510","KP881332",0,0
"511","KP893289",0,0
"512","KP893290",0,0
"513","KR049063",0,0
"514","KR131750",0,0
"515","KR153145",0,0
"516","KR709302",0,0
"517","KR709303",0,0
"518","KR816341",0,0
"519","KR902361",0,0
"520","KR905069",0,0
"521","KR908644",0,0
"522","KT001911",0,0
"523","KT001912",0,0
"524","KT070868",0,0
"525","KT151955",0,0
"526","KT151956",0,0
"527","KT151957",0,0
"528","KT151958",0,0
"529","KT186243",0,0
"530","KT187252",1,1
"531","KT207918",0,0
"532","KT224359",0,0
"533","KT307976",0,0
"534","KT319602",0,0
"535","KT319607",0,0
"536","KT319620",0,0
"537","KT319626",0,0
"538","KT337341",0,0
"539","KT337342",0,0
"540","KT337356",0,0
"541","KT337358",0,0
"542","KT337360",0,0
"543","KT337364",0,0
"544","KT337365",0,0
"545","KT337370",0,0
"546","KT339177",0,0
"547","KT344895",0,0
"548","KT361649",0,0
"549","KT361650",0,0
"550","KT361651",0,0
"551","KT361652",0,0
"552","KT361653",0,0
"553","KT361654",0,0
"554","KT361655",0,0
"555","KT361656",0,0
"556","KT361657",0,0
"557","KT372714",0,0
"558","KT388093",0,0
"559","KT429161",0,0
"560","KT624200",0,0
"561","KT626446",0,0
"562","KT717083",0,0
"563","KT717084",0,0
"564","KT717085",0,0
"565","KT725776",0,0
"566","KT809368",0,0
"567","KT809369",0,0
"568","KT852578",0,0
"569","KT878766",0,0
"570","KT932699",0,0
"571","KT932701",0,0
"572","KT945994",0,0
"573","KT967075",0,0
"574","KT970645",0,0
"575","KT970646",0,0
"576","KT995480",0,0
"577","KU057941",0,0
"578","KU253712",0,0
"579","KU517658",0,0
"580","KU577463",0,0
"581","KU598975",0,0
"582","KU640380",0,0
"583","KU678389",0,0
"584","KU678390",0,0
"585","KU678391",0,0
"586","KU678392",0,0
"587","KU737344",0,0
"588","KU737345",0,0
"589","KU737346",0,0
"590","KU737347",0,0
"591","KU737348",0,0
"592","KU737349",0,0
"593","KU737350",0,0
"594","KU737351",0,0
"595","KU737352",0,0
"596","KU831549",2,1
"597","KU836751",0,0
"598","KU847400",0,0
"599","KU892558",0,0
"600","KU992911",0,0
"601","KX011028",0,0
"602","KX011169",0,0
"603","KX077889",0,0
"604","KX077891",0,0
"605","KX147229",0,0
"606","KX156152",0,0
"607","KX156762",0,0
"608","KX160204",0,0
"609","KX160205",0,0
"610","KX160206",0,0
"611","KX160207",0,0
"612","KX160208",0,0
"613","KX160209",0,0
"614","KX160210",0,0
"615","KX160211",0,0
"616","KX160212",0,0
"617","KX160213",0,0
"618","KX160214",0,0
"619","KX160215",0,0
"620","KX160216",0,0
"621","KX160217",0,0
"622","KX160218",0,0
"623","KX160219",0,0
"624","KX160220",0,0
"625","KX171212",0,0
"626","KX171213",0,0
"627","KX190832",0,0
"628","KX190833",0,0
"629","KX190835",0,0
"630","KX227757",0,0
"631","KX227758",0,0
"632","KX227759",0,0
"633","KX227760",0,0
"634","KX228399",0,0
"635","KX228400",0,0
"636","KX232515",0,0
"637","KX284704",0,0
"638","KX346236",0,0
"639","KX346242",0,0
"640","KX346244",0,0
"641","KX349902",0,0
"642","KX349903",0,0
"643","KX373685",0,0
"644","KX373686",0,0
"645","KX373687",0,0
"646","KX373688",0,0
"647","KX373689",0,0
"648","KX373690",0,0
"649","KX373691",0,0
"650","KX373692",0,0
"651","KX379668",0,0
"652","KX456206",0,0
"653","KX456207",0,0
"654","KX456208",0,0
"655","KX456209",0,0
"656","KX456210",0,0
"657","KX456211",0,0
"658","KX456212",0,0
"659","KX456213",0,0
"660","KX495186",0,0
"661","KX513872",0,0
"662","KX532239",0,0
"663","KX550065",0,0
"664","KX827368",0,0
"665","KX827369",0,0
"666","KX827370",0,0
"667","KX827371",0,0
"668","KX833905",0,0
"669","KX879641",0,0
"670","KX879642",0,0
"671","KX879643",0,0
"672","KX905163",0,0
"673","KX961629",0,0
"674","KX961630",2,1
"675","KX961632",0,0
"676","KX965989",0,0
"677","KX987999",1,1
"678","KY000084",0,0
"679","KY000085",0,0
"680","KY030782",0,0
"681","KY056620",0,0
"682","KY065449",0,0
"683","KY065450",0,0
"684","KY065451",0,0
"685","KY065452",0,0
"686","KY065453",0,0
"687","KY065454",0,0
"688","KY065455",0,0
"689","KY065457",0,0
"690","KY065459",0,0
"691","KY065460",0,0
"692","KY065461",0,0
"693","KY065462",0,0
"694","KY065463",0,0
"695","KY065464",0,0
"696","KY065465",0,0
"697","KY065466",0,0
"698","KY065467",0,0
"699","KY065468",0,0
"700","KY065469",0,0
"701","KY065470",0,0
"702","KY065471",0,0
"703","KY065472",0,0
"704","KY065473",0,0
"705","KY065476",0,0
"706","KY065477",0,0
"707","KY065478",0,0
"708","KY065479",0,0
"709","KY065480",0,0
"710","KY065481",0,0
"711","KY065482",0,0
"712","KY065483",0,0
"713","KY065484",0,0
"714","KY065485",0,0
"715","KY065486",0,0
"716","KY065487",0,0
"717","KY065488",0,0
"718","KY065489",0,0
"719","KY065490",0,0
"720","KY065491",0,0
"721","KY065492",0,0
"722","KY065493",0,0
"723","KY065496",0,0
"724","KY065497",0,0
"725","KY065501",0,0
"726","KY065502",0,0
"727","KY065503",0,0
"728","KY065504",0,0
"729","KY206887",0,0
"730","KY303907",0,0
"731","KY349816",0,0
"732","KY368639",0,0
"733","KY368640",0,0
"734","KY389063",0,0
"735","KY389064",0,0
"736","KY472224",0,0
"737","KY549443",0,0
"738","KY554760",0,0
"739","KY554761",0,0
"740","KY554762",0,0
"741","KY554763",0,0
"742","KY554764",0,0
"743","KY554765",0,0
"744","KY554766",0,0
"745","KY554767",0,0
"746","KY565347",0,0
"747","KY581279",0,0
"748","KY653116",0,0
"749","KY653117",0,0
"750","KY653120",0,0
"751","KY653123",0,0
"752","KY653124",0,0
"753","KY653125",0,0
"754","KY653126",0,0
"755","KY653129",0,0
"756","KY695153",0,0
"757","KY705251",0,0
"758","KY705252",0,0
"759","KY705253",0,0
"760","KY705254",0,0
"761","KY705255",0,0
"762","KY705256",0,0
"763","KY705257",0,0
"764","KY705258",0,0
"765","KY705259",0,0
"766","KY705260",0,0
"767","KY705261",0,0
"768","KY705262",0,0
"769","KY705263",0,0
"770","KY705264",0,0
"771","KY705265",0,0
"772","KY705266",0,0
"773","KY705267",0,0
"774","KY705268",0,0
"775","KY705270",0,0
"776","KY705271",0,0
"777","KY705272",0,0
"778","KY705273",0,0
"779","KY705274",0,0
"780","KY705275",0,0
"781","KY705276",0,0
"782","KY705277",0,0
"783","KY705278",0,0
"784","KY705279",0,0
"785","KY705280",0,0
"786","KY705281",0,0
"787","KY705282",0,0
"788","KY705283",0,0
"789","KY705284",0,0
"790","KY705287",0,0
"791","KY705288",0,0
"792","KY705289",0,0
"793","KY705290",0,0
"794","KY779848",0,0
"795","KY779849",0,0
"796","KY794641",0,0
"797","KY794642",0,0
"798","KY794643",0,0
"799","KY888882",0,0
"800","KY963369",0,0
"801","KY963370",0,0
"802","KY963371",0,0
"803","L67CG",0,0
"804","LC492751",0,0
"805","LC492752",0,0
"806","LC513943",0,0
"807","LC541428",0,0
"808","LC547238",0,0
"809","LC557520",0,0
"810","LC574321",0,0
"811","LC576631",0,0
"812","LC596377",0,0
"813","LC596378",0,0
"814","LC596379",0,0
"815","LC623721",0,0
"816","LC644557",0,0
"817","LC647030",0,0
"818","LC648442",0,0
"819","LC709172",0,0
"820","LC742552",0,0
"821","LC779550",0,0
"822","LC785692",0,0
"823","LC788703",0,0
"824","LC788704",0,0
"825","LC805022",0,0
"826","LC805024",0,0
"827","LK392619",0,0
"828","LK985321",0,0
"829","LK985322",0,0
"830","LN681534",0,0
"831","LN681535",0,0
"832","LN681536",0,0
"833","LN681537",0,0
"834","LN681538",0,0
"835","LN681539",0,0
"836","LN681540",0,0
"837","LN681541",0,0
"838","LN681542",0,0
"839","LN881738",0,0
"840","LN885237",0,0
"841","LR031359",0,0
"842","LR215718",0,0
"843","LR215719",0,0
"844","LR215720",0,0
"845","LR215721",0,0
"846","LR596902",0,0
"847","LR596903",0,0
"848","LR990834",2,1
"849","LR990835",0,0
"850","LT960608",0,0
"851","LT960610",0,0
"852","LT985569",0,0
"853","LT985574",0,0
"854","LT985575",0,0
"855","LT985576",0,0
"856","LT985578",0,0
"857","LT985582",0,0
"858","LT985583",0,0
"859","LT985585",0,0
"860","LT985588",0,0
"861","LT985592",0,0
"862","LT993225",0,0
"863","LT993229",0,0
"864","LT996072",0,0
"865","LT996073",0,0
"866","LT996074",0,0
"867","LT996077",0,0
"868","LT996078",0,0
"869","LT996081",0,0
"870","LT996082",0,0
"871","MF001365",0,0
"872","MF001367",0,0
"873","MF041990",0,0
"874","MF161328",0,0
"875","MF172979",0,0
"876","MF288917",0,0
"877","MF288918",0,0
"878","MF288919",0,0
"879","MF288920",0,0
"880","MF288921",0,0
"881","MF288922",0,0
"882","MF346933",0,0
"883","MF398190",0,0
"884","MF405094",0,0
"885","MF407276",3,1
"886","MF418016",0,0
"887","MF422185",0,0
"888","MF428478",0,0
"889","MF428479",0,0
"890","MF428480",0,0
"891","MF428481",0,0
"892","MF443119",0,0
"893","MF443120",0,0
"894","MF443121",0,0
"895","MF443122",0,0
"896","MF443123",0,0
"897","MF443124",0,0
"898","MF443125",0,0
"899","MF443126",0,0
"900","MF448558",0,0
"901","MF448564",0,0
"902","MF448567",0,0
"903","MF448570",0,0
"904","MF448571",0,0
"905","MF448572",0,0
"906","MF498901",0,0
"907","MF547662",0,0
"908","MF547663",0,0
"909","MF580410",0,0
"910","MF580759",0,0
"911","MF580760",0,0
"912","MF580761",0,0
"913","MF580762",0,0
"914","MF580763",0,0
"915","MF580764",0,0
"916","MF580765",0,0
"917","MF580766",0,0
"918","MF580767",0,0
"919","MF580768",0,0
"920","MF580769",0,0
"921","MF580770",0,0
"922","MF580771",0,0
"923","MF580772",0,0
"924","MF580773",0,0
"925","MF580774",0,0
"926","MF580775",0,0
"927","MF595878",0,0
"928","MF678788",0,0
"929","MF678789",0,0
"930","MF678790",0,0
"931","MF765814",0,0
"932","MF775669",0,0
"933","MF775670",0,0
"934","MF775677",0,0
"935","MF775678",0,0
"936","MF775679",0,0
"937","MF775696",0,0
"938","MF775697",0,0
"939","MF775699",0,0
"940","MF775700",0,0
"941","MF775702",0,0
"942","MF775704",0,0
"943","MF787246",2,1
"944","MF999224",0,0
"945","MG000860",0,0
"946","MG029509",0,0
"947","MG029510",0,0
"948","MG029511",0,0
"949","MG029512",0,0
"950","MG029513",0,0
"951","MG029514",0,0
"952","MG029515",0,0
"953","MG029516",0,0
"954","MG029517",0,0
"955","MG029518",0,0
"956","MG253648",0,0
"957","MG253649",0,0
"958","MG253650",0,0
"959","MG253651",0,0
"960","MG253652",0,0
"961","MG253653",0,0
"962","MG264739",0,0
"963","MG557618",0,0
"964","MG557619",0,0
"965","MG557979",3,1
"966","MG564297",0,0
"967","MG584725",0,0
"968","MG602477",0,0
"969","MG656408",0,0
"970","MG708273",0,0
"971","MG708274",0,0
"972","MG708275",0,0
"973","MG708276",0,0
"974","MG710484",0,0
"975","MG721208",0,0
"976","MG727695",0,0
"977","MG727696",0,0
"978","MG727697",0,0
"979","MG727698",0,0
"980","MG727699",0,0
"981","MG727700",0,0
"982","MG727701",0,0
"983","MG727702",0,0
"984","MG763894",0,0
"985","MG765277",3,1
"986","MG765279",3,1
"987","MG766218",0,0
"988","MG766219",0,0
"989","MG770897",0,0
"990","MG945131",0,0
"991","MG945357",0,0
"992","MG945361",0,0
"993","MG945363",0,0
"994","MG945407",0,0
"995","MG945570",0,0
"996","MG945573",0,0
"997","MG945586",0,0
"998","MG945759",0,0
"999","MG945820",0,0
"1000","MG969427",0,0
"1001","MG983742",0,0
"1002","MH000602",0,0
"1003","MH000603",0,0
"1004","MH000604",0,0
"1005","MH028956",0,0
"1006","MH078572",0,0
"1007","MH107118",0,0
"1008","MH107769",0,0
"1009","MH136584",0,0
"1010","MH159197",0,0
"1011","MH193369",0,0
"1012","MH203383",0,0
"1013","MH203384",0,0
"1014","MH220877",0,0
"1015","MH299806",1,1
"1016","MH321490",0,0
"1017","MH321491",0,0
"1018","MH321492",0,0
"1019","MH341451",0,0
"1020","MH341452",0,0
"1021","MH341453",0,0
"1022","MH355583",0,0
"1023","MH375074",0,0
"1024","MH375593",0,0
"1025","MH375594",0,0
"1026","MH375595",0,0
"1027","MH375596",0,0
"1028","MH375597",0,0
"1029","MH375598",0,0
"1030","MH375599",0,0
"1031","MH375600",0,0
"1032","MH384259",0,0
"1033","MH384260",0,0
"1034","MH384261",0,0
"1035","MH393889",0,0
"1036","MH401414",0,0
"1037","MH401415",0,0
"1038","MH401416",0,0
"1039","MH431930",0,0
"1040","MH431931",0,0
"1041","MH431932",0,0
"1042","MH431933",0,0
"1043","MH431934",0,0
"1044","MH431935",0,0
"1045","MH431936",0,0
"1046","MH431937",0,0
"1047","MH454077",0,0
"1048","MH454078",0,0
"1049","MH454079",0,0
"1050","MH454081",0,0
"1051","MH454082",0,0
"1052","MH454083",0,0
"1053","MH454084",0,0
"1054","MH458951",0,0
"1055","MH487649",1,1
"1056","MH538193",0,0
"1057","MH542234",0,0
"1058","MH606185",0,0
"1059","MH618488",0,0
"1060","MH638309",0,0
"1061","MH638310",0,0
"1062","MH638311",0,0
"1063","MH638312",0,0
"1064","MH707426",4,1
"1065","MH707427",4,1
"1066","MH707428",2,1
"1067","MH707429",0,0
"1068","MH707431",0,0
"1069","MH707432",0,0
"1070","MH707433",0,0
"1071","MH707435",0,0
"1072","MH707436",0,0
"1073","MH729379",0,0
"1074","MH752385",0,0
"1075","MH779518",0,0
"1076","MH779519",0,0
"1077","MH779520",0,0
"1078","MH779521",0,0
"1079","MH779522",0,0
"1080","MH779523",0,0
"1081","MH779524",0,0
"1082","MH779525",0,0
"1083","MH779526",0,0
"1084","MH779527",0,0
"1085","MH791397",0,0
"1086","MH791415",0,0
"1087","MH809529",2,1
"1088","MH809530",2,1
"1089","MH809531",3,1
"1090","MH837542",0,0
"1091","MH837543",0,0
"1092","MH844528",0,0
"1093","MH844529",0,0
"1094","MH853355",0,0
"1095","MH853356",0,0
"1096","MH853358",0,0
"1097","MH880817",0,0
"1098","MH884509",0,0
"1099","MH884513",0,0
"1100","MH892350",0,0
"1101","MH892351",0,0
"1102","MH892352",0,0
"1103","MH892353",0,0
"1104","MH892354",0,0
"1105","MH892355",0,0
"1106","MH892356",0,0
"1107","MH892357",0,0
"1108","MH892358",0,0
"1109","MH892359",0,0
"1110","MH892360",0,0
"1111","MH892361",0,0
"1112","MH892362",0,0
"1113","MH892363",0,0
"1114","MH892364",0,0
"1115","MH892365",0,0
"1116","MH892367",0,0
"1117","MH892368",0,0
"1118","MH892369",0,0
"1119","MH892370",0,0
"1120","MH892371",0,0
"1121","MH892372",0,0
"1122","MH892373",0,0
"1123","MH892374",0,0
"1124","MH892375",0,0
"1125","MH892376",0,0
"1126","MH892377",0,0
"1127","MH892378",0,0
"1128","MH892379",0,0
"1129","MH892380",0,0
"1130","MH892381",0,0
"1131","MH892382",0,0
"1132","MH892383",0,0
"1133","MH892384",0,0
"1134","MH892385",0,0
"1135","MH937457",0,0
