"","Accession","Host","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","X","gtdb_f","f_spor","newgtdb_Domain","hostspec_phage_spor","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","sequence_id","predicted_label","p_temperate","p_virulent","host_phage_spor","sporulation","lifestyle","host_phyla","newgtdb_Phylum2","cluster","ref"
"11","AB063393","Thermus","Thermus virus IN93","Thermus virus IN93 Hukuchivirus IN93 Hukuchivirus Matshushitaviridae Halopanivirales Laserviricetes Dividoviricota Helvetiavirae Varidnaviria Viruses",19604,FALSE,"65.936","DNA","26-SEP-2015",41,"90.2439024390244","9.75609756097561","96.5772291369108",NA,0,"Hukuchivirus","Hukuchivirus","Unclassified","Matshushitaviridae","Halopanivirales","Laserviricetes","Dividoviricota","Helvetiavirae","Varidnaviria","Group I","PHG","Thermus thermophilus TZ2",115830,"Thermaceae","FALSE","Bacteria","Deinococcota_Lytic_NonSpor","Deinococcota","Deinococci","Deinococcales",29846,"virulent","0.40860429470847365","0.5913957052915263","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Deinococcota","not_run","not_run"
"12","AB231700","Microcystis","Microcystis phage LMM01","Microcystis phage LMM01 Fukuivirus LMM01 Fukuivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",162109,FALSE,"45.953","DNA","22-AUG-2023",189,"34.3915343915344","65.6084656084656","93.5426163877391",NA,2,"Fukuivirus","Fukuivirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",71229,"Microcystaceae","FALSE","Bacteria","Cyanobacteriota_Lytic_NonSpor","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales",8087,"virulent","0.1235628095981523","0.8764371904018478","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Cyanobacteriota","not_run","not_run"
"13","AB243556","Staphylococcus","Staphylococcus phage phiPVL108","Staphylococcus phage phiPVL108 Peeveelvirus PVL108 Peeveelvirus Bronfenbrennervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44857,FALSE,"33.469","DNA","31-MAR-2007",66,"90.9090909090909","9.09090909090909","92.5139888980538",NA,0,"Peeveelvirus","Peeveelvirus","Bronfenbrennervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Staphylococcales",31684,"temperate","0.9924225582710116","0.00757744172898838","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1016","ref_seq"
"14","AB259123","Ralstonia","Ralstonia phage RSM1","Ralstonia phage RSM1 Habenivirus RSM1 Habenivirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",9004,FALSE,"59.951","DNA","25-JUN-2013",16,"75","25","88.5606397156819",NA,0,"Habenivirus","Habenivirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Unspecified",19887,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",30614,"temperate","0.8328681971596741","0.167131802840326","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"15","AB259124","Ralstonia","Ralstonia phage RSS1","Ralstonia phage RSS1 Restivirus RSS1 Restivirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",6662,FALSE,"62.609","DNA","04-AUG-2007",10,"100","0","88.081657160012",NA,0,"Restivirus","Restivirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Unspecified",19887,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",31678,"temperate","0.9009359958990253","0.09906400410097467","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"16","AB276040","Ralstonia","Ralstonia phage RSA1","Ralstonia phage RSA1 Aresaunavirus RSA1 Aresaunavirus Peduoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38760,FALSE,"65.348","DNA","10-NOV-2022",54,"88.8888888888889","11.1111111111111","93.1191950464396",NA,0,"Aresaunavirus","Aresaunavirus","Unclassified","Peduoviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",19887,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",15127,"temperate","0.9847812306770124","0.015218769322987559","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"17","AB362338","Salmonella","Salmonella phage P22","Salmonella phage P22 Lederbergvirus P22 Lederbergvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41660,FALSE,"47.012","DNA","02-DEC-2008",65,"56.9230769230769","43.0769230769231","88.8190110417667",NA,0,"Lederbergvirus","Lederbergvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica subsp. enterica serovar Typhimurium strain LT2",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31638,"temperate","0.9597662229628016","0.0402337770371984","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"18","AB366653","Ralstonia","Ralstonia phage phiRSL1","Ralstonia phage phiRSL1 Mieseafarmvirus RSL1 Mieseafarmvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",231255,TRUE,"58.026","DNA","27-FEB-2010",332,"62.3493975903614","37.6506024096386","93.7968908780351",NA,2,"Mieseafarmvirus","Mieseafarmvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",19887,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",31432,"virulent","0.4460957806508385","0.5539042193491615","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"19","AB370205","Staphylococcus","Staphylococcus phage phiMR25","Staphylococcus phage phiMR25 Dubowvirus MR25 Dubowvirus Azeredovirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44342,FALSE,"34.326","DNA","10-NOV-2022",70,"90","10","93.9470479455144",NA,0,"Dubowvirus","Dubowvirus","Azeredovirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Staphylococcus aureus",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Staphylococcales",15126,"temperate","0.9916049265948513","0.008395073405148683","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1048","ref_seq"
"20","AB370268","Staphylococcus","Staphylococcus phage phiMR11","Staphylococcus phage phiMR11 Phietavirus MR11 Phietavirus Azeredovirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43011,FALSE,"35.630","DNA","11-NOV-2022",68,"92.6470588235294","7.35294117647059","95.4035014298668",NA,0,"Phietavirus","Phietavirus","Azeredovirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Staphylococcus aureus",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Staphylococcales",15120,"temperate","0.9905649058861397","0.009435094113860445","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1180","ref_seq"
"21","AB374228","Vibrio","Vibrio phage Kappa","Vibrio phage Kappa Longwoodvirus K139 Longwoodvirus Peduoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",33507,FALSE,"48.835","DNA","16-JAN-2008",44,"79.5454545454545","20.4545454545455","90.8407198495837",NA,0,"Longwoodvirus","Longwoodvirus","Unclassified","Peduoviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",132257,"Vibrionaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31667,"temperate","0.9392404778122825","0.06075952218771748","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"22","AB426868","Salmonella","Salmonella phage P22","Salmonella phage P22 Lederbergvirus P22 Lederbergvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41660,FALSE,"47.012","DNA","03-DEC-2008",65,"56.9230769230769","43.0769230769231","88.8190110417667",NA,0,"Lederbergvirus","Lederbergvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica subsp. enterica serovar Typhimurium strain LT2",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31635,"temperate","0.959827515888754","0.040172484111245896","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"23","AB434711","Ralstonia","Ralstonia phage RSM3","Ralstonia phage RSM3 Habenivirus RSM3 Habenivirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",8929,FALSE,"59.648","DNA","25-JUN-2013",16,"81.25","18.75","81.9800649568821",NA,0,"Habenivirus","Habenivirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Unspecified",19887,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",30626,"temperate","0.7228271255128671","0.2771728744871329","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"24","AB451219","Ralstonia","Ralstonia phage RSB1","Ralstonia phage RSB1 Higashivirus RSB1 Higashivirus Okabevirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43079,FALSE,"61.738","DNA","20-DEC-2008",53,"100","0","92.4882193179972",NA,0,"Higashivirus","Higashivirus","Okabevirinae","Autographiviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Ralstonia solanacearum",19887,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",31628,"virulent","0.05675035023180793","0.943249649768192","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"25","AB472900","Pseudomonas","Pseudomonas phage KPP10","Pseudomonas phage KPP10 Nankokuvirus KPP10 Nankokuvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",88322,FALSE,"54.794","DNA","21-NOV-2013",157,"85.9872611464968","14.0127388535032","91.1415049478046",NA,3,"Nankokuvirus","Nankokuvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",88834,"Pseudomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",30522,"virulent","0.12276243714134864","0.8772375628586514","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"26","AB560486","Pseudomonas","Pseudomonas phage KPP12","Pseudomonas phage KPP12 Pbunavirus KPP12 Pbunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",64144,FALSE,"55.623","DNA","24-OCT-2012",89,"43.8202247191011","56.1797752808989","93.4740583686705",NA,0,"Pbunavirus","Pbunavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Pseudomonas aeruginosa",88834,"Pseudomonadaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",30836,"temperate","0.5411734073680753","0.4588265926319247","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"27","AB572858","Vibrio","Vibrio phage ND1-fs1","Vibrio phage ND1-fs1 Fibrovirus fs1 Fibrovirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses",6856,FALSE,"43.436","DNA","07-MAR-2012",11,"81.8181818181818","18.1818181818182","86.8582263710618",NA,0,"Fibrovirus","Fibrovirus","Unclassified","Inoviridae","Tubulavirales","Faserviricetes","Hofneiviricota","Loebvirae","Monodnaviria","Group II","PHG","Vibrio cholerae O139 strain ND1",132257,"Vibrionaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",31027,"virulent","0.4803745961633639","0.519625403836636","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"28","AB597179","Ralstonia","Ralstonia phage RSB2","Ralstonia phage RSB2 Kelmasvirus RSB2 Kelmasvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40411,FALSE,"61.751","DNA","28-DEC-2010",54,"100","0","92.0467199524882",NA,0,"Kelmasvirus","Kelmasvirus","Unclassified","Autographiviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Ralstonia solanacearum",19887,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",31297,"virulent","0.035001359556630515","0.9649986404433696","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"29","AB605730","Bacillus","Bacillus phage SP-10","Bacillus phage SP-10 Spounavirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",143986,FALSE,"40.487","DNA","20-JUL-2011",241,"91.2863070539419","8.71369294605809","92.8944480713403",NA,0,"Spounavirinae","Unclassified","Spounavirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",10934,"Bacillaceae","TRUE","Bacteria","Bacillota_Lytic_Spor","Bacillota","Bacilli","Bacillales",31106,"virulent","0.22880085193864616","0.7711991480613538","Bacillota_Lytic_Spor","Spor","Lytic","Bacillota","Bacillota_Spor","0_300","ref_seq"
"30","AB609718","Enterococcus","Enterococcus phage phiEF24C-P2","Enterococcus phage phiEF24C-P2 Kochikohdavirus EF24C Kochikohdavirus Brockvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",142072,FALSE,"35.737","DNA","03-JUN-2021",214,"67.2897196261682","32.7102803738318","89.3786249225745",NA,5,"Kochikohdavirus","Kochikohdavirus","Brockvirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Lactobacillales",20434,"virulent","0.06760112055840564","0.9323988794415944","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_347","ref_seq"
"31","AB626962","Staphylococcus","Staphylococcus phage S24-1","Staphylococcus phage S24-1 Rosenblumvirus S241 Rosenblumvirus Rakietenvirinae Rountreeviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",18168,FALSE,"28.908","DNA","22-DEC-2011",21,"47.6190476190476","52.3809523809524","94.1545574636724",NA,0,"Rosenblumvirus","Rosenblumvirus","Rakietenvirinae","Rountreeviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Staphylococcus aureus strain SA27",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Staphylococcales",31065,"virulent","0.21033174901759685","0.7896682509824031","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_2690","ref_seq"
"32","AB626963","Staphylococcus","Staphylococcus phage S13'","Staphylococcus phage S13' Rosenblumvirus S241 Rosenblumvirus Rakietenvirinae Rountreeviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",18186,FALSE,"29.215","DNA","22-DEC-2011",21,"47.6190476190476","52.3809523809524","93.9953810623556",NA,0,"Rosenblumvirus","Rosenblumvirus","Rakietenvirinae","Rountreeviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Staphylococcus aureus strain SA27",109011,"Staphylococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Staphylococcales",31064,"virulent","0.19969391078872512","0.8003060892112749","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_2689","ref_seq"
"33","AB647160","Helicobacter","Helicobacter phage KHP30","Helicobacter phage KHP30 Schmidvirus KHP30 Schmidvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",26215,FALSE,"35.770","DNA","02-JUL-2015",28,"100","0","91.733740225062",NA,0,"Schmidvirus","Schmidvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Helicobacter pylori strain 3401",52406,"Helicobacteraceae","FALSE","Bacteria","Campylobacterota_Temp_NonSpor","Campylobacterota","Campylobacteria","Campylobacterales",29972,"temperate","0.9681055634476412","0.03189443655235876","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Campylobacterota","not_run","not_run"
