"","spor_db_id","protein_id","spor_db_hit","spor_db_identity","spor_db_bitScore","spor_db_eVal","Protein.names","Gene.Names","data.set"
"19","A0AAT9J3Y0","3300038460.a:Ga0436661_0000193_10","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.332,68,2.677e-13,"Cell shape determination factor","rodZ BSU_16910","GSV"
"20","A0AAT9J3Y0","3300005445.a:Ga0070708_100083397_2","tr A0AAT9J3Y0 A0AAT9J3Y0_BACSU Cell shape determination factor OS=Bacillus subtilis (strain 168) OX=224308 GN=rodZ PE=4 SV=1",0.46,60,7.107e-11,"Cell shape determination factor","rodZ BSU_16910","GSV"
"21","A0RKS4","3300036795.a:Ga0376668_0000286_44","A0RKS4 GPMI_BACAH 2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Bacillus thuringiensis (strain Al Hakam) OX=412694 GN=gpmI PE=3 SV=1",0.522,493,1.455e-155,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI BALH_4628","GSV"
"22","A4FB46","3300036819.a:Ga0376689_0029789_5","A4FB46 SSGB_SACEN Sporulation-specific cell division protein SsgB OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=ssgB PE=3 SV=1",0.368,84,9.995e-21,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961","GSV"
"23","A4FB46","3300003321.a:soilH1_10011516_5","A4FB46 SSGB_SACEN Sporulation-specific cell division protein SsgB OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=ssgB PE=3 SV=1",0.401,75,2.098e-17,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961","GSV"
"24","A4FB46","3300036805.a:Ga0376681_0001020_23","A4FB46 SSGB_SACEN Sporulation-specific cell division protein SsgB OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=ssgB PE=3 SV=1",0.357,78,1.175e-18,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961","GSV"
"25","A4FB46","3300036786.a:Ga0376659_0173683_4","A4FB46 SSGB_SACEN Sporulation-specific cell division protein SsgB OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=ssgB PE=3 SV=1",0.388,70,1.642e-16,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961","GSV"
"26","A4FB46","3300006028.a:Ga0070717_10000052_18","A4FB46 SSGB_SACEN Sporulation-specific cell division protein SsgB OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=ssgB PE=3 SV=1",0.367,66,2.992e-14,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961","GSV"
"27","A4FB46","3300036819.a:Ga0376689_0001265_42","A4FB46 SSGB_SACEN Sporulation-specific cell division protein SsgB OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=ssgB PE=3 SV=1",0.357,78,1.175e-18,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB SACE_1961","GSV"
"28","A4IN75","3300040147.a:Ga0397025_00089_4","A4IN75 TLP_GEOTN Small, acid-soluble spore protein Tlp OS=Geobacillus thermodenitrificans (strain NG80-2) OX=420246 GN=tlp PE=3 SV=2",0.57,72,6.901e-18,"Small, acid-soluble spore protein Tlp","tlp GTNG_1409","GSV"
"29","A4X5B6","3300041967.a:Ga0401704_23606537_25","A4X5B6 SSGB_SALTO Sporulation-specific cell division protein SsgB OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=ssgB PE=3 SV=1",0.417,88,3.846e-22,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600","GSV"
"30","A4X5B6","3300005444.a:Ga0070694_100011750_7","A4X5B6 SSGB_SALTO Sporulation-specific cell division protein SsgB OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=ssgB PE=3 SV=1",0.365,72,9.042e-17,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600","GSV"
"31","A4X5B6","3300041965.a:Ga0401702_29698028_1","A4X5B6 SSGB_SALTO Sporulation-specific cell division protein SsgB OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=ssgB PE=3 SV=1",0.463,72,2.638e-17,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600","GSV"
"32","A4X5B6","3300041967.a:Ga0401704_15640849_19","A4X5B6 SSGB_SALTO Sporulation-specific cell division protein SsgB OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=ssgB PE=3 SV=1",0.477,102,2.969e-26,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600","GSV"
"33","A4X5B6","3300005441.a:Ga0070700_100058523_4","A4X5B6 SSGB_SALTO Sporulation-specific cell division protein SsgB OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=ssgB PE=3 SV=1",0.325,61,4.391e-13,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600","GSV"
"34","A4X5B6","3300036402.a:Ga0372949_0120591_1","A4X5B6 SSGB_SALTO Sporulation-specific cell division protein SsgB OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=ssgB PE=3 SV=1",0.436,108,5.577e-29,"Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","ssgB Strop_1600","GSV"
"35","A6LRL7","3300001298.a:Bac131567_1217239_49","A6LRL7 SP2AB_CLOB8 Anti-sigma F factor OS=Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052) OX=290402 GN=spoIIAB PE=3 SV=1",0.678,183,2.964e-55,"Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB Cbei_0813","GSV"
"36","A6QGC0","3300035174.a:Ga0373465_0227581_1","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.284,74,7.271e-17,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"37","A6QGC0","3300005295.a:Ga0065707_10082226_3","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.265,96,1.559e-21,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"38","A6QGC0","3300017974.a:Ga0187777_10081505_2","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.213,61,7.797e-12,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"39","A6QGC0","AP012532_29","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,89,2.799e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"40","A6QGC0","3300005467.a:Ga0070706_100001093_10","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.26,83,5.69e-19,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"41","A6QGC0","3300005295.a:Ga0065707_10000591_7","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,76,2.513e-15,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"42","A6QGC0","3300039398.a:Ga0435659_0000727_3","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.277,107,8.49e-26,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"43","A6QGC0","3300005295.a:Ga0065707_10081849_3","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.222,90,8.611e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"44","A6QGC0","3300005985.a:Ga0081539_10000633_45","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.408,192,7.191e-51,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"45","A6QGC0","3300039744.a:Ga0428123_00039_7","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.33,137,1.444e-34,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"46","A6QGC0","UHGV-0133699_45","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.309,110,3.545e-27,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","UHGV"
"47","A6QGC0","3300041966.a:Ga0401703_03453411_3","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.36,69,1.023e-15,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"48","A6QGC0","3300035110.a:Ga0373488_0000565_8","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.211,64,3.608e-12,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"49","A6QGC0","3300037165.a:Ga0395629_048826_1","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.249,90,4.427e-21,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"50","A6QGC0","3300005295.a:Ga0065707_10081900_5","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.257,82,3.604e-17,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"51","A6QGC0","3300039489.a:Ga0400896_001134_10","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.344,80,3.555e-18,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"52","A6QGC0","3300025961.a:Ga0207712_10000638_21","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.289,93,1.353e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"53","A6QGC0","3300041965.a:Ga0401702_19739139_1","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.337,78,7.349e-17,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"54","A6QGC0","AF125520_25","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,89,2.799e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"55","A6QGC0","3300025936.a:Ga0207670_10003925_2","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.382,179,1.34e-46,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"56","A6QGC0","UHGV-0210215_27","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.225,71,1.467e-14,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","UHGV"
"57","A6QGC0","UHGV-0059985_84","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.176,76,2.186e-15,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","UHGV"
"58","A6QGC0","3300037845.a:Ga0372952_0625575_2","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.31,69,2.258e-14,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"59","A6QGC0","3300005295.a:Ga0065707_10082009_6","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.244,102,3.942e-24,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"60","A6QGC0","3300005295.a:Ga0065707_10081871_5","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,91,8.967e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"61","A6QGC0","UHGV-0213877_2","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.176,75,2.887e-15,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","UHGV"
"62","A6QGC0","MT225101_29","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,89,2.799e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"63","A6QGC0","UHGV-0192064_13","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.281,104,2.619e-25,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","UHGV"
"64","A6QGC0","AP004402_56","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,89,2.799e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"65","A6QGC0","BTJB01000001_172","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.254,91,3.674e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"66","A6QGC0","3300039398.a:Ga0435659_0000589_3","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.235,65,7.697e-12,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"67","A6QGC0","EU311208_25","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.251,87,1.63e-19,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"68","A6QGC0","3300036780.a:Ga0376652_0003036_8","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.242,87,9.671e-19,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"69","A6QGC0","3300041965.a:Ga0401702_18845330_3","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.488,72,2.466e-17,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"70","A6QGC0","AP012531_27","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,89,2.799e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"71","A6QGC0","JQ780327_24","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.268,82,1.297e-18,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"72","A6QGC0","3300005295.a:Ga0065707_10081838_16","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.272,87,2.801e-19,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"73","A6QGC0","KU238068_25","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.255,89,2.799e-20,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","INPHARED"
"74","A6QGC0","3300038426.a:Ga0427943_002194_21","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.381,185,3.043e-49,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
"75","A6QGC0","3300041967.a:Ga0401704_31397026_11","A6QGC0 PRKC_STAAE Serine/threonine-protein kinase PrkC OS=Staphylococcus aureus (strain Newman) OX=426430 GN=prkC PE=1 SV=1",0.309,124,7.001e-31,"Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","prkC NWMN_1130","GSV"
