Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster
ivig_34	58300	54.320754716981135	Caudovirales	High-quality	Faecalibacterium prausnitzii B;Faecalibacterium prausnitzii A	virulent	cluster_24781	subcluster_31150
ivig_37	35104	40.23757976298997	Caudovirales	Medium-quality	Ruminococcus B sp2;Ruminococcus B fissicatena;GCF 000509105.1	temperate	cluster_198209	subcluster_249818
ivig_38	24053	43.17132997962832	Caudovirales	Medium-quality	Ruminococcus B sp2;Ruminococcus B fissicatena;GCF 000509105.1	virulent	cluster_44847	subcluster_56266
ivig_40	28372	40.268574651064434	Caudovirales	Low-quality	Ruminococcus B sp2;Ruminococcus B fissicatena;GCF 000509105.1	temperate	cluster_229532	subcluster_288888
ivig_41	26109	43.16902217626106	Caudovirales	Medium-quality	Ruminococcus B sp2;Ruminococcus B fissicatena;GCF 000509105.1	virulent	cluster_256459	subcluster_322004
ivig_43	62303	57.5349501629135	Caudovirales	High-quality	Faecalibacterium prausnitzii	temperate	cluster_194727	subcluster_245516
ivig_44	63623	52.55332191188721	Caudovirales	High-quality	Faecalibacterium prausnitzii	virulent	cluster_100570	subcluster_126701
ivig_45	23232	45.2909779614325	Caudovirales	High-quality	Lactobacillus paracasei	temperate	cluster_146410	subcluster_184607
ivig_46	43203	44.93206490290026	Caudovirales	High-quality	Lactobacillus paracasei	temperate	cluster_6635	subcluster_8080
ivig_47	17348	37.37606640534932	Caudovirales	Low-quality	Streptococcus pasteurianus	temperate	cluster_202433	subcluster_254953
ivig_49	22205	37.93289799594686	Caudovirales	Medium-quality	Streptococcus pasteurianus	temperate	cluster_141734	subcluster_178452
ivig_50	37666	35.806828439441404	Caudovirales	Medium-quality	Streptococcus pasteurianus	temperate	cluster_276352	subcluster_347013
ivig_54	71179	37.62767108276318	Caudovirales	High-quality	Bacteroides thetaiotaomicron	virulent	cluster_94148	subcluster_118555
ivig_58	37963	32.20504175117878	Caudovirales	Medium-quality	Erysipelatoclostridium ramosum	temperate	cluster_217611	subcluster_274137
ivig_59	37950	33.95520421607378	Caudovirales	High-quality	Erysipelatoclostridium ramosum	temperate	cluster_89732	subcluster_113123
ivig_62	24527	53.83454967994455	Caudovirales	Low-quality	Parabacteroides distasonis	virulent	cluster_142836	subcluster_179856
ivig_65	41015	42.525905156650005	Caudovirales	High-quality	Anaerostipes caccae;GCF 000508985.1	temperate	cluster_81469	subcluster_102300
ivig_66	39921	51.87495303223867	Caudovirales	Medium-quality	Enterobacter kobei	temperate	cluster_184183	subcluster_232294
ivig_67	31977	52.0811833505332	Caudovirales	High-quality	Enterobacter kobei	temperate	cluster_20416	subcluster_25579
ivig_68	47349	53.490042028342735	Caudovirales	High-quality	Enterobacter kobei	temperate	cluster_5914	subcluster_7229
ivig_69	26158	53.95290159798149	Caudovirales	Medium-quality	Enterobacter kobei	temperate	cluster_100868	subcluster_127250
ivig_71	50495	52.09228636498663	Caudovirales	Medium-quality	Ruthenibacterium lactatiformans	temperate	cluster_53082	subcluster_66844
ivig_72	28038	57.68956416292175	Caudovirales	Medium-quality	Ruthenibacterium lactatiformans	temperate	cluster_223932	subcluster_281924
ivig_73	36826	44.74284472926737	Caudovirales	Medium-quality	Ruthenibacterium lactatiformans	virulent	cluster_179026	subcluster_225964
ivig_74	20992	50.32393292682927	Caudovirales	Medium-quality	Ruthenibacterium lactatiformans	temperate	cluster_233138	subcluster_293444
ivig_76	14992	57.19050160085379	Caudovirales	Low-quality	Ruthenibacterium lactatiformans	virulent	cluster_245658	subcluster_308717
ivig_78	60277	44.53771753736915	Caudovirales	High-quality	Ruthenibacterium lactatiformans	virulent	cluster_104764	subcluster_132062
ivig_79	43052	52.61776456378333	Caudovirales	Medium-quality	Ruthenibacterium lactatiformans	virulent	cluster_183347	subcluster_231309
ivig_81	53037	45.33250372381545	Caudovirales	High-quality	Parabacteroides distasonis	virulent	cluster_130909	subcluster_164743
ivig_82	35862	41.21911772907256	Caudovirales	Low-quality	Sellimonas intestinalis	temperate	cluster_255040	subcluster_320271
ivig_83	18760	39.71748400852879	Caudovirales	Low-quality	Sellimonas intestinalis	temperate	cluster_102024	subcluster_128677
ivig_85	31083	47.52758742721102	Caudovirales	Low-quality	NA;Clostridium M sp1	temperate	cluster_211270	subcluster_265765
ivig_87	41001	54.6035462549694	Caudovirales	Medium-quality	Agathobaculum sp1	temperate	cluster_85462	subcluster_107569
ivig_88	46940	54.70813804857264	Caudovirales	High-quality	Agathobaculum sp1	virulent	cluster_120811	subcluster_152193
ivig_94	46720	54.7410102739726	Caudovirales	High-quality	Agathobaculum sp1	virulent	cluster_198210	subcluster_249819
ivig_95	39715	56.56049351630367	Caudovirales	High-quality	Agathobaculum sp1	temperate	cluster_44848	subcluster_56267
ivig_96	35192	55.47567629006592	Caudovirales	High-quality	Agathobaculum sp1	temperate	cluster_229533	subcluster_288889
ivig_97	64663	47.34546804200238	Caudovirales	High-quality	Ruminococcus B lactaris;Hungatella hathewayi A	virulent	cluster_256460	subcluster_322007
ivig_98	41439	42.72545186901228	Caudovirales	High-quality	GCA 900066075.1	temperate	cluster_119200	subcluster_150175
ivig_100	68411	40.70982736694391	Caudovirales	High-quality	CAG-81 sp1	virulent	cluster_100571	subcluster_126702
ivig_101	24252	43.30364506020122	Caudovirales	Medium-quality	Sellimonas intestinalis	virulent	cluster_146411	subcluster_184608
ivig_102	36219	40.65545708053784	Caudovirales	High-quality	Sellimonas intestinalis	temperate	cluster_202434	subcluster_254954
ivig_104	101480	41.557942451714624	Caudovirales	High-quality	Bacteroides sp2;Bacteroides salyersiae;Bacteroides ovatus	virulent	cluster_141735	subcluster_178453
ivig_105	65280	38.13112745098039	Caudovirales	Medium-quality	Bacteroides ovatus;GCF 900155865.1;Bacteroides faecis	virulent	cluster_276353	subcluster_347014
ivig_108	49242	45.78205596848219	Caudovirales	High-quality	NA;Agathobacter rectalis;Fusicatenibacter saccharivorans;Coprococcus A catus;Coprococcus eutactus A;GCF 000154245.1;GCA 000434655.1;UBA9502;Dorea longicatena B;CAG-81 sp1;Lachnospira eligens;Roseburia inulinivorans	virulent	cluster_169922	subcluster_214295
ivig_109	36988	38.17995025413647	Caudovirales	Medium-quality	Bacteroides ovatus	virulent	cluster_217612	subcluster_274138
ivig_110	21493	39.18019820406644	Caudovirales	Low-quality	Bacteroides ovatus	virulent	cluster_52716	subcluster_66396
ivig_113	23796	39.99411665826189	Caudovirales	Medium-quality	Bacteroides ovatus	virulent	cluster_142837	subcluster_179857
ivig_114	41949	46.73293761472264	Caudovirales	Medium-quality	GCF 000466465.2	virulent	cluster_81470	subcluster_102301
ivig_115	10600	47.67924528301887	Caudovirales	Low-quality	GCF 000466465.2	virulent	cluster_184184	subcluster_232295
ivig_116	30969	44.46704769285415	Caudovirales	Medium-quality	GCF 000466465.2	temperate	cluster_13348	subcluster_16638
ivig_118	21605	41.65239527887063	Caudovirales	Medium-quality	Sellimonas intestinalis	virulent	cluster_58778	subcluster_74172
ivig_119	36172	46.37564967378083	Caudovirales	High-quality	CAG-81 sp1;Roseburia intestinalis	virulent	cluster_5915	subcluster_7230
ivig_120	49634	48.02353225611476	Caudovirales	High-quality	NA;Fusicatenibacter saccharivorans;GCA 000434655.1;Coprococcus A catus;CAG-81 sp1;Agathobacter rectalis;Ruminococcus B faecis;Roseburia hominis;Roseburia inulinivorans;GCA 900066745.1	virulent	cluster_7854	subcluster_9720
ivig_121	27275	42.11915673693859	Caudovirales	Medium-quality	Sellimonas intestinalis	virulent	cluster_263396	subcluster_330523
ivig_122	14848	44.69962284482759	Caudovirales	Low-quality	CAG-81 sp1	temperate	cluster_97966	subcluster_123340
ivig_123	25244	45.03248296624941	Caudovirales	Low-quality	CAG-81 sp1	virulent	cluster_206272	subcluster_259627
ivig_124	50251	32.502835764462404	Caudovirales	High-quality	Anaerofustis stercorihominis	temperate	cluster_179027	subcluster_225965
ivig_125	40439	31.50424095551324	Caudovirales	Medium-quality	Anaerofustis stercorihominis	virulent	cluster_233139	subcluster_293445
ivig_126	46955	35.20178894686402	Caudovirales	Medium-quality	Erysipelatoclostridium ramosum	virulent	cluster_245659	subcluster_308718
ivig_127	32441	38.95995807774113	Caudovirales	Medium-quality	Erysipelatoclostridium ramosum	temperate	cluster_104765	subcluster_132063
ivig_128	51904	41.14519112207152	Caudovirales	High-quality	Ruminococcus faecis	temperate	cluster_34087	subcluster_42790
ivig_129	67273	47.482645340627	Caudovirales	High-quality	Ruminococcus B lactaris;CAG-81 sp1	temperate	cluster_58227	subcluster_73447
ivig_130	49764	48.77019532191946	Caudovirales	High-quality	CAG-81 sp1	virulent	cluster_255041	subcluster_320272
ivig_131	44031	47.76407531057664	Caudovirales	High-quality	GCA 900066055.1;CAG-81 sp1	temperate	cluster_102025	subcluster_128678
ivig_132	45821	46.221164968027765	Caudovirales	High-quality	GCF 000466465.2	temperate	cluster_208063	subcluster_261816
ivig_133	34950	46.40343347639485	Caudovirales	Medium-quality	GCF 000466465.2	temperate	cluster_272717	subcluster_342591
ivig_138	49583	48.07696186192849	Caudovirales	High-quality	NA;Fusicatenibacter saccharivorans;GCA 000434655.1;Coprococcus A catus;CAG-81 sp1;Agathobacter rectalis;Ruminococcus B faecis;Roseburia hominis;Roseburia inulinivorans;GCA 900066745.1	virulent	cluster_208487	subcluster_262324
ivig_139	38030	48.34341309492506	Caudovirales	Medium-quality	CAG-81 sp1	virulent	cluster_198211	subcluster_249820
ivig_141	47274	31.480306299445783	Caudovirales	High-quality	GCF 000752095.2;Dorea formicigenerans	temperate	cluster_139872	subcluster_176161
ivig_142	53692	31.96565596364449	Caudovirales	High-quality	GCF 000752095.2	temperate	cluster_229534	subcluster_288890
ivig_146	16330	33.49663196570729	Caudovirales	Medium-quality	Bacteroides massiliensis	virulent	cluster_256461	subcluster_322009
ivig_147	36206	48.81787549025024		Low-quality	Alistipes onderdonkii	virulent	cluster_119201	subcluster_150176
ivig_148	26772	39.64589870013447	Caudovirales	Medium-quality	GCA 000436935.1	virulent	cluster_100572	subcluster_126703
ivig_149	63644	32.59851674941864	Caudovirales	Low-quality	GCA 000436935.1	virulent	cluster_146412	subcluster_184609
ivig_151	23315	44.30624061762813	Caudovirales	Medium-quality	CAG-65 sp3	temperate	cluster_202435	subcluster_254955
ivig_154	13247	44.11564882614932	Caudovirales	Low-quality	Ruminococcus bromii	virulent	cluster_114367	subcluster_144194
ivig_155	39819	30.611014842160778	Caudovirales	High-quality	GCF 000752095.2	temperate	cluster_276354	subcluster_347015
ivig_157	14837	44.42946687335715	Caudovirales	Low-quality	CAG-65 sp3	virulent	cluster_94149	subcluster_118556
ivig_159	47956	51.17399282675786	Caudovirales	High-quality	Roseburia intestinalis;GCF 001414325.1;GCA 900066395.1	temperate	cluster_90448	subcluster_114012
ivig_161	36910	40.00270929287456	Caudovirales	High-quality	Eubacterium sp1	virulent	cluster_265870	subcluster_333779
ivig_164	41784	40.07754164273406	Caudovirales	High-quality	Blautia obeum	temperate	cluster_280937	subcluster_352915
ivig_168	41782	41.59685989181944	Caudovirales	High-quality	Coprococcus comes	virulent	cluster_81471	subcluster_102302
ivig_169	28923	40.01313833281471	Caudovirales	Low-quality	Bacteroides vulgatus	virulent	cluster_184185	subcluster_232296
ivig_170	17183	60.96723505790607	Caudovirales	High-quality	Bifidobacterium pseudocatenulatum;Bifidobacterium bifidum;Bifidobacterium longum;Bifidobacterium catenulatum;Bifidobacterium adolescentis B;NA	temperate	cluster_214405	subcluster_270042
ivig_171	43034	59.78063856485569	Caudovirales	High-quality	Bifidobacterium adolescentis	temperate	cluster_226705	subcluster_285266
ivig_173	41602	40.9787990961973	Caudovirales	High-quality	Blautia wexlerae	temperate	cluster_100869	subcluster_127252
ivig_174	47204	41.81425302940429	Caudovirales	High-quality	Dorea formicigenerans;Dorea scindens	temperate	cluster_97967	subcluster_123341
ivig_176	36678	66.98838540814658	Caudovirales	High-quality	Gordonibacter pamelaeae	temperate	cluster_57612	subcluster_72666
ivig_177	40490	47.66856013830576	Caudovirales	Medium-quality	Bacteroides fragilis	virulent	cluster_119115	subcluster_150060
ivig_178	16343	60.72936425380897	Caudovirales	High-quality	Bifidobacterium adolescentis B;Bifidobacterium pseudocatenulatum;Bifidobacterium angulatum;Bifidobacterium catenulatum	temperate	cluster_233140	subcluster_293446
ivig_179	24733	26.062345853717705	Caudovirales	Medium-quality	Fusobacterium A varium;Fusobacterium A ulcerans	temperate	cluster_245660	subcluster_308719
ivig_180	45634	26.98645746592453	Caudovirales	Medium-quality	Fusobacterium A ulcerans;Fusobacterium A varium	temperate	cluster_104766	subcluster_132064
ivig_184	13117	38.97994968361668	Caudovirales	Low-quality	Bacteroides stercoris	virulent	cluster_183348	subcluster_231312
ivig_188	36925	34.90318212593094	Caudovirales	Medium-quality	Bacillus cereus	virulent	cluster_130910	subcluster_164744
ivig_189	34199	34.04777917482967	Caudovirales	Medium-quality	Holdemanella biformis	virulent	cluster_255042	subcluster_320274
ivig_190	36783	66.71832096348857	Caudovirales	High-quality	Gordonibacter pamelaeae	temperate	cluster_57202	subcluster_72166
ivig_191	41647	30.211059620140706	Caudovirales	Medium-quality	Megamonas funiformis	temperate	cluster_102026	subcluster_128679
ivig_194	55415	56.65433546873591	Caudovirales	Medium-quality	Bifidobacterium longum	virulent	cluster_211271	subcluster_265766
ivig_198	16786	60.82449660431312	Caudovirales	High-quality	Bifidobacterium longum;Bifidobacterium angulatum;Bifidobacterium pseudocatenulatum	temperate	cluster_5641	subcluster_6894
ivig_201	25488	41.20762711864407	Caudovirales	Medium-quality	Bacteroides vulgatus	virulent	cluster_120812	subcluster_152194
ivig_203	71029	38.96436666713596	Caudovirales	High-quality	Bacteroides vulgatus	temperate	cluster_145555	subcluster_183288
ivig_204	57087	48.92006936780703	Caudovirales	High-quality	Parabacteroides merdae;Bacteroides B massiliensis;Bacteroides B vulgatus	virulent	cluster_198212	subcluster_249821
ivig_206	33837	38.89529213582764	Caudovirales	Low-quality	Bacteroides intestinalis	temperate	cluster_44849	subcluster_56268
ivig_207	61985	43.521819795111725	Caudovirales	High-quality	Prevotella copri A;Prevotella copri	virulent	cluster_229535	subcluster_288891
ivig_209	42430	47.44991751119491	Caudovirales	High-quality	Prevotella copri;Prevotella copri A	temperate	cluster_256462	subcluster_322011
ivig_211	36758	66.714728766527	Caudovirales	High-quality	Gordonibacter pamelaeae	temperate	cluster_57202	subcluster_72166
ivig_214	33749	48.49032563927821	Caudovirales	Low-quality	Agathobacter rectalis	temperate	cluster_119202	subcluster_150177
ivig_217	34701	41.86622863894412	Caudovirales	High-quality	Dorea formicigenerans;Dorea scindens	virulent	cluster_100573	subcluster_126704
ivig_218	46333	40.66432132605271	Caudovirales	High-quality	Lactobacillus ruminis	temperate	cluster_146413	subcluster_184610
ivig_219	26811	38.52150236843087	Caudovirales	Low-quality	Bacteroides vulgatus	temperate	cluster_202436	subcluster_254956
ivig_220	12224	37.778141361256544	Caudovirales	Low-quality	Bacteroides B vulgatus;Bacteroides B dorei	temperate	cluster_141736	subcluster_178454
ivig_221	43698	42.43901322714999	Caudovirales	Medium-quality	Bacteroides vulgatus	virulent	cluster_276355	subcluster_347016
ivig_225	45241	46.95077473972725	Caudovirales	High-quality	Bacteroides fragilis	temperate	cluster_249620	subcluster_313594
ivig_228	27130	61.45595281975673	Caudovirales	Medium-quality	Collinsella tanakaei	temperate	cluster_28170	subcluster_35460
ivig_229	36211	50.46256662340173	Caudovirales	Medium-quality	Bacteroides uniformis	virulent	cluster_52717	subcluster_66397
ivig_230	33015	48.32348932303498	Caudovirales	Medium-quality	Bacteroides uniformis	virulent	cluster_142838	subcluster_179858
ivig_231	42492	36.64689823966864	Caudovirales	High-quality	Lactobacillus gasseri	temperate	cluster_52499	subcluster_66159
ivig_232	38419	36.85936645930399	Caudovirales	High-quality	Lactobacillus gasseri	temperate	cluster_184186	subcluster_232297
ivig_233	79365	55.82309582309583	Caudovirales	Medium-quality	Bifidobacterium adolescentis B;Bifidobacterium pseudocatenulatum;NA	temperate	cluster_20417	subcluster_25580
ivig_235	37117	61.45432012285475	Caudovirales	High-quality	Bifidobacterium pseudocatenulatum;NA	temperate	cluster_5916	subcluster_7231
ivig_236	62489	57.2852822096689	Caudovirales	High-quality	Bifidobacterium longum	temperate	cluster_100870	subcluster_127257
ivig_237	18004	62.72495001110864	Caudovirales	High-quality	Bifidobacterium longum	temperate	cluster_106964	subcluster_134804
ivig_241	16847	60.79420668368255	Caudovirales	High-quality	Bifidobacterium longum;Bifidobacterium angulatum;Bifidobacterium pseudocatenulatum	temperate	cluster_206273	subcluster_259628
ivig_243	39169	46.46531695984069	Caudovirales	High-quality	GCF 900109125.1	temperate	cluster_179028	subcluster_225966
ivig_244	36967	43.39816593177699	Caudovirales	Medium-quality	GCF 900109125.1	virulent	cluster_233141	subcluster_293449
ivig_247	30165	44.263218962373614	Caudovirales	Low-quality	Bacteroides uniformis	virulent	cluster_245661	subcluster_308720
ivig_254	25287	50.33811840075928	Caudovirales	Medium-quality	Klebsiella pneumoniae	temperate	cluster_104767	subcluster_132065
ivig_257	25968	52.78804682686384	Caudovirales	Medium-quality	Klebsiella pneumoniae	virulent	cluster_47217	subcluster_59344
ivig_258	42917	52.762308642262965	Caudovirales	High-quality	Klebsiella pneumoniae;Klebsiella A michiganensis A;Klebsiella variicola;Klebsiella A sp1	temperate	cluster_130911	subcluster_164745
ivig_259	72174	52.63114140826336	Caudovirales	High-quality	Klebsiella pneumoniae	temperate	cluster_255043	subcluster_320275
ivig_260	48355	52.54058525488574	Caudovirales	High-quality	Klebsiella pneumoniae;Klebsiella A michiganensis A	temperate	cluster_102027	subcluster_128681
ivig_264	17614	60.855001703190645	Caudovirales	High-quality	Bifidobacterium adolescentis B;Bifidobacterium pseudocatenulatum;Bifidobacterium bifidum;Bifidobacterium catenulatum;NA	temperate	cluster_195585	subcluster_246565
ivig_265	48110	63.67075452088963	Caudovirales	Medium-quality	GCF 000753055.1	temperate	cluster_85463	subcluster_107570
ivig_268	40446	60.7254116599911	Caudovirales	High-quality	Bifidobacterium pseudocatenulatum;NA;Bifidobacterium adolescentis B	temperate	cluster_120813	subcluster_152195
ivig_269	64971	60.197626633421066	Caudovirales	High-quality	Bifidobacterium longum;Bifidobacterium angulatum;Bifidobacterium pseudocatenulatum	temperate	cluster_198213	subcluster_249822
ivig_270	18525	63.00674763832659	Caudovirales	High-quality	Bifidobacterium longum	temperate	cluster_236426	subcluster_297390
ivig_272	84528	43.322922581866365	Caudovirales	Medium-quality	Parabacteroides distasonis	virulent	cluster_229536	subcluster_288892
ivig_273	59919	42.83783107194713	Caudovirales	High-quality	UBA10785	virulent	cluster_135075	subcluster_169869
ivig_276	63087	37.36903006958645	Caudovirales	High-quality	Bacteroides xylanisolvens	virulent	cluster_63828	subcluster_80406
ivig_277	40485	56.99641842657775	Caudovirales	High-quality	Klebsiella pneumoniae	temperate	cluster_106947	subcluster_134781
ivig_278	39931	57.68200145250557	Caudovirales	High-quality	Aeromonas veronii	temperate	cluster_146414	subcluster_184611
ivig_279	62263	42.0362012752357	Caudovirales	High-quality	Clostridium bolteae	virulent	cluster_14657	subcluster_18206
ivig_282	42747	50.42459119938242	Caudovirales	Medium-quality	Bacteroides uniformis	virulent	cluster_168533	subcluster_212325
ivig_285	43599	47.503383105117095	Caudovirales	High-quality	Hungatella hathewayi;Hungatella hathewayi A	virulent	cluster_55855	subcluster_70322
ivig_286	37575	41.44244843646041	Caudovirales	High-quality	Blautia obeum	temperate	cluster_141737	subcluster_178455
ivig_287	39996	60.43854385438544	Caudovirales	High-quality	Bifidobacterium longum	temperate	cluster_276356	subcluster_347017
ivig_289	38024	57.92657269093204	Caudovirales	High-quality	Bifidobacterium adolescentis B;Bifidobacterium pseudocatenulatum;NA	temperate	cluster_94150	subcluster_118557
ivig_290	17313	61.29498065037833	Caudovirales	High-quality	Bifidobacterium adolescentis B;Bifidobacterium pseudocatenulatum;Bifidobacterium angulatum;Bifidobacterium longum;Bifidobacterium catenulatum;NA	temperate	cluster_135359	subcluster_170274
ivig_291	38657	60.86866544222262	Caudovirales	High-quality	Bifidobacterium pseudocatenulatum;NA;Bifidobacterium adolescentis B	temperate	cluster_52718	subcluster_66398
ivig_292	44639	47.344250543246936	Caudovirales	Medium-quality	Bacteroides sp2;Bacteroides fragilis	virulent	cluster_142839	subcluster_179859
ivig_293	37056	60.03616148531952	Caudovirales	High-quality	Bifidobacterium pseudocatenulatum;NA	temperate	cluster_81472	subcluster_102303
ivig_294	37466	59.73682805743874	Caudovirales	High-quality	Bifidobacterium pseudocatenulatum;NA	temperate	cluster_184187	subcluster_232298
ivig_295	10732	37.44875139768916		Low-quality	Butyricimonas virosa	virulent	cluster_20418	subcluster_25581
ivig_297	17652	61.19986403806934	Caudovirales	High-quality	Bifidobacterium adolescentis B;Bifidobacterium bifidum;Bifidobacterium pseudocatenulatum;Bifidobacterium angulatum;Bifidobacterium longum;Bifidobacterium catenulatum	temperate	cluster_246722	subcluster_310016
ivig_299	16111	61.13214573893613	Caudovirales	High-quality	Bifidobacterium adolescentis B;Bifidobacterium angulatum;Bifidobacterium pseudocatenulatum;Bifidobacterium catenulatum;NA	temperate	cluster_100871	subcluster_127258
ivig_300	45965	48.267159795496575	Caudovirales	Medium-quality	Bacteroides stercoris	temperate	cluster_158521	subcluster_199588
ivig_301	25586	42.77730008598452	Caudovirales	Low-quality	Ruminococcus bromii	virulent	cluster_206274	subcluster_259629
ivig_304	41268	33.66046331297858	Caudovirales	High-quality	Staphylococcus warneri	temperate	cluster_179029	subcluster_225967
ivig_306	26672	49.23515296940612	Caudovirales	Medium-quality	UBA10785	temperate	cluster_233142	subcluster_293450
ivig_307	18832	46.1820305862362	Caudovirales	Low-quality	Bacteroides thetaiotaomicron;UBA10785	virulent	cluster_245662	subcluster_308721
ivig_309	43952	41.126683654896254	Caudovirales	Medium-quality	Bacteroides A plebeius;UBA10785	virulent	cluster_104768	subcluster_132066
ivig_314	26983	64.81117740799763	Caudovirales	Medium-quality	Gordonibacter pamelaeae	temperate	cluster_183349	subcluster_231313
ivig_315	19135	66.8304154690358	Caudovirales	Low-quality	Gordonibacter pamelaeae	temperate	cluster_130912	subcluster_164748
ivig_317	49683	26.544290803695432	Caudovirales	Medium-quality	Fusobacterium mortiferum	temperate	cluster_255044	subcluster_320276
ivig_318	53993	51.00290778434241	Caudovirales	High-quality	Fusicatenibacter saccharivorans;Agathobacter rectalis;GCA 900066745.1;Blautia A massiliensis;Eubacterium G ventriosum;Roseburia inulinivorans;GCA 000434275.1;Blautia A wexlerae;GCA 900066085.1;CAG-81 sp1;Agathobacter faecis;Coprococcus A catus;Eubacterium E hallii;TF01-11 sp1	temperate	cluster_102028	subcluster_128682
ivig_319	41206	57.08391981750231	Caudovirales	Medium-quality	Bifidobacterium longum;Bifidobacterium pseudocatenulatum	virulent	cluster_211272	subcluster_265767
ivig_320	13957	60.46428315540589	Caudovirales	Low-quality	Bifidobacterium longum	virulent	cluster_85464	subcluster_107571
ivig_322	31374	60.01466182189073	Caudovirales	Medium-quality	Bifidobacterium longum;Bifidobacterium angulatum;Bifidobacterium pseudocatenulatum	temperate	cluster_120814	subcluster_152196
ivig_325	57656	45.13146940474539	Caudovirales	Low-quality	Bacteroides oleiciplenus	virulent	cluster_198214	subcluster_249823
ivig_326	43161	42.867403442923006	Caudovirales	Medium-quality	Bacteroides uniformis	virulent	cluster_44850	subcluster_56269
ivig_329	56619	57.52839152934527	Caudovirales	High-quality	Bifidobacterium longum	temperate	cluster_229537	subcluster_288893
ivig_330	34137	63.99507865366025	Caudovirales	High-quality	Eggerthella lenta	temperate	cluster_256463	subcluster_322012
ivig_332	18932	47.63363617156138	Caudovirales	Low-quality	Bacteroides stercoris	virulent	cluster_119203	subcluster_150178
ivig_334	82280	40.61861934856587	Caudovirales	Complete	Ruminococcus gnavus	temperate	cluster_106948	subcluster_134782
ivig_336	20585	40.72868593636143	Caudovirales	Low-quality	Ruminococcus gnavus	virulent	cluster_146415	subcluster_184612
ivig_337	36696	33.37420972313059	Caudovirales	High-quality	Lactobacillus salivarius	temperate	cluster_202437	subcluster_254957
ivig_338	21075	32.84460260972716	Caudovirales	Low-quality	Lactobacillus salivarius	virulent	cluster_141738	subcluster_178456
ivig_343	58070	40.631995867057	Caudovirales	High-quality	Bacteroides vulgatus	temperate	cluster_276357	subcluster_347020
ivig_345	26871	44.02887871683227	Caudovirales	Medium-quality	Bacteroides caccae;Bacteroides B vulgatus	virulent	cluster_94151	subcluster_118559
ivig_347	57017	38.54464457968676	Caudovirales	High-quality	Bacteroides eggerthii;Bacteroides cutis	virulent	cluster_217613	subcluster_274139
ivig_350	36407	42.54676298514022	Caudovirales	High-quality	Agathobacter rectalis;Ruminococcus B lactaris;Roseburia inulinivorans	virulent	cluster_148584	subcluster_187338
ivig_353	16770	39.338103756708406	Caudovirales	Low-quality	Bacteroides vulgatus	virulent	cluster_52719	subcluster_66399
ivig_355	42643	47.00888774241962	Caudovirales	High-quality	Bacteroides fragilis	virulent	cluster_79645	subcluster_100114
