Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Annotation Count Gene Total	CheckM marker set	CheckM completeness	CheckM contamination
ASM1012v1	GCF_000010125.1	GCA_000010125.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292	342451		ATCC 15305					GCF_000010125.1-RS_2024_12_11	2024-12-11	2577899	3	3	Complete Genome	2005-08-20		3	33							2545	Staphylococcus	99.14	0.22
42925_G01	GCF_900475505.1	GCA_900475505.1	Streptococcus sanguinis	1305		NCTC7863					GCF_900475505.1-RS_2024_12_22	2024-12-22	2296927	1	1	Complete Genome	2018-06-17		1	43.5							2254	Streptococcus sanguinis	99.45	0.15
46837_E02	GCF_900637055.1	GCA_900637055.1	Brevibacillus brevis	1393		NCTC2611					GCF_900637055.1-RS_2025_12_12	2025-12-12	6726998	1	1	Complete Genome	2018-12-20		1	47.5							6535	Brevibacillus	97.72	4.3
ASM1991602v1	GCF_019916025.1	GCA_019916025.1	Paraclostridium bifermentans	1490		DSM 14991					GCF_019916025.1-RS_2025_12_13	2025-12-13	3566216	5	5	Complete Genome	2021-09-09		5	28.5							3533	Peptostreptococcaceae	98.9	0.88
ASM2859612v1	GCF_028596125.1	GCA_028596125.1	Listeria innocua	1642		ATCC 33090					GCF_028596125.1-RS_2025_03_23	2025-03-23	2887185	2	2	Complete Genome	2023-02-12		2	37.5							2898	Listeria	99.15	0.36
ASM1904694v1	GCF_019046945.1	GCA_019046945.1	Streptococcus gordonii	1302		FDAARGOS 1454					GCF_019046945.1-RS_2025_07_20	2025-07-20	2187618	1	1	Complete Genome	2021-06-28		1	40.5							2127	Streptococcus	99.81	
ASM1831425v1	GCF_018314255.1	GCA_018314255.1	Lentilactobacillus buchneri	1581		ATCC 4005					GCF_018314255.1-RS_2025_05_22	2025-05-22	2537205	2	2	Complete Genome	2021-05-10		2	44.5							2462	Lactobacillaceae	98.76	
ASM97370v1	GCF_000973705.1	GCA_000973705.1	Clostridium sporogenes	1509		NCIMB 10696					GCF_000973705.1-RS_2025_03_28	2025-03-28	4141984	1	1	Complete Genome	2015-04-20		1	28							3884	Clostridium sporogenes	95.65	2.32
44343_G01	GCF_900475595.1	GCA_900475595.1	Streptococcus uberis	1349		NCTC3858					GCF_900475595.1-RS_2025_12_13	2025-12-13	1975601	1	1	Complete Genome	2018-06-17		1	36.5							1993	Streptococcus	99.03	
46931_F01	GCF_900475975.1	GCA_900475975.1	Streptococcus intermedius	1338		NCTC11324					GCF_900475975.1-RS_2025_12_13	2025-12-13	1932951	1	1	Complete Genome	2018-06-17		1	37.5							1923	Streptococcus intermedius	99.45	0.14
ASM983137v1	GCF_009831375.1	GCA_009831375.1	Mediterraneibacter gnavus ATCC 29149	411470		ATCC 29149					GCF_009831375.1-RS_2025_12_13	2025-12-13	3549191	1	1	Complete Genome	2020-01-06		1	43							3564	Ruminococcus gnavus	98.61	0.75
ASM224364v1	GCF_002243645.1	GCA_002243645.1	Peribacillus simplex NBRC 15720 = DSM 1321	1349754		DSM 1321					GCF_002243645.1-RS_2025_03_13	2025-03-13	5645783	1	1	Complete Genome	2017-08-08		1	40							5485	Bacillaceae	99.03	0.65
ASM358468v1	GCF_003584685.1	GCA_003584685.1	Lactobacillus paragasseri	2107999		JCM 5343					GCF_003584685.1-RS_2025_03_31	2025-03-31	1937632	1	1	Complete Genome	2018-06-21		1	35							1883	Lactobacillus	99.27	0.16
ASM170098v1	GCF_001700985.1	GCA_001700985.1	Parageobacillus thermoglucosidasius	1426		Wild Type					GCF_001700985.1-RS_2025_05_13	2025-05-13	4004923	3	3	Complete Genome	2016-08-09		3	44							4041	Bacillales	98.51	0.37
ASM161095v1	GCF_001610955.1	GCA_001610955.1	Geobacillus thermoleovorans	33941		KCTC 3570					GCF_001610955.1-RS_2025_11_23	2025-11-23	3499317	2	2	Complete Genome	2016-04-05		2	52.5							3623	Geobacillus	99.37	1.14
ASM1050887v1	GCF_010508875.1	GCA_010508875.1	Flavonifractor plautii	292800		JCM 32125					GCF_010508875.1-RS_2025_04_02	2025-04-02	3985392	1	1	Complete Genome	2020-02-13		1	61							3986	Ruminococcaceae	98.14	2.55
ASM1672500v1	GCF_016725005.1	GCA_016725005.1	Streptococcus constellatus	76860		FDAARGOS_1156					GCF_016725005.1-RS_2025_12_11	2025-12-11	1903262	1	1	Complete Genome	2021-01-20		1	38							1896	Streptococcus	99.24	0.19
ASM76351v1	GCF_000763515.1	GCA_000763515.1	Listeria ivanovii subsp. ivanovii	202751		WSLC 3010					GCF_000763515.1-RS_2025_12_10	2025-12-10	2919548	1	1	Complete Genome	2014-10-06		1	37							2904	Listeria	99.67	0.04
ASM16467v2	GCF_000164675.2	GCA_000164675.2	Streptococcus parasanguinis ATCC 15912	760570		ATCC 15912					GCF_000164675.2-RS_2024_12_22	2024-12-22	2153652	1	1	Complete Genome	2011-06-10		1	41.5							2050	Streptococcus parasanguinis	99.15	0.25
41594_C01	GCF_900474605.1	GCA_900474605.1	Enterococcus cecorum	44008		NCTC12421					GCF_900474605.1-RS_2024_12_09	2024-12-09	2421598	1	1	Complete Genome	2018-06-18		1	36.5							2458	Enterococcus	94.9	0.8
42912_C01	GCF_900636575.1	GCA_900636575.1	Streptococcus canis	1329		NCTC12191					GCF_900636575.1-RS_2025_12_13	2025-12-13	2084744	1	1	Complete Genome	2018-12-20		1	40							2064	Streptococcus	99.54	
ASM1602879v1	GCF_016028795.1	GCA_016028795.1	Macrococcoides caseolyticum	69966		FDAARGOS_868					GCF_016028795.1-RS_2025_12_11	2025-12-11	2170973	2	2	Complete Genome	2020-12-14		2	36.5							2320	Staphylococcaceae	92.31	1.03
48903_D01	GCF_900186885.1	GCA_900186885.1	Veillonella parvula	29466		NCTC11810					GCF_900186885.1-RS_2024_12_16	2024-12-16	2132142	1	1	Complete Genome	2017-08-15		1	38.5							1910	Veillonella parvula	98.49	0.52
ASM708v1	GCF_000007085.1	GCA_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4	273068		MB4					GCF_000007085.1-RS_2024_12_09	2024-12-09	2689445	1	1	Complete Genome	2002-05-16		1	37.5							2728	Thermoanaerobacteraceae	99.48	
ASM148472v1	GCF_001484725.1	GCA_001484725.1	Clostridium autoethanogenum DSM 10061	1341692		DSM 10061					GCF_001484725.1-RS_2025_03_28	2025-03-28	4352446	1	1	Complete Genome	2016-01-04		1	31							4049	Clostridium	98.76	1.86
ASM301049v1	GCF_003010495.1	GCA_003010495.1	Megasphaera elsdenii DSM 20460	1064535		ATCC 25940					GCF_003010495.1-RS_2024_12_22	2024-12-22	2478942	1	1	Complete Genome	2018-03-19		1	53							2339	Megasphaera elsdenii	98.17	0.81
ASM1026v1	GCF_000010265.1	GCA_000010265.1	Clostridium kluyveri NBRC 12016	583346		NBRC 12016					GCF_000010265.1-RS_2025_04_10	2025-04-10	3955303	2	2	Complete Genome	2009-01-09		2	32							3931	Clostridium kluyveri	98.13	0.83
ASM18793v2	GCF_000187935.1	GCA_000187935.2	Streptococcus parauberis NCFD 2020	873447		NCFD 2020					GCF_000187935.1-RS_2025_07_24	2025-07-24	2164480	1	1	Complete Genome	2011-03-25	AEUT02	1	35.5							2198	Streptococcus parauberis	97.63	1.45
ASM2165445v1	GCF_021654455.1	GCA_021654455.1	Streptococcus parasuis	1501662		SUT-286					GCF_021654455.1-RS_2025_03_13	2025-03-13	2197342	1	1	Complete Genome	2021-12-28		1	40							2209	Streptococcus	99.52	0.77
ASM270674v1	GCF_002706745.1	GCA_002706745.1	Companilactobacillus farciminis KCTC 3681 = DSM 20184	936140		DSM 20184					GCF_002706745.1-RS_2025_03_05	2025-03-05	2551839	1	1	Complete Genome	2017-10-25		1	36.5							2552	Lactobacillaceae	99.13	3.27
ASM1231718v1	GCF_012317185.1	GCA_012317185.1	[Clostridium] innocuum	1522		ATCC 14501					GCF_012317185.1-RS_2025_02_23	2025-02-23	4718906	1	1	Complete Genome	2020-04-15		1	43.5							4626	Clostridium	88.23	3.78
ASM17963v2	GCF_000179635.2	GCA_000179635.2	Ruminococcus albus 7 = DSM 20455	697329		7					GCF_000179635.2-RS_2025_03_12	2025-03-12	4482087	5	5	Complete Genome	2010-12-23		5	43.5							4143	Ruminococcus albus	97.25	0.96
ASM2192v1	GCF_000021925.1	GCA_000021925.1	Desulfitobacterium hafniense DCB-2	272564		DCB-2					GCF_000021925.1-RS_2025_03_27	2025-03-27	5279134	1	1	Complete Genome	2009-01-05		1	47.5							5031	Clostridiales	99.12	6.14
ASM429512v1	GCF_004295125.1	GCA_004295125.1	[Clostridium] scindens ATCC 35704	411468		ATCC 35704					GCF_004295125.1-RS_2025_12_13	2025-12-13	3658040	1	1	Complete Genome	2019-02-25		1	46							3774	Lachnospiraceae	99.38	1.32
ASM270642v1	GCF_002706425.1	GCA_002706425.1	Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001	913848		DSM 20001					GCF_002706425.1-RS_2025_04_27	2025-04-27	2951508	1	1	Complete Genome	2017-10-25		1	43							2866	Lactobacillaceae	98.35	4.6
ASM14561v1	GCF_000145615.1	GCA_000145615.1	Thermoanaerobacterium thermosaccharolyticum DSM 571	580327		DSM 571					GCF_000145615.1-RS_2025_04_07	2025-04-07	2785752	1	1	Complete Genome	2010-08-13		1	34							2817	Thermoanaerobacterium thermosaccharolyticum	96.68	1.2
ASM80767v2	GCF_000807675.2	GCA_000807675.2	Eubacterium limosum	1736		ATCC 8486					GCF_000807675.2-RS_2025_04_12	2025-04-12	4422837	1	1	Complete Genome	2017-04-03		1	47							4223	Eubacterium	99.36	
ASM2514928v1	GCF_025149285.1	GCA_025149285.1	Hungatella hathewayi	154046		DSM 13479					GCF_025149285.1-RS_2025_06_16	2025-06-16	6931886	1	1	Complete Genome	2022-09-12		1	48							6342	Lachnospiraceae	99.06	1.43
ASM185664v1	GCF_001856645.1	GCA_001856645.1	Clostridium pasteurianum DSM 525 = ATCC 6013	1262449		ATCC 6013					GCF_001856645.1-RS_2025_03_05	2025-03-05	4352852	1	1	Complete Genome	2016-10-31		1	30							4129	Clostridium pasteurianum	98.54	0.81
ASM1066920v1	GCF_010669205.1	GCA_010669205.1	Blautia producta ATCC 27340 = DSM 2950	1121114		JCM 1471					GCF_010669205.1-RS_2025_12_13	2025-12-13	6197116	1	1	Complete Genome	2020-02-17		1	45.5							5812	Blautia producta	96.64	6.93
Roseburia intestinalis strain L1-82	GCF_900537995.1	GCA_900537995.1	Roseburia intestinalis L1-82	536231		L1-82					GCF_900537995.1-RS_2025_12_13	2025-12-13	4493348	1	1	Complete Genome	2019-02-27		1	42.5							4207	Roseburia	91.07	10.59
ASM360626v1	GCF_003606265.1	GCA_003606265.1	Clostridium septicum	1504		DSM 7534					GCF_003606265.1-RS_2025_04_13	2025-04-13	3404718	2	2	Complete Genome	2018-10-01		2	28							3247	Clostridium	98.51	
ASM168762v2	GCF_001687625.2	GCA_001687625.2	Planococcus maritimus	192421		DSM 17275					GCF_001687625.2-RS_2025_03_05	2025-03-05	3280721	1	1	Complete Genome	2016-11-01		1	47							3275	Planococcus	85.43	6.59
ASM81608v1	GCF_000816085.1	GCA_000816085.1	Staphylococcus hyicus	1284		ATCC 11249					GCF_000816085.1-RS_2025_12_09	2025-12-09	2472129	1	1	Complete Genome	2015-01-07		1	35.5							2403	Staphylococcus	98.94	1.88
ASM154320v1	GCF_001543205.1	GCA_001543205.1	Aerococcus urinaeequi	51665		CCUG28094					GCF_001543205.1-RS_2025_03_31	2025-03-31	2013339	1	1	Complete Genome	2016-02-01		1	39.5							1867	Aerococcus	93.4	6.06
ASM154328v1	GCF_001543285.1	GCA_001543285.1	Aerococcus viridans	1377		CCUG4311					GCF_001543285.1-RS_2025_03_31	2025-03-31	2199877	1	1	Complete Genome	2016-02-01		1	39.5							2075	Aerococcus	98.03	0.66
52756_G01	GCF_900637905.1	GCA_900637905.1	Parvimonas micra	33033		NCTC11808					GCF_900637905.1-RS_2025_08_25	2025-08-25	1677398	1	1	Complete Genome	2018-12-20		1	28.5							1603	Bacteria	100	
ASM1612725v1	GCF_016127255.1	GCA_016127255.1	Leuconostoc pseudomesenteroides	33968		FDAARGOS_1003					GCF_016127255.1-RS_2025_04_15	2025-04-15	2114657	1	1	Complete Genome	2020-12-20		1	39							2134	Leuconostoc	98.76	0.68
ASM1612727v1	GCF_016127275.1	GCA_016127275.1	Streptococcus infantarius	102684		FDAARGOS_1019					GCF_016127275.1-RS_2025_12_13	2025-12-13	1958742	1	1	Complete Genome	2020-12-20		1	37.5							2021	Streptococcus infantarius	96.86	1.18
ASM2232v1	GCF_000022325.1	GCA_000022325.1	Caldicellulosiruptor bescii DSM 6725	521460		DSM 6725					GCF_000022325.1-RS_2025_12_13	2025-12-13	2931662	3	3	Complete Genome	2009-02-04		3	35							2846	Caldicellulosiruptor	99.58	0.89
42727_F01	GCF_900475445.1	GCA_900475445.1	Streptococcus cristatus ATCC 51100	889201		NCTC 12479					GCF_900475445.1-RS_2025_12_13	2025-12-13	2000351	1	1	Complete Genome	2018-06-17		1	42.5							1970	Streptococcus	99.61	
ASM2714v1	GCF_000027145.1	GCA_000027145.1	Listeria seeligeri serovar 1/2b str. SLCC3954	683837		SLCC3954					GCF_000027145.1-RS_2025_12_12	2025-12-12	2797636	1	1	Complete Genome	2010-02-18		1	37.5							2790	Listeria	99.68	
ASM411709v1	GCF_004117095.1	GCA_004117095.1	Paenibacillus chitinolyticus	79263		KCCM 41400					GCF_004117095.1-RS_2025_12_10	2025-12-10	6509090	1	1	Complete Genome	2019-01-29		1	52.5							5994	Paenibacillus	99.61	0.19
AgR_BfibD1_NP	GCF_037113525.1	GCA_037113525.1	Butyrivibrio fibrisolvens	831		D1					GCF_037113525.1-RS_2024_07_14	2024-07-14	4934347	3	3	Complete Genome	2024-04-05		3	39.5							4215	Butyrivibrio fibrisolvens	93.63	8.29
ASM126743v1	GCF_001267435.1	GCA_001267435.1	Neomoorella thermoacetica	1525		DSM 2955					GCF_001267435.1-RS_2025_06_01	2025-06-01	2623349	1	1	Complete Genome	2015-08-13		1	56							2689	Moorella	96.15	0.49
ASM1602827v1	GCF_016028275.1	GCA_016028275.1	Staphylococcus carnosus	1281		FDAARGOS_883					GCF_016028275.1-RS_2025_12_13	2025-12-13	2571374	1	1	Complete Genome	2020-12-14		1	34.5							2538	Staphylococcus	99.47	0.42
ASM1993100v1	GCF_019931005.1	GCA_019931005.1	Granulicatella adiacens	46124		FDAARGOS_1477					GCF_019931005.1-RS_2025_08_25	2025-08-25	1965420	1	1	Complete Genome	2021-09-12		1	38							1946	Granulicatella	99.41	0.06
ASM870517v1	GCF_008705175.1	GCA_008705175.1	Clostridium diolis	223919		DSM 15410					GCF_008705175.1-RS_2025_03_28	2025-03-28	5940808	1	1	Complete Genome	2019-09-24		1	30							5296	Clostridium	98.76	0.62
ASM1066922v1	GCF_010669225.1	GCA_010669225.1	Megamonas funiformis	437897		JCM 14723					GCF_010669225.1-RS_2025_04_02	2025-04-02	2568766	2	2	Complete Genome	2020-02-17		2	31.5							2587	Megamonas	99.49	0.39
ASM1066924v1	GCF_010669245.1	GCA_010669245.1	Pseudolactococcus raffinolactis	1366		KACC 13441					GCF_010669245.1-RS_2025_06_08	2025-06-08	2295672	1	1	Complete Genome	2020-02-17		1	39.5							2312	Streptococcaceae	97.82	2.07
ASM20840v1	GCF_000208405.1	GCA_000208405.1	Selenomonas sputigena ATCC 35185	546271		ATCC 35185					GCF_000208405.1-RS_2025_12_09	2025-12-09	2568361	1	1	Complete Genome	2011-04-21		1	57							2385	Selenomonas sputigena	98.75	0.18
ASM317299v1	GCF_003172995.1	GCA_003172995.1	Streptococcus sobrinus	1310		SL1					GCF_003172995.1-RS_2025_03_29	2025-03-29	2198571	1	1	Complete Genome	2018-05-27		1	43.5							2141	Streptococcus	99.13	0.26
ASM34088v1	GCF_000340885.1	GCA_000340885.1	Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276		N1-4(HMT)					GCF_000340885.1-RS_2025_04_11	2025-04-11	6666445	2	2	Complete Genome	2013-02-19		2	29.5							6004	Clostridium	99.38	2.8
ASM2514978v1	GCF_025149785.1	GCA_025149785.1	Coprococcus comes ATCC 27758	470146		ATCC 27758					GCF_025149785.1-RS_2025_02_27	2025-02-27	3373066	1	1	Complete Genome	2022-09-12		1	42.5							3297	Coprococcus	97.88	3.03
ASM161868v1	GCF_001618685.1	GCA_001618685.1	Geobacillus subterraneus	129338		KCTC3922(T)					GCF_001618685.1-RS_2025_03_03	2025-03-03	3474426	1	1	Complete Genome	2016-04-12		1	52							3499	Geobacillus	98.56	0.37
ASM362875v1	GCF_003628755.1	GCA_003628755.1	Christensenella minuta	626937		DSM 22607					GCF_003628755.1-RS_2025_12_11	2025-12-11	2969292	1	1	Complete Genome	2018-10-11		1	51.5							2895	Clostridia	99.09	
ASM1602829v1	GCF_016028295.1	GCA_016028295.1	Staphylococcus auricularis	29379		FDAARGOS_882					GCF_016028295.1-RS_2025_12_13	2025-12-13	2216575	1	1	Complete Genome	2020-12-14		1	37.5							2138	Staphylococcus	95.67	1.36
ASM1304682v1	GCF_013046825.1	GCA_013046825.1	Turicibacter sanguinis	154288		MOL361					GCF_013046825.1-RS_2025_12_12	2025-12-12	2999687	1	1	Complete Genome	2020-05-12		1	34.5							2919	Turicibacter	95.65	3.29
