contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
UHGV-0260596	219379	No	NA	187	34	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0260491	5966	No	NA	8	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1368444	64263	No	NA	117	30	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1368429	154229	No	NA	198	170	0	High-quality	High-quality	97.62	AAI-based (high-confidence)	0.0	1.0	
UHGV-1368425	39046	No	NA	62	13	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0257757	39018	No	NA	55	6	0	High-quality	High-quality	94.26	AAI-based (high-confidence)	0.0	1.0	
UHGV-0134170	43177	No	NA	53	8	1	High-quality	High-quality	94.02	AAI-based (high-confidence)	0.0	1.0	
UHGV-0381345	19007	No	NA	21	3	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1532549	32400	No	NA	39	22	1	High-quality	High-quality	91.28	AAI-based (high-confidence)	0.0	1.0	
UHGV-0380785	89282	No	NA	146	18	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1544420	37141	No	NA	56	43	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1516925	37825	No	NA	43	17	0	High-quality	High-quality	92.75	AAI-based (high-confidence)	0.0	1.0	
UHGV-0123047	38296	No	NA	56	20	1	Medium-quality	Genome-fragment	80.97	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1467320	35590	No	NA	54	27	1	High-quality	High-quality	91.32	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0170416	47189	No	NA	68	28	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1516474	41276	No	NA	43	21	0	High-quality	High-quality	99.97	AAI-based (high-confidence)	0.0	1.01	
UHGV-2145928	35896	No	NA	57	20	0	High-quality	High-quality	99.36	AAI-based (high-confidence)	0.0	1.0	
UHGV-0131474	106537	No	NA	142	18	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0202314	54995	No	NA	93	16	2	High-quality	High-quality	96.54	AAI-based (high-confidence)	0.0	1.0	
UHGV-0123049	66389	No	NA	100	14	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-2180491	172353	No	NA	243	38	5	High-quality	High-quality	97.78	AAI-based (high-confidence)	0.0	1.0	
UHGV-0054999	36946	No	NA	55	21	0	High-quality	High-quality	92.05	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0049652	40595	No	NA	58	30	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0004637	69826	No	NA	71	10	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1503985	12763	No	NA	16	4	0	High-quality	High-quality	93.32	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1442898	19003	No	NA	24	7	0	High-quality	High-quality	97.8	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1394364	19026	No	NA	21	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-2082755	155426	No	NA	232	35	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0058751	11815	No	NA	13	5	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0006592	71817	No	NA	85	12	0	High-quality	High-quality	96.75	AAI-based (high-confidence)	0.0	1.0	
UHGV-1396038	59641	No	NA	103	16	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0041663	41754	No	NA	57	21	0	High-quality	High-quality	98.89	AAI-based (high-confidence)	0.0	1.0	
UHGV-1336821	11559	No	NA	14	5	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.03	
UHGV-1860769	14336	No	NA	19	5	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0137218	38605	No	NA	55	13	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1343625	2411	No	NA	3	3	0	High-quality	High-quality	96.45	AAI-based (high-confidence)	0.0	1.0	
UHGV-0150862	38200	No	NA	53	19	0	High-quality	High-quality	99.93	AAI-based (high-confidence)	0.0	1.0	
UHGV-1537838	38442	No	NA	48	18	1	High-quality	High-quality	96.34	AAI-based (high-confidence)	0.0	1.0	
UHGV-1292397	38257	No	NA	53	40	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0158554	63968	No	NA	86	23	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0153015	34677	No	NA	49	18	0	High-quality	High-quality	93.53	AAI-based (high-confidence)	0.0	1.0	
UHGV-1436051	18776	No	NA	26	7	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1390128	36430	No	NA	58	11	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1390948	11834	No	NA	15	5	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.01	
UHGV-1441576	53714	No	NA	83	20	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1511752	44760	No	NA	60	7	0	High-quality	High-quality	97.85	AAI-based (high-confidence)	0.0	1.0	
UHGV-1934954	52065	No	NA	79	24	2	High-quality	High-quality	99.75	AAI-based (high-confidence)	0.0	1.0	
UHGV-1966473	33126	No	NA	44	9	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
UHGV-1389790	40408	No	NA	49	37	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1516045	70561	No	NA	103	20	0	High-quality	High-quality	99.52	AAI-based (high-confidence)	0.0	1.0	
UHGV-1391713	182896	No	NA	236	41	12	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-2201935	33473	No	NA	51	16	1	High-quality	High-quality	96.24	AAI-based (high-confidence)	0.0	1.0	
UHGV-0386601	35396	No	NA	50	13	2	High-quality	High-quality	98.89	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0046011	41177	No	NA	60	18	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0073586	44021	No	NA	63	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1371953	45628	No	NA	70	16	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0324221	31828	No	NA	53	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1374751	4924	No	NA	8	6	0	High-quality	High-quality	98.42	AAI-based (high-confidence)	0.0	1.0	
UHGV-1354746	42294	No	NA	72	18	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0132046	30746	No	NA	37	20	0	High-quality	High-quality	99.56	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1358904	33861	No	NA	54	18	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0230849	39729	No	NA	57	43	0	High-quality	High-quality	98.12	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0477606	5627	No	NA	9	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0393137	2622	No	NA	2	2	0	High-quality	High-quality	91.77	AAI-based (high-confidence)	0.0	1.0	
UHGV-0040481	41278	No	NA	43	10	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1394110	17907	No	NA	24	7	0	High-quality	High-quality	92.75	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1476913	6671	No	NA	7	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.02	
UHGV-1304528	13852	No	NA	18	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
UHGV-0110079	52881	No	NA	59	10	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0185550	4723	No	NA	6	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0318689	41278	No	NA	74	13	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-2046743	35477	No	NA	60	11	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0279174	23019	No	NA	29	12	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0258336	40867	No	NA	54	5	0	High-quality	High-quality	98.43	AAI-based (high-confidence)	0.0	1.0	
UHGV-0362136	38030	No	NA	55	18	0	High-quality	High-quality	97.59	AAI-based (high-confidence)	0.0	1.0	
UHGV-1376357	45800	No	NA	70	17	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0331553	36064	No	NA	59	10	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0172346	38411	No	NA	67	18	1	High-quality	High-quality	98.27	AAI-based (high-confidence)	0.0	1.0	
UHGV-0374815	35258	No	NA	44	15	0	High-quality	High-quality	97.59	AAI-based (high-confidence)	0.0	1.0	
UHGV-0375016	37994	No	NA	57	7	1	High-quality	High-quality	97.24	AAI-based (high-confidence)	0.0	1.0	
UHGV-1354631	36068	No	NA	55	8	0	High-quality	High-quality	92.79	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208403	5682	No	NA	8	4	0	High-quality	High-quality	99.31	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208388	93116	No	NA	127	32	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208297	6295	No	NA	6	3	0	High-quality	High-quality	97.96	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208279	5907	No	NA	5	3	0	High-quality	High-quality	96.82	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208307	5778	No	NA	8	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208298	58963	No	NA	107	24	1	High-quality	High-quality	99.93	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208342	41142	No	NA	73	17	0	High-quality	High-quality	97.49	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208308	42060	No	NA	72	20	1	High-quality	High-quality	97.29	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208387	96759	No	NA	91	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0208386	36730	No	NA	53	11	1	High-quality	High-quality	99.7	AAI-based (high-confidence)	0.0	1.0	
UHGV-1992947	6574	No	NA	8	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1997838	8152	No	NA	13	0	0	High-quality	High-quality	98.61	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
UHGV-1988228	37818	No	NA	49	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1990200	57713	No	NA	86	15	3	High-quality	High-quality	96.17	AAI-based (high-confidence)	0.0	1.0	
UHGV-2002747	40952	No	NA	48	19	0	High-quality	High-quality	99.57	AAI-based (high-confidence)	0.0	1.0	
UHGV-2000753	5821	No	NA	9	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-2001302	37044	No	NA	65	23	0	High-quality	High-quality	99.89	AAI-based (medium-confidence)	0.0	1.0	
UHGV-2004389	6803	No	NA	11	2	0	High-quality	High-quality	92.77	AAI-based (high-confidence)	0.0	1.01	
UHGV-1334475	58302	No	NA	91	32	0	High-quality	High-quality	94.15	AAI-based (high-confidence)	0.0	1.0	
UHGV-0141968	32297	No	NA	50	16	0	High-quality	High-quality	90.54	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1870975	6467	No	NA	8	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1374416	45061	No	NA	62	31	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0026277	38837	No	NA	67	19	3	High-quality	High-quality	97.35	AAI-based (high-confidence)	0.0	1.0	
UHGV-0238988	38922	No	NA	47	18	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0239249	34055	No	NA	57	15	1	High-quality	High-quality	96.13	AAI-based (high-confidence)	0.0	1.0	
UHGV-0238335	46084	No	NA	72	12	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-0238483	37467	No	NA	65	13	0	High-quality	High-quality	98.1	AAI-based (high-confidence)	0.0	1.0	
UHGV-0238820	50534	No	NA	58	20	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0238878	36078	No	NA	49	12	0	High-quality	High-quality	99.7	AAI-based (high-confidence)	0.0	1.0	
UHGV-0238884	33803	No	NA	46	13	0	High-quality	High-quality	94.31	AAI-based (high-confidence)	0.0	1.0	
UHGV-0238888	6577	No	NA	7	3	0	High-quality	High-quality	96.46	AAI-based (high-confidence)	0.0	1.0	
UHGV-0238898	45338	No	NA	70	23	0	High-quality	High-quality	93.03	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0238956	37720	No	NA	67	19	0	High-quality	High-quality	92.36	AAI-based (high-confidence)	0.0	1.0	
UHGV-1475424	17362	No	NA	24	10	0	High-quality	High-quality	96.44	AAI-based (medium-confidence)	0.0	1.0	
UHGV-1506557	56983	No	NA	98	24	2	High-quality	High-quality	99.91	AAI-based (high-confidence)	0.0	1.0	
UHGV-1475421	48570	No	NA	59	24	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
UHGV-1392379	49614	No	NA	44	2	4	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
UHGV-0138849	40594	No	NA	47	10	1	High-quality	High-quality	96.53	AAI-based (high-confidence)	0.0	1.0	
UHGV-0390906	36559	No	NA	55	22	0	High-quality	High-quality	92.68	AAI-based (high-confidence)	0.0	1.0	
UHGV-1539092	42045	No	NA	50	20	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
